Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,97,"2/23/2023, 4:00:45 AM","7/7/2023, 12:42:51 PM",0,10798015.133,-10798015.133
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,200,"1/11/2023, 7:05:07 PM","7/7/2023, 12:38:55 PM",19490844.179319,0,19490844.179319
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,9,"1/17/2023, 8:45:50 PM","7/6/2023, 2:37:09 PM",0,897170.853,-897170.853
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,9,"1/12/2023, 7:49:22 PM","7/3/2023, 10:07:17 PM",0,860409.712,-860409.712
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,7,"2/20/2023, 1:32:35 AM","6/27/2023, 10:47:48 PM",0,761242.293,-761242.293
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,8,"1/12/2023, 1:54:19 PM","6/15/2023, 6:43:47 AM",0,741699.501341,-741699.501341
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,6,"2/10/2023, 2:33:29 AM","5/30/2023, 9:00:06 AM",0,475143.954,-475143.954
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,10,"1/15/2023, 8:05:14 PM","5/21/2023, 1:12:18 PM",0,882522.066,-882522.066
2X4DGWCLRNLOXHLCRPRUZTHMDT6NF2NZJXEFZRM56IVLJQC7VROS3GZIAU,6,"3/18/2023, 4:44:46 PM","5/20/2023, 9:58:27 PM",533295.76,0,533295.76
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,9,"1/27/2023, 8:39:12 PM","4/25/2023, 11:16:01 PM",0,731651.351,-731651.351
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,4,"2/5/2023, 4:36:53 PM","4/18/2023, 2:22:04 PM",0,296282.156,-296282.156
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,17,"1/12/2023, 6:39:14 AM","4/18/2023, 1:56:36 AM",0,1438325.690978,-1438325.690978
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,7,"1/18/2023, 2:25:55 AM","3/29/2023, 9:39:02 AM",0,519504.729,-519504.729
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,3,"1/13/2023, 4:44:39 PM","3/11/2023, 9:23:40 PM",0,192419.808,-192419.808
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,20,"1/14/2023, 3:54:46 AM","2/12/2023, 5:39:24 PM",0,1429752.386,-1429752.386
