Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
GH27QMBSQZF3O6J7SGXQRQMUQD264HNXZ7R6OXDPIOR5XOOE22UBWUXZI4,1842,"7/30/2020, 2:14:19 PM","7/7/2023, 11:10:20 AM",0,202142266.94243,-202142266.94243
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,136,"11/30/2021, 2:04:01 AM","7/7/2023, 11:05:35 AM",6123336,0,6123336
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,408,"9/16/2020, 6:54:49 PM","7/7/2023, 10:59:22 AM",43150401,0,43150401
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,131,"8/25/2022, 11:30:47 AM","7/7/2023, 10:58:24 AM",51030206.95,0,51030206.95
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,198,"11/13/2020, 1:23:51 AM","7/5/2023, 10:30:07 PM",0,21741018.771324,-21741018.771324
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,152,"12/7/2021, 6:53:51 AM","7/3/2023, 5:01:29 AM",6745315,0,6745315
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,100,"12/7/2021, 6:52:50 AM","6/27/2023, 10:47:06 PM",4566094,0,4566094
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,139,"12/24/2021, 7:35:37 AM","6/27/2023, 10:46:06 PM",6215680,0,6215680
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,154,"11/30/2021, 2:05:07 AM","6/23/2023, 11:22:32 PM",7010658,0,7010658
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,138,"12/4/2021, 7:37:27 PM","6/23/2023, 11:21:35 PM",6052994,0,6052994
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,118,"1/22/2022, 4:03:55 AM","6/23/2023, 11:20:27 PM",5307824,0,5307824
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,123,"11/30/2021, 2:06:09 AM","6/23/2023, 11:18:26 PM",5342850,0,5342850
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,155,"12/5/2021, 10:33:14 PM","6/23/2023, 11:17:17 PM",6931393,0,6931393
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,122,"1/10/2022, 10:14:00 PM","6/23/2023, 11:16:20 PM",5477992,0,5477992
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,150,"12/4/2021, 7:39:29 PM","6/23/2023, 11:15:20 PM",6735047,0,6735047
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,1050,"7/30/2020, 2:13:53 PM","8/23/2022, 9:47:46 PM",63193444.49,0,63193444.49
