Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
GH27QMBSQZF3O6J7SGXQRQMUQD264HNXZ7R6OXDPIOR5XOOE22UBWUXZI4,205,"2/6/2021, 2:27:37 PM","6/16/2023, 6:40:16 AM",0,24126155.545014,-24126155.545014
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,58,"8/26/2022, 7:34:19 PM","6/16/2023, 6:34:15 AM",12384501.58824,0,12384501.58824
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,6,"11/22/2022, 9:17:37 AM","6/12/2023, 1:30:24 AM",264780.540952,0,264780.540952
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,4,"8/11/2022, 11:08:52 AM","6/12/2023, 1:29:21 AM",195255.712836,0,195255.712836
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,2,"10/7/2022, 9:11:05 PM","6/12/2023, 1:28:22 AM",96217.026999,0,96217.026999
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,22,"2/6/2021, 2:27:24 PM","6/12/2023, 1:27:16 AM",1530752.999999,0,1530752.999999
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,4,"2/11/2022, 3:26:21 PM","6/12/2023, 1:26:16 AM",141066.126295,0,141066.126295
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,27,"2/12/2021, 4:14:43 PM","6/7/2023, 3:20:18 PM",0,3651932.252871,-3651932.252871
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,22,"3/10/2022, 10:16:39 PM","5/30/2023, 1:37:09 AM",2481121.30862,0,2481121.30862
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,11,"7/29/2022, 1:12:26 AM","4/26/2023, 4:18:20 PM",1124705.2209,0,1124705.2209
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,4,"1/22/2022, 7:19:19 PM","1/19/2023, 6:56:16 PM",191165.265934,0,191165.265934
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,7,"8/4/2022, 2:16:05 PM","1/19/2023, 6:55:15 PM",343772.427855,0,343772.427855
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,1,"1/19/2023, 6:54:15 PM","1/19/2023, 6:54:15 PM",49850.574712,0,49850.574712
6ITEMKNE36NXKWWDL3WBYDHK3T77UY3QDCMBYBC5QMGVDFWEP626JX6CXY,6,"11/15/2022, 4:05:13 AM","12/16/2022, 12:54:24 AM",1053612.84529,0,1053612.84529
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,2,"2/16/2022, 2:39:32 PM","11/10/2022, 8:13:31 PM",63849.210903,0,63849.210903
R4K73PLDXOODXPOLGCCE4CZEG4JQECKT5CP2YQM36THGXWVQRL5GKTGKUQ,8,"10/22/2022, 5:22:15 AM","11/7/2022, 7:22:50 PM",1077392.290254,0,1077392.290254
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,2,"9/6/2022, 9:44:59 AM","10/25/2022, 1:04:46 PM",99067.081297,0,99067.081297
IMGMVBZEPMM36AIMWI7FZHG2G44KEESC5ALZHWX7B7SBNBDY6Z7COYMO6U,33,"4/20/2022, 8:16:28 PM","9/30/2022, 10:25:56 PM",3600913.1835,0,3600913.1835
BY265CZ2HVAPRSU2GQZ6J3ZOVN5GID3QG5P6XS3JXMSGHXSTMC2M4YMP7Y,2,"9/21/2022, 11:02:29 PM","9/22/2022, 7:14:40 AM",470229.486769,0,470229.486769
QD6NSI23VUWBUUT5PJJV7KZ34QEWRIOJJACSYA2OR743RCQQJVLEVZ4WW4,19,"12/24/2021, 11:41:48 AM","9/19/2022, 8:30:46 PM",1302064.973498,0,1302064.973498
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,14,"2/16/2021, 6:02:56 PM","8/14/2022, 12:59:26 PM",904212.591798,0,904212.591798
3D45JP2MPCJFPBLF5BLZ2N5MKGTDBIBBSDQ4A7F5HLNCUQLI54FHWO3XJE,1,"7/19/2022, 12:20:27 AM","7/19/2022, 12:20:27 AM",44815.417488,0,44815.417488
J4AEINCSSLDA7LNBNWM4ZXFCTLTOZT5LG3F5BLMFPJYGFWVCMU37EZI2AM,11,"2/21/2021, 6:24:55 PM","12/5/2021, 2:21:49 PM",349618,0,349618
MCYCCS4D2RMHF2ZU3ZGTI4VZQVMBNXUOEKNDME2SZJYI7KOXTLJSZMY2DA,1,"4/20/2021, 1:49:29 PM","4/20/2021, 1:49:29 PM",9020,0,9020
