Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
GH27QMBSQZF3O6J7SGXQRQMUQD264HNXZ7R6OXDPIOR5XOOE22UBWUXZI4,107,"9/8/2021, 8:07:42 AM","7/3/2023, 11:30:10 PM",0,3852588.783419,-3852588.783419
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,8,"6/5/2022, 9:46:23 PM","7/3/2023, 11:22:28 PM",298298.722551,0,298298.722551
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,11,"11/25/2021, 5:55:36 AM","2/21/2023, 6:30:48 PM",379691.733665,0,379691.733665
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,6,"9/19/2022, 2:00:02 AM","2/17/2023, 3:35:07 AM",252689.190004,0,252689.190004
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,8,"12/29/2021, 6:50:09 PM","2/13/2023, 5:54:19 PM",323850.989187,0,323850.989187
MCYCCS4D2RMHF2ZU3ZGTI4VZQVMBNXUOEKNDME2SZJYI7KOXTLJSZMY2DA,36,"3/14/2021, 8:32:51 AM","2/11/2023, 5:59:26 PM",1243290.321181,0,1243290.321181
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,2,"11/14/2022, 7:28:40 PM","2/9/2023, 5:49:18 PM",68075.701031,0,68075.701031
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,9,"11/23/2021, 5:44:14 PM","2/8/2023, 6:18:14 PM",317609.462804,0,317609.462804
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,19,"11/18/2021, 1:35:35 AM","2/8/2023, 11:20:20 AM",619666.742868,0,619666.742868
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,7,"1/8/2022, 5:21:31 AM","1/30/2023, 8:17:16 PM",278446.603144,0,278446.603144
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,21,"3/14/2021, 8:33:22 AM","1/18/2023, 9:10:13 AM",0,715066.799135,-715066.799135
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,6,"8/5/2022, 1:10:34 PM","1/12/2023, 4:26:28 AM",250630.704981,0,250630.704981
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,9,"11/24/2021, 1:42:32 AM","11/8/2022, 6:39:04 PM",326596.806577,0,326596.806577
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,5,"6/6/2022, 7:31:07 PM","11/1/2022, 7:08:45 AM",208808.633356,0,208808.633356
