Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,710,"8/24/2022, 10:34:49 AM","7/7/2023, 1:13:43 PM",162217671.216199,0,162217671.216199
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,441,"2/14/2023, 8:48:11 AM","7/7/2023, 12:42:51 PM",0,95741179.223281,-95741179.223281
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,35,"12/6/2021, 8:18:58 AM","7/6/2023, 2:37:09 PM",0,4689402.252999,-4689402.252999
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,36,"12/5/2021, 3:53:18 PM","7/6/2023, 5:01:47 AM",0,5978424.91095,-5978424.91095
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,163,"5/4/2022, 2:58:37 PM","7/5/2023, 5:02:49 PM",27840303.05847,0,27840303.05847
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,45,"12/24/2021, 8:45:09 PM","7/4/2023, 7:40:08 AM",0,7298542.027487,-7298542.027487
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,63,"12/24/2021, 12:04:23 PM","7/3/2023, 1:36:34 AM",0,10432580.569847,-10432580.569847
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,41,"12/6/2021, 3:23:47 AM","6/30/2023, 8:14:43 PM",0,6265147.369173,-6265147.369173
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,41,"12/5/2021, 8:48:03 AM","6/27/2023, 5:22:38 PM",0,8070121.24436,-8070121.24436
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,41,"12/2/2021, 12:50:56 PM","6/27/2023, 1:57:37 PM",0,6984085.669817,-6984085.669817
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,54,"11/27/2021, 2:33:22 AM","6/27/2023, 8:47:30 AM",0,10373777.137432,-10373777.137432
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,36,"12/4/2021, 9:17:21 AM","6/23/2023, 1:24:54 PM",0,6526690.230873,-6526690.230873
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,53,"12/14/2021, 3:33:29 PM","6/21/2023, 11:33:46 PM",0,9407541.437687,-9407541.437687
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,33,"8/1/2022, 10:52:56 PM","6/21/2023, 7:33:11 AM",5796420.3793,0,5796420.3793
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,169,"2/6/2021, 12:52:49 AM","6/21/2023, 2:22:56 AM",0,13357236.996601,-13357236.996601
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,105,"2/17/2021, 7:51:14 PM","6/21/2023, 2:18:10 AM",7171222.0132,0,7171222.0132
2X4DGWCLRNLOXHLCRPRUZTHMDT6NF2NZJXEFZRM56IVLJQC7VROS3GZIAU,1,"4/4/2023, 4:15:15 AM","4/4/2023, 4:15:15 AM",788.76736,0,788.76736
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,552,"2/16/2021, 6:04:27 PM","2/12/2023, 5:39:20 PM",0,44735720.469609,-44735720.469609
BY265CZ2HVAPRSU2GQZ6J3ZOVN5GID3QG5P6XS3JXMSGHXSTMC2M4YMP7Y,1,"11/12/2022, 6:32:40 PM","11/12/2022, 6:32:40 PM",71032.173266,0,71032.173266
R4K73PLDXOODXPOLGCCE4CZEG4JQECKT5CP2YQM36THGXWVQRL5GKTGKUQ,33,"8/1/2022, 3:24:14 AM","11/8/2022, 2:28:22 AM",4351233.840236,0,4351233.840236
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,261,"2/6/2021, 12:51:26 AM","8/23/2022, 10:50:28 PM",14933791.704524,0,14933791.704524
QD6NSI23VUWBUUT5PJJV7KZ34QEWRIOJJACSYA2OR743RCQQJVLEVZ4WW4,59,"12/9/2021, 9:31:21 PM","3/22/2022, 8:54:40 AM",1574888.178452,0,1574888.178452
J4AEINCSSLDA7LNBNWM4ZXFCTLTOZT5LG3F5BLMFPJYGFWVCMU37EZI2AM,207,"3/7/2021, 3:40:41 AM","12/7/2021, 5:21:23 PM",5366252,0,5366252
MCYCCS4D2RMHF2ZU3ZGTI4VZQVMBNXUOEKNDME2SZJYI7KOXTLJSZMY2DA,35,"3/19/2021, 1:29:20 AM","4/29/2021, 4:00:58 AM",972029,0,972029
