Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
YNH3E6RUOK7HAXBB4ZYBVASZEP2B7ZUN7XBMYHSFB2ZHWFYOE4OYJTZSTQ,1,"10/22/2022, 6:36:56 AM","10/22/2022, 6:36:56 AM",0.002,0,0.002
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,825,"11/25/2020, 2:02:40 AM","12/22/2021, 12:42:11 PM",0,2412690.171781,-2412690.171781
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,698,"11/25/2020, 1:56:57 AM","12/22/2021, 11:49:37 AM",2369100.16923,0,2369100.16923
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,4,"12/1/2021, 6:49:18 AM","12/6/2021, 9:51:21 PM",7360.596768,0,7360.596768
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,1,"12/6/2021, 4:38:41 AM","12/6/2021, 4:38:41 AM",9801.780198,0,9801.780198
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,1,"12/6/2021, 2:07:12 AM","12/6/2021, 2:07:12 AM",2999.8,0,2999.8
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,1,"12/6/2021, 1:12:43 AM","12/6/2021, 1:12:43 AM",6357.835219,0,6357.835219
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,1,"12/6/2021, 12:32:27 AM","12/6/2021, 12:32:27 AM",5698.799999,0,5698.799999
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,1,"12/5/2021, 7:11:18 PM","12/5/2021, 7:11:18 PM",9796.237659,0,9796.237659
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,1,"12/3/2021, 2:43:38 PM","12/3/2021, 2:43:38 PM",379.799999,0,379.799999
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,1,"11/29/2021, 7:23:43 PM","11/29/2021, 7:23:43 PM",1184.102961,0,1184.102961
