Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
GH27QMBSQZF3O6J7SGXQRQMUQD264HNXZ7R6OXDPIOR5XOOE22UBWUXZI4,97,"12/13/2021, 1:50:15 PM","7/7/2023, 2:50:09 PM",0,5937947.337644,-5937947.337644
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,65,"11/10/2022, 9:27:52 PM","7/7/2023, 2:43:21 PM",4594546.337944,0,4594546.337944
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,16,"12/30/2021, 2:35:15 AM","7/5/2023, 11:30:17 AM",0,974158.267684,-974158.267684
R4K73PLDXOODXPOLGCCE4CZEG4JQECKT5CP2YQM36THGXWVQRL5GKTGKUQ,30,"8/15/2022, 3:13:12 AM","11/8/2022, 2:28:18 AM",1982656.784,0,1982656.784
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,9,"12/13/2021, 1:48:03 PM","1/22/2022, 5:05:57 AM",160400.512,0,160400.512
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,2,"1/6/2022, 2:18:02 AM","1/22/2022, 3:56:38 AM",38800.092,0,38800.092
IVBHJFHZWPXRX2EA7AH7Y4UTTBO2AK73XI65OIXDEAEN7VO2IHWXKOKOVM,1,"1/20/2022, 7:37:27 AM","1/20/2022, 7:37:27 AM",15200.077,0,15200.077
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,1,"1/16/2022, 7:12:12 PM","1/16/2022, 7:12:12 PM",20000.086,0,20000.086
QD6NSI23VUWBUUT5PJJV7KZ34QEWRIOJJACSYA2OR743RCQQJVLEVZ4WW4,3,"12/13/2021, 2:38:22 PM","1/13/2022, 6:32:30 PM",76500.179,0,76500.179
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,1,"1/9/2022, 6:34:18 PM","1/9/2022, 6:34:18 PM",17200.022,0,17200.022
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,1,"12/24/2021, 10:18:47 AM","12/24/2021, 10:18:47 AM",6800.014,0,6800.014
