Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
GH27QMBSQZF3O6J7SGXQRQMUQD264HNXZ7R6OXDPIOR5XOOE22UBWUXZI4,100,"12/20/2021, 1:46:07 AM","7/7/2023, 11:20:09 AM",0,5990966.099248,-5990966.099248
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,62,"10/30/2022, 2:51:53 PM","7/7/2023, 11:15:46 AM",4405031.305808,0,4405031.305808
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,10,"1/10/2022, 2:51:53 AM","7/2/2023, 5:40:27 AM",0,620230.620398,-620230.620398
R4K73PLDXOODXPOLGCCE4CZEG4JQECKT5CP2YQM36THGXWVQRL5GKTGKUQ,34,"8/12/2022, 12:28:57 AM","11/7/2022, 9:13:26 PM",1987619.78,0,1987619.78
QD6NSI23VUWBUUT5PJJV7KZ34QEWRIOJJACSYA2OR743RCQQJVLEVZ4WW4,3,"12/28/2021, 12:37:14 PM","1/24/2022, 1:56:08 PM",43500.193,0,43500.193
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,2,"12/20/2021, 1:43:59 AM","1/22/2022, 4:37:21 PM",28700.07,0,28700.07
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,4,"12/20/2021, 4:16:52 AM","1/22/2022, 1:54:44 AM",57436.087,0,57436.087
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,1,"1/20/2022, 11:51:01 PM","1/20/2022, 11:51:01 PM",18031.03,0,18031.03
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,2,"1/4/2022, 1:43:51 PM","1/8/2022, 1:40:20 PM",51018.046,0,51018.046
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,1,"1/7/2022, 6:49:11 PM","1/7/2022, 6:49:11 PM",6660.077,0,6660.077
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,1,"1/7/2022, 5:57:33 PM","1/7/2022, 5:57:33 PM",13200.062,0,13200.062
