Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,54,"4/25/2023, 11:13:18 AM","7/7/2023, 2:24:30 PM",8318111.36,0,8318111.36
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,39,"2/14/2023, 8:48:14 AM","7/7/2023, 12:42:51 PM",0,5331178.177477,-5331178.177477
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,14,"12/20/2021, 7:43:12 PM","7/4/2023, 7:40:08 AM",0,961811.586,-961811.586
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,17,"1/20/2022, 6:57:12 PM","7/3/2023, 1:36:34 AM",0,1543719.98,-1543719.98
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,18,"12/28/2021, 1:56:07 PM","6/27/2023, 2:27:41 PM",0,907155.412,-907155.412
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,12,"12/14/2021, 1:08:23 PM","6/25/2023, 3:26:05 AM",0,632714.985,-632714.985
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,17,"1/27/2022, 8:18:46 AM","6/23/2023, 1:24:54 PM",0,940888.15649,-940888.15649
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,27,"8/29/2021, 10:33:55 AM","6/8/2023, 10:53:57 PM",0,1224461.111,-1224461.111
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,13,"12/28/2021, 10:25:43 AM","6/6/2023, 7:12:15 PM",0,1084187.733,-1084187.733
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,7,"1/2/2022, 1:39:55 PM","5/21/2023, 1:12:18 PM",0,365395.55,-365395.55
2X4DGWCLRNLOXHLCRPRUZTHMDT6NF2NZJXEFZRM56IVLJQC7VROS3GZIAU,36,"11/19/2022, 4:07:16 AM","5/10/2023, 8:45:00 AM",2509740.48648,0,2509740.48648
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,7,"12/14/2021, 8:43:43 PM","3/22/2023, 10:46:49 AM",0,202442.781,-202442.781
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,12,"1/21/2022, 4:57:51 PM","3/21/2023, 9:21:38 PM",0,587606.206,-587606.206
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,145,"8/31/2021, 1:31:17 AM","2/12/2023, 5:39:20 PM",0,7000414.816538,-7000414.816538
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,13,"12/24/2021, 3:58:39 AM","12/22/2022, 7:23:16 AM",0,613313.766452,-613313.766452
UO7IXNDIT5KP3LA6HCZPOH652Z72U557VFUN5P6C5I5NJ2PX6VD4AYVAGE,8,"11/15/2022, 8:20:21 PM","11/17/2022, 11:11:33 PM",521911.397,0,521911.397
R4K73PLDXOODXPOLGCCE4CZEG4JQECKT5CP2YQM36THGXWVQRL5GKTGKUQ,127,"4/28/2022, 2:26:33 PM","11/6/2022, 8:56:05 PM",7502040.943,0,7502040.943
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,59,"8/29/2021, 7:08:57 AM","3/22/2022, 7:54:56 PM",1567656.891,0,1567656.891
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,27,"12/14/2021, 1:03:55 PM","3/21/2022, 7:41:56 PM",623211.413,0,623211.413
QD6NSI23VUWBUUT5PJJV7KZ34QEWRIOJJACSYA2OR743RCQQJVLEVZ4WW4,17,"12/16/2021, 4:12:08 PM","3/16/2022, 2:58:58 PM",226111.693,0,226111.693
IVBHJFHZWPXRX2EA7AH7Y4UTTBO2AK73XI65OIXDEAEN7VO2IHWXKOKOVM,6,"9/13/2021, 4:43:48 AM","3/2/2022, 11:04:10 PM",138811.179,0,138811.179
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,2,"12/24/2021, 6:22:12 AM","1/4/2022, 9:07:09 PM",32036.168,0,32036.168
J4AEINCSSLDA7LNBNWM4ZXFCTLTOZT5LG3F5BLMFPJYGFWVCMU37EZI2AM,5,"8/29/2021, 2:24:52 PM","11/2/2021, 11:38:28 PM",127051.185,0,127051.185
