Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
FJQ5F64ETLJALDFUOLAA62IXOWJT5UHIRPHWF26HYV3TQHAFOXGQGLUXME,2,"11/15/2022, 1:59:54 AM","7/5/2023, 11:05:14 PM",0,55570.83297,-55570.83297
DNAI7JYA45Y35TJ6QOH5DRWM65GRZG2WVISZH4LUB35TWY54N3EYVYB6FI,33,"11/23/2021, 3:13:38 PM","7/5/2023, 10:35:03 PM",0,1425860,-1425860
6TJOUX5BRCPMJUUNKFDMYAH67CDNWVE7CGG7A2G73GF5NYZVG5C4CMOE3E,229,"5/9/2022, 2:28:42 AM","7/5/2023, 10:35:03 PM",0,10540677.172544,-10540677.172544
5YFM3U7P2K643POF44GGSJ6O76A7YBJNXZWQDV57AB4YJLU3XAQNOULAZE,1,"7/4/2023, 7:35:56 AM","7/4/2023, 7:35:56 AM",0,50000,-50000
QVBCSHLJ63YF7COQ7IYPWT6TPOGX6EGEDZBQKN57C3BP6HTFVFMFEXAH2I,4,"11/21/2022, 12:44:43 AM","7/4/2023, 7:24:26 AM",0,13083.063553,-13083.063553
FAAQPEQOL7OCYVQ2YFK6SZUTHLSMA77LZE5WHLY6GKYEHPJUIFMQASLVYQ,6,"7/4/2022, 1:46:17 PM","7/3/2023, 1:29:34 AM",0,114356.404013,-114356.404013
KNBBITU7EWG3LM2MOOD7LJHQIVHT4HJRVEBQWPVANZBG7QPJGWV6SBZ6R4,1,"7/3/2023, 1:17:07 AM","7/3/2023, 1:17:07 AM",0,6150,-6150
5BEPZ6A6C3NS3FXRAER2OC3BRX7G3DNNHJQU6JQCJ4WKHR5BZATTB5QDFI,23,"5/5/2022, 4:47:09 AM","7/3/2023, 1:15:06 AM",0,221268,-221268
WPNEMYN7MBNJU2ZJI6IBZFXHCI3JMT5KDQS3ZKSM7I7CWHJJBKQMXRY4RI,322,"4/14/2022, 1:01:56 AM","7/3/2023, 12:23:08 AM",0,2855998,-2855998
LD62SOULXWDVAUCFWQBE4GTQFT7L5KRM36HT6ILPDVI2GGFEMOTO4YAGMY,1,"7/3/2023, 12:16:53 AM","7/3/2023, 12:16:53 AM",0,239.301258,-239.301258
