Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,2995,"8/24/2022, 10:12:18 AM","7/7/2023, 1:09:33 PM",27564201,0,27564201
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,210,"2/14/2023, 8:48:36 AM","7/7/2023, 12:42:58 PM",0,2327145.79,-2327145.79
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,173,"2/6/2022, 12:15:09 PM","7/7/2023, 8:48:16 AM",1091910,0,1091910
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,449,"2/7/2022, 3:31:54 AM","7/6/2023, 2:37:16 PM",0,3641262.291,-3641262.291
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,76,"5/9/2023, 8:48:50 PM","7/6/2023, 6:22:30 AM",507030,0,507030
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,363,"2/7/2022, 11:47:20 PM","7/6/2023, 5:01:50 AM",0,2967075.427,-2967075.427
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,321,"2/7/2022, 11:57:17 PM","7/6/2023, 2:16:46 AM",0,2699478.639,-2699478.639
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,433,"2/12/2022, 12:20:03 AM","7/6/2023, 2:11:47 AM",0,3572621.307,-3572621.307
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,310,"2/8/2022, 12:42:20 AM","7/6/2023, 2:06:48 AM",0,2675917.400001,-2675917.400001
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,361,"2/7/2022, 11:42:22 PM","7/5/2023, 11:06:42 PM",0,2929127.549,-2929127.549
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,357,"2/10/2022, 5:18:26 AM","7/5/2023, 10:56:38 PM",0,2950046.483,-2950046.483
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,357,"2/7/2022, 7:02:16 PM","6/27/2023, 9:17:28 AM",0,2941889.443,-2941889.443
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,336,"2/8/2022, 7:32:35 AM","6/27/2023, 8:57:31 AM",0,2722115.302224,-2722115.302224
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,406,"2/10/2022, 6:08:25 AM","6/27/2023, 5:22:24 AM",0,3368642.364,-3368642.364
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,341,"2/7/2022, 10:52:22 PM","6/27/2023, 12:57:13 AM",0,2714025.519001,-2714025.519001
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,282,"2/7/2022, 5:17:18 PM","2/12/2023, 5:39:27 PM",0,2219233.578,-2219233.578
ALERTFAKEKMGANB2VGCH5FWTDGVUEOX4C4DV2WFIERWFWSFBPX6FS2KALE,1,"10/17/2022, 1:30:19 AM","10/17/2022, 1:30:19 AM",0.000001,0,0.000001
FGU3MBZAUFYVYO2JC33UBHGNDEOFNA5LSMXERVUO6MJEBGH6RN3OYACOTM,1,"10/12/2022, 2:04:22 PM","10/12/2022, 2:04:22 PM",0.000001,0,0.000001
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,1468,"2/6/2022, 9:06:14 AM","8/24/2022, 12:15:26 AM",9761637.85,0,9761637.85
