Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,602,"10/11/2022, 10:07:21 PM","7/5/2023, 10:23:47 PM",0,5799584.522094,-5799584.522094
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,108,"5/26/2022, 3:53:49 AM","7/5/2023, 10:06:00 PM",472473.69102,0,472473.69102
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,116,"5/24/2022, 8:22:41 PM","7/3/2023, 4:58:25 AM",473887.094648,0,473887.094648
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,99,"5/10/2022, 9:25:11 PM","7/2/2023, 9:40:03 AM",439350.206877,0,439350.206877
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,97,"5/26/2022, 12:19:57 AM","7/1/2023, 9:57:34 PM",474367.833163,0,474367.833163
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,112,"5/26/2022, 5:22:45 PM","6/29/2023, 10:02:07 AM",432422.809933,0,432422.809933
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,144,"5/25/2022, 8:04:12 AM","6/28/2023, 3:32:40 PM",615643.520782,0,615643.520782
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,239,"5/26/2022, 8:20:10 PM","6/27/2023, 9:23:58 AM",1114031.862765,0,1114031.862765
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,112,"5/27/2022, 11:40:38 AM","6/25/2023, 9:37:38 PM",503047.649408,0,503047.649408
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,132,"5/30/2022, 7:28:46 AM","6/25/2023, 9:36:35 PM",609897.754344,0,609897.754344
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,135,"5/12/2022, 9:29:38 PM","6/25/2023, 9:21:47 AM",684208.336072,0,684208.336072
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,160,"5/27/2022, 3:37:49 PM","6/14/2023, 9:16:41 PM",823716.384985,0,823716.384985
WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,1,"2/17/2023, 10:30:33 AM","2/17/2023, 10:30:33 AM",0.000001,0,0.000001
AIRDROP26U5YYAYXAZILARW44ZDEGKSUI2IFZPOFTF3APEB77VVS5YXH7M,1,"2/17/2023, 10:30:26 AM","2/17/2023, 10:30:26 AM",0.000001,0,0.000001
ALERTFAKEKMGANB2VGCH5FWTDGVUEOX4C4DV2WFIERWFWSFBPX6FS2KALE,1,"10/25/2022, 10:31:27 PM","10/25/2022, 10:31:27 PM",0.000001,0,0.000001
3KFYIAPBF6GWPVTMVLBF5HLMG5OTMBPRQFL3W4VRIX3FXOYX6BCIQFLMLM,1,"10/25/2022, 10:31:19 PM","10/25/2022, 10:31:19 PM",0.000001,0,0.000001
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,201,"5/10/2022, 10:19:04 PM","8/25/2022, 10:49:16 PM",0,843461.418907,-843461.418907
