Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
EENN3ZZRQ3LYK6DDKJHPGNSZQ277USW6YNDOLSI7O7JE2KXXA5XBMMJ2IM,1189,"12/4/2019, 7:24:02 AM","11/8/2022, 3:18:00 PM",0,13349959.510833,-13349959.510833
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,139,"12/9/2019, 10:25:49 AM","11/8/2022, 3:08:57 PM",1923169.506,0,1923169.506
MQOZTXRBYZ6JIPGQLNV6Y4REHFKVZKBXKIJVOGEYUDPLQNYZ5YJP72XZOE,2,"4/3/2022, 12:36:35 PM","8/1/2022, 6:30:42 AM",79509.996,0,79509.996
27D6WYEDJZHLFCLJNDJF63RFYFO32KZHOYBHET7BSVDHSTJQQI5GFN2QVI,1,"7/31/2022, 11:22:32 PM","7/31/2022, 11:22:32 PM",111760.998,0,111760.998
LWUWBZPVBS24TDBDZ72LUYJJF75KUJ3IUP6YGG45PVKGNAJYRGQD5CSCPA,33,"12/20/2020, 2:55:13 AM","7/28/2022, 8:50:51 PM",416237.934,0,416237.934
QD6NSI23VUWBUUT5PJJV7KZ34QEWRIOJJACSYA2OR743RCQQJVLEVZ4WW4,1,"5/19/2022, 11:32:37 AM","5/19/2022, 11:32:37 AM",39065,0,39065
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,354,"12/4/2019, 7:19:56 AM","5/12/2022, 12:52:17 PM",4025955.46,0,4025955.46
UXVAPU4KERSMNUILDVZUKKF4KMWQ7RFSSYPXYSEGSYNYILC4FEHISKRBNM,39,"12/17/2020, 5:34:28 AM","3/31/2022, 3:23:38 AM",451676.922,0,451676.922
J4AEINCSSLDA7LNBNWM4ZXFCTLTOZT5LG3F5BLMFPJYGFWVCMU37EZI2AM,196,"12/4/2019, 7:18:32 AM","12/7/2021, 5:25:31 AM",1985773.56,0,1985773.56
IVBHJFHZWPXRX2EA7AH7Y4UTTBO2AK73XI65OIXDEAEN7VO2IHWXKOKOVM,103,"8/21/2020, 1:22:29 AM","11/12/2021, 11:19:52 AM",1128756.79,0,1128756.79
BVMEUTF37WNEQ6GYCZISRFHGLEMOKT5OCPPTTJXVED6JBSXKF6YJJRZRI4,130,"12/4/2019, 10:14:36 AM","10/20/2021, 7:01:13 PM",1223012.2,0,1223012.2
IMGMVBZEPMM36AIMWI7FZHG2G44KEESC5ALZHWX7B7SBNBDY6Z7COYMO6U,35,"10/24/2020, 8:16:30 PM","9/16/2021, 9:34:14 AM",366981.6,0,366981.6
GGUMZYT7GHGTOUOMBXVY3AY754UKOKABBD4732COI7IVXMOCR4P4X23YYA,178,"1/10/2020, 8:48:00 AM","4/17/2021, 2:44:52 PM",1581733.7,0,1581733.7
WKAHED6VGRJKKM7KUT2HAQ6LRFOICUDOMETUK7F7KBZZF2XDBKLYOMBDVA,3,"8/20/2020, 8:37:01 AM","9/6/2020, 6:54:30 PM",16061.7,0,16061.7
