Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,72,"4/19/2023, 4:42:37 PM","7/7/2023, 4:32:37 AM",0,3801709.496,-3801709.496
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,74,"4/18/2023, 2:22:15 PM","7/6/2023, 8:11:13 PM",3812369.408,0,3812369.408
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,26,"4/17/2023, 10:24:00 AM","7/6/2023, 8:00:22 AM",996860.5,0,996860.5
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,3,"4/20/2023, 8:58:32 PM","7/6/2023, 5:01:47 AM",0,132999.981,-132999.981
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,3,"7/4/2023, 7:40:11 AM","7/4/2023, 7:40:11 AM",0,154999.981,-154999.981
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,5,"4/17/2023, 10:26:10 AM","7/3/2023, 10:07:21 PM",0,137020.363,-137020.363
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,2,"5/19/2023, 5:30:22 AM","6/30/2023, 8:14:47 PM",0,96999.982,-96999.982
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,4,"4/19/2023, 5:27:39 PM","6/5/2023, 11:30:58 AM",0,108399.972,-108399.972
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,5,"4/17/2023, 10:31:01 AM","5/28/2023, 12:32:28 AM",0,190799.979,-190799.979
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,2,"4/27/2023, 3:11:26 PM","5/12/2023, 12:17:52 AM",0,108499.99,-108499.99
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,1,"5/8/2023, 12:39:02 AM","5/8/2023, 12:39:02 AM",0,19999.991,-19999.991
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,1,"4/25/2023, 10:20:49 AM","4/25/2023, 10:20:49 AM",0,39999.991,-39999.991
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,1,"4/19/2023, 5:17:41 PM","4/19/2023, 5:17:41 PM",0,17699.991,-17699.991
