Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,1247,"9/6/2022, 8:06:48 AM","7/7/2023, 5:09:12 PM",0,186211013.684825,-186211013.684825
YXDKDH5XHXL6OYMH2HYCJCXOZWPOBEUNK5ICFVJRFW3JVQXZ6HQ6QPVQVA,331,"12/15/2022, 6:28:52 PM","7/7/2023, 4:52:21 PM",51525094.8578,0,51525094.8578
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,205,"2/1/2022, 4:32:14 AM","7/5/2023, 11:59:12 PM",9461855.237795,0,9461855.237795
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,215,"2/2/2022, 7:39:38 AM","7/5/2023, 11:58:12 PM",9819895.127575,0,9819895.127575
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,191,"12/30/2021, 7:10:26 PM","7/5/2023, 11:57:12 PM",8739446.424957,0,8739446.424957
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,227,"12/29/2021, 9:59:15 PM","7/5/2023, 11:56:04 PM",10359610.493603,0,10359610.493603
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,229,"5/9/2022, 2:28:42 AM","7/5/2023, 10:35:03 PM",10540677.172544,0,10540677.172544
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,228,"12/29/2021, 3:46:14 PM","7/5/2023, 10:31:58 PM",10424975.498695,0,10424975.498695
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,209,"12/28/2021, 11:57:37 PM","6/30/2023, 4:36:32 AM",9424339.451839,0,9424339.451839
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,89,"2/11/2022, 6:52:55 AM","6/29/2023, 6:24:53 AM",10363937.44959,0,10363937.44959
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,51,"6/24/2022, 4:11:56 AM","6/28/2023, 5:01:07 AM",5486924.5393,0,5486924.5393
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,221,"12/6/2021, 10:23:21 PM","6/26/2023, 3:54:53 AM",10174900.493849,0,10174900.493849
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,277,"5/15/2021, 6:55:37 AM","6/26/2023, 3:51:47 AM",12765564.978318,0,12765564.978318
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,182,"12/29/2021, 6:42:57 PM","6/26/2023, 3:50:46 AM",8387130.049954,0,8387130.049954
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,214,"2/16/2022, 2:43:38 PM","6/26/2023, 3:48:41 AM",9934777.859336,0,9934777.859336
