Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,29,"2/24/2023, 5:34:21 PM","7/7/2023, 10:02:47 AM",0,797587.971,-797587.971
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,323,"11/22/2021, 10:03:09 AM","7/7/2023, 10:01:15 AM",4507552.760205,0,4507552.760205
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,20,"11/28/2021, 12:23:42 AM","7/2/2023, 7:25:57 AM",0,230111.4261,-230111.4261
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,15,"1/5/2022, 10:01:09 PM","6/30/2023, 8:14:50 PM",0,233007.985,-233007.985
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,32,"12/23/2021, 2:47:44 PM","6/29/2023, 6:38:49 AM",0,372318.159693,-372318.159693
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,22,"12/14/2021, 3:33:34 PM","6/28/2023, 1:28:18 PM",0,365499.978,-365499.978
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,23,"11/29/2021, 10:14:25 AM","5/12/2023, 12:17:56 AM",0,321295.313552,-321295.313552
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,12,"12/22/2021, 11:26:51 PM","5/10/2023, 1:20:41 AM",0,156499.988,-156499.988
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,23,"12/17/2021, 10:20:35 AM","4/21/2023, 4:59:01 PM",0,222893.538274,-222893.538274
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,28,"12/4/2021, 7:17:37 PM","2/24/2023, 5:49:16 AM",0,293767.981386,-293767.981386
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,18,"1/21/2022, 5:02:53 PM","2/7/2023, 4:02:26 AM",0,192162.1972,-192162.1972
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,13,"12/8/2021, 7:21:19 AM","2/5/2023, 7:56:50 AM",0,146199.987,-146199.987
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,69,"11/22/2021, 2:47:45 PM","12/25/2022, 9:49:18 AM",0,978407.831,-978407.831
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,19,"12/13/2021, 10:47:09 AM","12/22/2022, 7:23:19 AM",0,197799.981,-197799.981
