Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,2,"2/13/2023, 2:04:36 AM","2/13/2023, 2:08:14 AM",0,243221441.172776,-243221441.172776
7HJ7M34IZRYB53BDS2PYHJIBZRKDEYXFB5TC6FD56J6BMJRYCTRNIEZG2I,188,"11/18/2021, 3:12:52 AM","2/12/2023, 5:39:31 PM",3047040.482,0,3047040.482
B6X244MFHR3DHJSJSWQ5Z3NY5NQDSAZE54JNXNMKGNEG6K2CB2YR63HH4Q,12,"11/18/2021, 6:12:56 AM","2/12/2023, 5:39:31 PM",146659.74618,0,146659.74618
67K5NBQAHRIALTLMUNYSPZOHJNEYMKUNR45J3WOULVSNXJAKSI74NBJHR4,282,"2/7/2022, 5:17:18 PM","2/12/2023, 5:39:27 PM",2219233.578,0,2219233.578
IEY2KUFS5LW33FFFQOQWQE4ILKM5ULUVJMKWN7ATSQIAXZC2ATYUTIN6OA,1,"2/12/2023, 5:39:27 PM","2/12/2023, 5:39:27 PM",13628.908195,0,13628.908195
7LAMFBW4NJVUJB2NZ6XZRCIWORVF7DF6IZBWUZHXSL4I6GM7HTHCMNCLAA,55,"1/5/2022, 6:45:53 PM","2/12/2023, 5:39:27 PM",403471.399,0,403471.399
F27GMRIJ5SNKXMMKUAY25MZU3G5XEZVVB6VABU5B5W55JEXWNWXWI6P6QQ,5,"10/30/2022, 10:44:18 AM","2/12/2023, 5:39:27 PM",98687.003302,0,98687.003302
TT2IU7SCJJI757LY3A6CWO6QSRXPQANCZYXINIRH7DT6E4XZGA4JTYNWWI,78,"11/22/2021, 6:32:22 AM","2/12/2023, 5:39:24 PM",1112326.1594,0,1112326.1594
HEVIA5G6Y3J5GVPADLCJILAQOBEHSTURMNUQAP4KM2ENSI3KXSPR2YEI3U,1540,"11/18/2021, 7:53:06 AM","2/12/2023, 5:39:24 PM",37990292.36,0,37990292.36
CGJD3I47HS2CFQQWQFULKMVB65BXIXBPRBABQZEZD73UJ7Z3FP6U66ATSE,3,"1/19/2023, 3:56:22 AM","2/12/2023, 5:39:24 PM",83487.402,0,83487.402
PIQXVMTNQZDUCNDL7ESLLICP32YKCSXOEK3FXOO3M7USYUC7VHW6BEELTU,97,"4/28/2022, 3:23:03 PM","2/12/2023, 5:39:24 PM",5192851.317468,0,5192851.317468
22IPAUMSR6Y65HUO3OQ3XLFADSSZTJ7FUUFGUX7OUS2IKBFJO5CDJ7QBFQ,20,"1/14/2023, 3:54:46 AM","2/12/2023, 5:39:24 PM",1429752.386,0,1429752.386
556HS5I22H24DU66HYHRJFKVD5VU3JVUXYTDYRTEJQWODMRG5JOX2RGNVE,145,"8/31/2021, 1:31:17 AM","2/12/2023, 5:39:20 PM",7000414.8165380005,0,7000414.8165380005
XEGE3IMCTL7IK6KOADLFRCGVG6C5CBCGMACOX3RV5MBE3O3IY6NKO3ADQA,19,"8/2/2022, 1:45:34 AM","2/12/2023, 5:39:20 PM",1175949.11421,0,1175949.11421
42HAVABFWPPPNUXS43OZW5EP6KAXIEK7WMJAXTO2AFCXG65E33JOUTCQTY,552,"2/16/2021, 6:04:27 PM","2/12/2023, 5:39:20 PM",44735720.469609,0,44735720.469609
QZL25DVJ4A52D2EBT46LZPUNXBLLEC643XQKTSVPY4TWKGFW4S3ZWTZ7UE,1083,"8/13/2021, 7:08:54 PM","2/12/2023, 5:39:20 PM",165629215.371,0,165629215.371
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,180,"8/31/2020, 6:31:05 AM","2/8/2023, 11:32:26 AM",7,337500016.63,-337500009.63
IT76BV7JEJXQAQVKVXWY3XJ47FM46QAH5735QXGUSGITHFZMJIGWWNF7YY,2,"1/24/2023, 10:28:01 PM","1/31/2023, 3:30:28 PM",9.142344,0,9.142344
NZQY7JILU6JHTH5DZ3UT6KPEUYSY2VBCEMRR4WTGJOALSRGRYVDHZUWAKI,56,"5/23/2022, 2:00:55 AM","1/22/2023, 6:32:46 AM",593655.944,0,593655.944
GY7LH77U3UXIZ7GGEFPOLC7U3C4WINHHS45M2RTBDJMP73RE2R5GW7QBFQ,1,"1/22/2023, 6:32:46 AM","1/22/2023, 6:32:46 AM",18671.7438,0,18671.7438
SSJILQED7DADAWUSJ5JMJGWE7D77NTLYT7ILPR7DK44OQQZA5U52YRQU6A,1,"1/22/2023, 6:32:42 AM","1/22/2023, 6:32:42 AM",24759.799,0,24759.799
KCXCLQ6UOFWGBMODC3VOL4C4IX72WG5MXN7NMWCWG4CBMITUCFTP36L2ZI,3,"1/17/2022, 6:45:08 PM","1/19/2023, 8:21:30 AM",44140.904938,0,44140.904938
OVOJZ7KIA5BP226UBN3JFBAGQA6BRHSFDFNWYPRIPHSNMDFI7L5PYIHHJY,2,"1/19/2023, 3:56:18 AM","1/19/2023, 8:21:26 AM",274951.974351,0,274951.974351
KGXFB4Z7VHNULSGUL4LNVSU6IRTAYKYJVRD4USH3JCOA5H5U4IZYI7O3OQ,72,"11/18/2021, 8:18:08 AM","1/19/2023, 3:56:22 AM",1039470.060263,0,1039470.060263
VBC4SYX2L4G32UEKNZWMULKDOJNETKIGUAHRSHPX5NBIG7VWXSM6C54IGM,1,"1/19/2023, 3:56:22 AM","1/19/2023, 3:56:22 AM",17482.491,0,17482.491
LOKI7LE4OAMMAA5WKGWKDTKXB5LCXHE5GZRJ2BNBCK2ZXKVPRWD4ZIZQBE,4,"6/30/2022, 2:32:21 AM","1/18/2023, 11:01:07 AM",24626.181959,0,24626.181959
ZO47KBGPBW4N7OS4XUAYJPNFOE4MCIYJ77JWWQ7CP3XVFSPZHSOY4RZYEU,1,"1/16/2023, 7:55:21 AM","1/16/2023, 7:55:21 AM",18721.472434,0,18721.472434
QLKMR5KGNXYLBHTNZOWRJ55643ERV3TDILCIRONG27R5PKXDSLGF4S6RLU,1,"1/16/2023, 4:15:16 AM","1/16/2023, 4:15:16 AM",56144.470627,0,56144.470627
B3SF5TKS4HO5JOHS2DIY2HRBRYZZMYTI26DVHDHDO5FDUZM7H4AGPQCQH4,2,"12/21/2022, 7:08:09 PM","1/15/2023, 9:45:07 AM",93999.998,0,93999.998
TSTMH55XXCXCVO3VQN2C22YFRMW3JHH7HUGMRHLDQJLTSF7M4RSVEWO5SY,1,"1/15/2023, 9:45:07 AM","1/15/2023, 9:45:07 AM",51343.9803,0,51343.9803
HHQSHYTXK4JK6YTC5NA6GVYW6EVOQ7YV5B3P75QZAWM6IRROTOMTQ7PJ4A,3,"7/29/2022, 8:44:46 AM","1/14/2023, 7:30:07 PM",69614.167409,0,69614.167409
5KSGHW4FLH7XFPWVXOUDH43NGBEAQRV5DHFQ656R4CW24TO4F5I2KXX6ZM,1,"1/14/2023, 7:30:07 PM","1/14/2023, 7:30:07 PM",35619.111609,0,35619.111609
FWRE7I326G4VU7CWWGQXLDQ3M4F3M5AA6LINQ4R3N4DTMYIINWRUVX6DVI,140,"7/23/2021, 1:39:46 AM","1/14/2023, 3:49:58 PM",5880424.7973,0,5880424.7973
JVW65J7JPDRNCMSUXNMXU7GYBV6YYC4VTAU5FKBSQXFPOSDWU3YO6OXJGU,1,"1/14/2023, 3:54:50 AM","1/14/2023, 3:54:50 AM",23777.392994,0,23777.392994
SSSI2BO7CP6AWTEJXFYGXN4TELL7GNTOVPT4B3BESNJTZFLOK7XNEDV6DA,1,"1/14/2023, 3:54:50 AM","1/14/2023, 3:54:50 AM",40799.068,0,40799.068
V6OKGHACKENDX3PXUN4WD2LJ2GYM6W7ASNO7JFKT2RXU2OFOHWJQO3ZJYI,35,"5/22/2022, 8:45:52 PM","12/25/2022, 9:49:22 AM",398802.965,0,398802.965
TJDALHECK5AFFAZNJRGAHPK75WJHXED3BLVURQEHWSVIQTVRX37FAWXENI,1,"12/25/2022, 9:49:18 AM","12/25/2022, 9:49:18 AM",16274.33609,0,16274.33609
EL4U2M6TAH5IRL5EOTSLDQ5KBOOHWZC56LGT4RBFKOERL7NOTHNUK3UA24,2,"12/6/2022, 7:48:39 PM","12/25/2022, 9:49:18 AM",32719.614017,0,32719.614017
WAK2ZNYCY7R3X2L3B653WBIJKEJOWXWHK5D2UULY757VRUG266CFLATA5E,25,"5/22/2022, 4:50:40 AM","12/25/2022, 9:49:18 AM",295839.2449,0,295839.2449
GFU3HPKH2QTL63UJCDDCGDUOGR3FFIHT7XXEBGZT5QNBO3PIMNVOTSDVG4,1,"12/25/2022, 9:49:18 AM","12/25/2022, 9:49:18 AM",17786.187,0,17786.187
SFPIF5JSKERPJTOJG5EJCM3TGUN3U7VMWTCISX4MJG4DO3MLT2PIF64G54,51,"3/3/2022, 5:56:10 AM","12/25/2022, 9:49:18 AM",865899.941,0,865899.941
6VT5ZAGCP63NQX6U7JED3EX7PFZUT5R4EEAZNP2ASPUWDR6FFYU5C3A3P4,69,"11/22/2021, 2:47:45 PM","12/25/2022, 9:49:18 AM",978407.831,0,978407.831
6TJAPLP2AL55LEQ5S54DN2G6YBMAZXAKTEEPT4CDE57Y6QOYWWHAX3PLZA,1,"12/25/2022, 9:49:15 AM","12/25/2022, 9:49:15 AM",52099.4336,0,52099.4336
5O7QMTNPFPXCWWQZHWZFASD64HZRUTAKRRIAJ3N33FNHU36MZ57XO3LSIE,1,"12/21/2022, 7:08:05 PM","12/21/2022, 7:08:05 PM",86676.513,0,86676.513
FB45K3J7EV7X76KY2FKGAVRNJ3UEHKBZKOEHV5BWGRPW63SJTWGEOOHP4I,1,"12/9/2022, 11:12:49 AM","12/9/2022, 11:12:49 AM",0.001,0,0.001
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,1,"12/7/2022, 12:10:20 AM","12/7/2022, 12:10:20 AM",1.2,0,1.2
OUYFZB4VLW4ID3ON63F6XUWG35PPBXCUG7BRSBLUT2S6EGPCA6BXCRM32A,2,"10/5/2022, 5:56:01 PM","12/6/2022, 10:13:35 AM",65490.37,0,65490.37
DDO3DTA2U5JMKDEGOPKHWWGFC7SZGJCYEDXDULM6HHQVFDQRJBMLRM3IKA,754,"11/18/2021, 3:22:54 AM","12/6/2022, 10:13:35 AM",32568333.02,0,32568333.02
OHH3T2F5ZGHODOF7DM2UFDLXWZZZJVYL5GPL4NODVRGOUG5ALIFABO2GBM,29,"9/17/2021, 6:29:51 PM","12/5/2022, 11:48:31 PM",1102999.9710000001,0,1102999.9710000001
WHDY75NCNYNK5PSEIFV6SFLLU4FSBAP247KXJLHIJ6YR7SSQUTQ4MWRWGA,1,"12/5/2022, 2:23:28 PM","12/5/2022, 2:23:28 PM",11177.991,0,11177.991
SB2XCFHCRTWXQUXOJR7YIJIBSGOBQSMJNLEO3QEBUCYSXFQ7IESJPINLB4,711,"11/18/2021, 3:12:52 AM","12/5/2022, 2:23:28 PM",40936667.8633,0,40936667.8633
NVMTOS3M3TTW6GNH3WFV7HJIPNJS3H5PGIKFTWZYOHB2HIFNP6LPJWMWAI,703,"11/18/2021, 3:12:56 AM","12/5/2022, 2:23:24 PM",28900525.059,0,28900525.059
TQT3QKN3UVZ7HSN7YEFKQ7FULGLHHMCDGQGAETSEK3T3A5ISFZXEXEYLYQ,7,"1/13/2022, 3:41:38 AM","12/4/2022, 10:43:19 PM",524644.293,0,524644.293
AOIGOMP6DS32BQ22TCD3AX7O44I6IIS5FRJXW7HHCJA7KUE6H6APILVFKE,1,"11/23/2022, 8:40:57 AM","11/23/2022, 8:40:57 AM",20928.21252,0,20928.21252
TARZJU5BJU3FMNNYEZWCWGYEZ3J3SREDZNGXOAYE2F7JZ32Q4P7PP7TFSY,20,"9/1/2020, 3:07:00 AM","11/23/2022, 8:40:57 AM",608759.4848,0,608759.4848
BPQ7STGFMPRJLAKSCRQ5FEJDVN724OEP5WHEZ3SSGXLDHQ64A5OVCIPN4A,3,"8/26/2022, 2:26:25 PM","11/23/2022, 8:40:57 AM",106620.751,0,106620.751
