Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,189,"7/15/2022, 12:01:04 AM","6/10/2023, 8:05:31 PM",0,2148767.905001,-2148767.905001
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,1558,"8/24/2022, 6:49:46 PM","6/10/2023, 8:02:16 PM",17918143.958,0,17918143.958
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,112,"2/14/2023, 8:48:58 AM","6/5/2023, 8:46:31 PM",0,1348169.494,-1348169.494
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,153,"7/19/2022, 3:02:11 AM","6/5/2023, 12:21:11 PM",0,1727459.411,-1727459.411
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,130,"11/26/2021, 10:13:00 AM","6/5/2023, 12:50:31 AM",0,1547612.354,-1547612.354
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,169,"12/2/2021, 12:50:56 PM","6/4/2023, 4:24:47 AM",0,1969543.207,-1969543.207
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,159,"7/12/2022, 8:35:23 AM","6/2/2023, 8:43:29 PM",0,1876684.513,-1876684.513
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,135,"8/3/2022, 5:30:53 AM","5/30/2023, 11:15:43 PM",0,1527414.387,-1527414.387
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,119,"12/1/2021, 7:50:39 PM","5/30/2023, 1:44:50 AM",0,1362216.117,-1362216.117
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,115,"11/26/2021, 11:13:13 PM","5/29/2023, 9:14:19 AM",0,1379374.749001,-1379374.749001
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,117,"11/19/2021, 2:43:51 AM","5/28/2023, 12:32:32 AM",0,1358892.787,-1358892.787
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,147,"11/27/2021, 2:33:22 AM","5/15/2023, 8:26:53 PM",0,1696046.567,-1696046.567
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,127,"12/2/2021, 9:36:11 PM","5/8/2023, 4:39:08 PM",0,1420182.032549,-1420182.032549
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,188,"11/18/2021, 3:12:52 AM","2/12/2023, 5:39:31 PM",0,3047040.482,-3047040.482
ALERTFAKEKMGANB2VGCH5FWTDGVUEOX4C4DV2WFIERWFWSFBPX6FS2KALE,1,"10/17/2022, 1:31:56 AM","10/17/2022, 1:31:56 AM",0.000001,0,0.000001
FGU3MBZAUFYVYO2JC33UBHGNDEOFNA5LSMXERVUO6MJEBGH6RN3OYACOTM,1,"10/12/2022, 1:57:47 PM","10/12/2022, 1:57:47 PM",0.000001,0,0.000001
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,303,"11/18/2021, 3:05:22 AM","8/23/2022, 8:03:37 PM",4491254.61,0,4491254.61
