Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,163,"2/14/2023, 8:49:13 AM","7/7/2023, 12:42:54 PM",0,3806561.023866,-3806561.023866
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,300,"2/7/2023, 4:02:08 AM","7/7/2023, 12:04:53 PM",6448420.6,0,6448420.6
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,27,"12/23/2021, 11:07:33 AM","7/6/2023, 2:37:12 PM",0,339260.729,-339260.729
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,13,"2/4/2022, 10:12:28 AM","7/5/2023, 10:11:36 PM",0,199655.877,-199655.877
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,19,"12/30/2021, 9:34:20 AM","7/3/2023, 10:07:24 PM",0,270878.815,-270878.815
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,29,"12/24/2021, 12:04:27 PM","7/3/2023, 1:36:41 AM",0,420435.709,-420435.709
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,30,"2/1/2022, 10:21:28 PM","7/2/2023, 7:25:57 AM",0,545814.714,-545814.714
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,17,"1/19/2022, 3:26:01 AM","6/28/2023, 1:28:18 PM",0,301716.839,-301716.839
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,22,"12/23/2021, 12:21:59 AM","6/25/2023, 3:26:05 AM",0,301260.69,-301260.69
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,22,"1/22/2022, 2:03:19 AM","6/10/2023, 12:29:51 AM",0,265750.782,-265750.782
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,15,"1/6/2022, 11:42:36 PM","6/5/2023, 12:21:08 PM",0,198187.849,-198187.849
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,17,"12/30/2021, 6:59:11 AM","4/27/2023, 3:11:30 PM",0,214577.831,-214577.831
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,15,"12/24/2021, 3:58:44 AM","4/20/2023, 8:58:36 PM",0,188752.849,-188752.849
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,55,"1/5/2022, 6:45:53 PM","2/12/2023, 5:39:27 PM",0,403471.399,-403471.399
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,144,"12/23/2021, 12:19:24 AM","3/6/2022, 7:19:55 PM",1007900.56,0,1007900.56
