Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
OU5XUN4SOIQVKALFAWWEJS7P3HJ4CARHT3DKCXCY2B7ABMLZ5GJ5H6G73Y,291,"4/24/2022, 7:13:43 PM","7/6/2023, 2:14:13 AM",0,13492821,-13492821
67K5NBQAHRIALTLMUNYSPZOHJNEYMKUNR45J3WOULVSNXJAKSI74NBJHR4,433,"2/12/2022, 12:20:03 AM","7/6/2023, 2:11:47 AM",3572621.307,0,3572621.307
AVXKJQBLFZNTNTTTBE557PUAR2OOWUB3GEAMC5BPWSOEWX64IFCNWUGNPQ,11,"6/10/2023, 1:55:16 AM","7/6/2023, 2:11:47 AM",22503.888067,0,22503.888067
KGXFB4Z7VHNULSGUL4LNVSU6IRTAYKYJVRD4USH3JCOA5H5U4IZYI7O3OQ,55,"2/5/2022, 10:28:38 PM","7/5/2023, 10:51:33 PM",739259.6980999999,0,739259.6980999999
727OQRZ5QBKPZPEY3JEH4GQV7MYOTXNEIZDPOX2Y5OLRUHPFWGPTDZA6DE,2,"5/28/2022, 10:41:16 AM","6/30/2023, 7:35:20 PM",0,5050.110505000001,-5050.110505000001
L3MVPAEKBQQRU2I4X2EAQEPOOZSYKAKYNNOHCISYIMA3JMLBGPCLN2CS34,3,"11/22/2022, 11:11:10 AM","6/30/2023, 7:30:05 PM",0,1003.093865,-1003.093865
WDFKHOFMHMJEEZ4C7WMCS4OG2FM2BST4EZTKOLGSU4662OZ47MEVZJUXFM,4,"10/5/2022, 9:57:39 AM","6/30/2023, 6:53:44 PM",0,3334.642264,-3334.642264
DL6BFKNJK2DVN7CDDGM5RQQUBEGGNOYAOFYWO2B4Z6Y4WZ4A6AMI63A4OU,2,"3/30/2023, 9:01:13 AM","6/30/2023, 6:43:23 PM",0,40491.0463,-40491.0463
FYXYIDY2V7WAUIEKDT7HDFCDHWANR5FEQJB2Y4MRRURP5L7AT5MAOISXQ4,5,"8/21/2022, 12:45:10 AM","6/30/2023, 6:33:59 PM",0,3845.64491,-3845.64491
OITMZEPCMDPX3ORPX36CGU22FL4FGZUIZI4A5P7QOP2BWT3RR46KTO43IM,3,"3/20/2023, 12:48:44 AM","6/30/2023, 6:12:12 PM",0,4632.809284,-4632.809284
5CODCHYCTQH5NHBTM7222UBWZQCIGXVAY23E6UO7Y5M2ZK2MAVNIYVHR3Y,18,"12/10/2021, 12:15:23 AM","6/30/2023, 6:08:02 PM",0,53983.324819,-53983.324819
MIDZJQZDBNMMCN3NE2HQW3J7GFIMFWY4HB7Q3BTPK264Q6B3PCS7SSIHRA,1,"6/30/2023, 5:42:08 PM","6/30/2023, 5:42:08 PM",0,2499.892,-2499.892
DDQYWEWVSLPBSKNFW22V5K7X2SZOYYXDI6HZKVFUBEHZF2C3IRBYPFI35Y,6,"1/21/2023, 9:44:59 PM","6/30/2023, 5:31:43 PM",0,57360.2322,-57360.2322
B7SAF6XGY4ZWIW5VZBNWRZJSLF4EPYER7L5E6PFZYXM3VVAIKZRBW6VGAM,8,"5/14/2022, 11:27:56 PM","6/30/2023, 5:30:42 PM",0,6039.78398,-6039.78398
