Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,16,"3/29/2023, 8:34:04 AM","7/7/2023, 10:02:50 AM",0,252086.88,-252086.88
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,50,"12/4/2022, 10:25:49 PM","7/7/2023, 9:39:45 AM",582175.6,0,582175.6
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,5,"2/7/2023, 3:47:27 AM","7/5/2023, 10:31:38 PM",0,49875.963,-49875.963
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,7,"3/29/2023, 12:49:09 PM","7/5/2023, 10:11:36 PM",0,51023.937,-51023.937
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,10,"2/5/2023, 7:56:50 AM","7/3/2023, 10:07:28 PM",0,118028.91,-118028.91
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,6,"1/27/2023, 7:32:18 PM","7/3/2023, 6:54:14 PM",70300,0,70300
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,1,"6/10/2023, 1:19:50 AM","6/10/2023, 1:19:50 AM",0,9199.999,-9199.999
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,6,"3/29/2023, 10:59:03 AM","6/10/2023, 12:29:51 AM",0,63884.946,-63884.946
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,4,"1/27/2023, 7:29:12 PM","6/5/2023, 12:21:08 PM",0,28984.964,-28984.964
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,4,"1/27/2023, 7:34:14 PM","4/19/2023, 5:27:39 PM",0,54047.972,-54047.972
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,1,"3/29/2023, 10:44:21 PM","3/29/2023, 10:44:21 PM",0,5239.991,-5239.991
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,2,"12/8/2022, 12:29:46 AM","3/29/2023, 9:39:12 AM",0,20101.882,-20101.882
