Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,23,"8/28/2022, 7:36:52 AM","7/5/2023, 10:31:38 PM",0,272909.4437,-272909.4437
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,297,"5/11/2022, 12:49:15 PM","7/5/2023, 4:04:07 AM",3498972.699231,0,3498972.699231
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,28,"8/19/2022, 5:39:32 AM","6/25/2023, 3:26:09 AM",0,333808.0638,-333808.0638
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,20,"9/8/2022, 1:43:36 PM","6/16/2023, 9:14:38 AM",0,231377.4935,-231377.4935
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,12,"2/25/2023, 7:24:41 PM","6/7/2023, 7:58:07 PM",0,142935.2395,-142935.2395
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,27,"8/27/2022, 9:41:40 AM","6/6/2023, 12:07:01 PM",0,308258.30421,-308258.30421
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,20,"6/18/2022, 5:13:52 AM","6/2/2023, 8:48:06 AM",0,229858.6663,-229858.6663
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,37,"6/18/2022, 1:13:48 AM","4/18/2023, 1:56:40 AM",0,433711.629473,-433711.629473
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,26,"9/16/2022, 11:45:39 PM","4/13/2023, 8:39:26 AM",0,307479.081593,-307479.081593
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,24,"7/27/2022, 8:59:25 PM","4/10/2023, 6:28:48 PM",0,272782.6085,-272782.6085
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,36,"9/15/2022, 7:35:16 AM","4/9/2023, 8:28:29 AM",0,428571.7547,-428571.7547
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,18,"5/11/2022, 8:23:16 PM","2/21/2023, 9:43:06 AM",0,214835.0446,-214835.0446
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,20,"8/27/2022, 6:01:38 AM","2/16/2023, 7:01:23 AM",0,231548.475557,-231548.475557
WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,1,"2/15/2023, 4:46:43 PM","2/15/2023, 4:46:43 PM",0.000001,0,0.000001
AIRDROP26U5YYAYXAZILARW44ZDEGKSUI2IFZPOFTF3APEB77VVS5YXH7M,1,"2/15/2023, 4:46:35 PM","2/15/2023, 4:46:35 PM",0.000001,0,0.000001
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,12,"11/18/2021, 6:12:56 AM","2/12/2023, 5:39:31 PM",0,146659.74618,-146659.74618
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,2,"8/26/2022, 11:53:20 AM","8/28/2022, 7:31:46 AM",14911.058,0,14911.058
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,2,"6/18/2022, 5:08:32 AM","7/25/2022, 11:00:54 PM",13545.421,0,13545.421
EENN3ZZRQ3LYK6DDKJHPGNSZQ277USW6YNDOLSI7O7JE2KXXA5XBMMJ2IM,2,"11/18/2021, 12:10:27 AM","11/18/2021, 5:40:03 AM",27306.77638,0,27306.77638
