Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,74,"8/18/2022, 6:15:54 AM","7/6/2023, 1:33:42 AM",39952.374979,0,39952.374979
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,15,"6/29/2023, 10:39:12 PM","6/30/2023, 6:59:33 AM",0,16545.37041,-16545.37041
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,8,"12/29/2021, 6:42:18 AM","6/27/2023, 10:47:59 PM",0,547.445085,-547.445085
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,10,"12/16/2021, 10:34:43 AM","6/24/2023, 2:50:14 AM",0,2210.339656,-2210.339656
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,5,"11/23/2021, 11:10:29 AM","6/17/2023, 7:00:20 AM",0,9394.541,-9394.541
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,10,"12/19/2021, 3:41:27 AM","6/17/2023, 6:50:20 AM",0,1377.811535,-1377.811535
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,8,"9/15/2022, 2:25:24 PM","6/17/2023, 2:25:11 AM",0,994.413334,-994.413334
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,8,"12/1/2021, 4:20:26 AM","6/10/2023, 5:50:02 AM",0,1029.385891,-1029.385891
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,5,"11/23/2021, 10:10:36 AM","6/10/2023, 4:24:51 AM",0,2224.538726,-2224.538726
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,6,"1/1/2022, 10:28:55 PM","5/18/2023, 7:29:44 PM",0,808.782864,-808.782864
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,10,"12/4/2021, 8:22:45 PM","11/8/2022, 12:06:54 PM",0,523.057592,-523.057592
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,4,"11/23/2021, 1:10:39 PM","9/15/2022, 11:05:22 AM",0,4132.942864,-4132.942864
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,3,"11/29/2021, 12:44:33 PM","9/10/2022, 11:24:12 PM",0,306.032164,-306.032164
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,26,"11/23/2021, 9:59:10 AM","3/5/2022, 5:01:06 PM",9988.116929,0,9988.116929
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,1,"11/23/2021, 1:07:06 PM","11/23/2021, 1:07:06 PM",3900,0,3900
