Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
UXVAPU4KERSMNUILDVZUKKF4KMWQ7RFSSYPXYSEGSYNYILC4FEHISKRBNM,2703,"12/2/2019, 12:53:04 PM","7/7/2023, 11:18:06 PM",0,335639945.232246,-335639945.232246
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,218,"8/27/2022, 10:01:49 PM","7/7/2023, 11:16:55 PM",60460731.784,0,60460731.784
77SIAF7OSYYIB5ZMVUASG2YEOG3LO3KWJAGATACMNN5PEMOL3FU46HYTSA,15,"3/16/2022, 5:21:40 AM","7/7/2023, 12:16:47 PM",10663818.250577,0,10663818.250577
IVBHJFHZWPXRX2EA7AH7Y4UTTBO2AK73XI65OIXDEAEN7VO2IHWXKOKOVM,1246,"2/12/2020, 11:06:56 AM","7/7/2023, 11:51:13 AM",166816212.03,0,166816212.03
MQOZTXRBYZ6JIPGQLNV6Y4REHFKVZKBXKIJVOGEYUDPLQNYZ5YJP72XZOE,328,"3/2/2022, 10:12:46 PM","7/7/2023, 11:07:10 AM",0,57100093.925,-57100093.925
27D6WYEDJZHLFCLJNDJF63RFYFO32KZHOYBHET7BSVDHSTJQQI5GFN2QVI,425,"3/2/2022, 9:37:43 PM","7/7/2023, 8:36:08 AM",0,75127816.087001,-75127816.087001
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,1080,"3/5/2020, 12:31:55 PM","7/7/2023, 8:34:57 AM",136973647.984,0,136973647.984
YXDKDH5XHXL6OYMH2HYCJCXOZWPOBEUNK5ICFVJRFW3JVQXZ6HQ6QPVQVA,30,"3/3/2023, 12:13:53 PM","7/7/2023, 6:14:30 AM",7259467,0,7259467
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,3,"6/10/2023, 1:55:50 AM","7/6/2023, 3:07:09 AM",1561122,0,1561122
LWUWBZPVBS24TDBDZ72LUYJJF75KUJ3IUP6YGG45PVKGNAJYRGQD5CSCPA,2229,"8/19/2020, 11:39:02 AM","7/5/2023, 8:37:06 PM",0,251576853.139143,-251576853.139143
JDQ7EW3VY2ZHK4DKUHMNP35XLFPRJBND6M7SZ7W5RCFDNYAA47OC5IS62I,192,"8/8/2020, 9:09:12 PM","6/29/2023, 6:53:02 AM",20719464,0,20719464
6DYOG4VD447JMZRKOUFLKRTD4ULJZ2RRI7SIIFBEJEDA3PM7XVUTPRXSZU,7,"11/24/2022, 5:46:45 AM","4/25/2023, 11:48:11 AM",1394381.93,0,1394381.93
7ESGGEMKFXEBN335YJQV5KX467V6KK2XSO3CXCC74S27MRAALZY3EW342Y,1,"3/8/2023, 3:28:22 AM","3/8/2023, 3:28:22 AM",519999.999,0,519999.999
MQ2HHT4V4KTUNILW3OLWFWGJ24W4T5VBU2U3ZGLEJXQKXBRSMJJM73AMNE,1,"2/14/2023, 5:10:09 PM","2/14/2023, 5:10:09 PM",256950.96,0,256950.96
