Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,1071,"9/6/2022, 4:58:13 PM","7/6/2023, 7:35:08 PM",0,52271893.2624,-52271893.2624
IVBHJFHZWPXRX2EA7AH7Y4UTTBO2AK73XI65OIXDEAEN7VO2IHWXKOKOVM,495,"4/19/2020, 10:34:22 PM","7/6/2023, 7:26:25 PM",10519082.7121,0,10519082.7121
YXDKDH5XHXL6OYMH2HYCJCXOZWPOBEUNK5ICFVJRFW3JVQXZ6HQ6QPVQVA,120,"12/15/2022, 11:15:51 AM","7/6/2023, 3:07:01 PM",4209125.9588,0,4209125.9588
EENN3ZZRQ3LYK6DDKJHPGNSZQ277USW6YNDOLSI7O7JE2KXXA5XBMMJ2IM,292,"12/9/2019, 5:30:01 AM","6/24/2023, 4:38:03 AM",2586853.0308,0,2586853.0308
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,265,"12/4/2021, 12:00:03 AM","6/22/2023, 3:11:32 PM",4484717.3491,0,4484717.3491
UXVAPU4KERSMNUILDVZUKKF4KMWQ7RFSSYPXYSEGSYNYILC4FEHISKRBNM,634,"1/15/2021, 11:26:38 AM","6/8/2023, 9:29:55 AM",16953604.6809,0,16953604.6809
YHNEBTGKMXNKHCIZHFKOKD4QLYSVWA2BO7CXOLHKKCYDWDAP7KUGV2HEQM,8,"5/21/2023, 11:52:52 AM","6/8/2023, 6:21:11 AM",460556.3687,0,460556.3687
27D6WYEDJZHLFCLJNDJF63RFYFO32KZHOYBHET7BSVDHSTJQQI5GFN2QVI,203,"3/3/2022, 10:27:59 AM","6/6/2023, 3:51:20 PM",7168140.0403,0,7168140.0403
LWUWBZPVBS24TDBDZ72LUYJJF75KUJ3IUP6YGG45PVKGNAJYRGQD5CSCPA,549,"1/15/2021, 11:36:05 AM","6/6/2023, 2:10:59 AM",7539769.899,0,7539769.899
JDQ7EW3VY2ZHK4DKUHMNP35XLFPRJBND6M7SZ7W5RCFDNYAA47OC5IS62I,337,"3/19/2020, 6:22:52 AM","5/27/2023, 1:58:19 PM",3561048.507,0,3561048.507
MQOZTXRBYZ6JIPGQLNV6Y4REHFKVZKBXKIJVOGEYUDPLQNYZ5YJP72XZOE,185,"3/5/2022, 11:29:32 PM","5/27/2023, 6:51:51 AM",6341564.088,0,6341564.088
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,144,"10/30/2019, 3:50:54 AM","5/15/2023, 1:38:58 PM",2001866.2000000002,0,2001866.2000000002
BVMEUTF37WNEQ6GYCZISRFHGLEMOKT5OCPPTTJXVED6JBSXKF6YJJRZRI4,456,"2/17/2020, 2:27:19 AM","3/17/2023, 7:34:09 PM",6956463.755139,0,6956463.755139
IMGMVBZEPMM36AIMWI7FZHG2G44KEESC5ALZHWX7B7SBNBDY6Z7COYMO6U,1477,"11/8/2020, 3:03:08 PM","12/8/2022, 1:16:13 PM",17071913.836799998,0,17071913.836799998
R4K73PLDXOODXPOLGCCE4CZEG4JQECKT5CP2YQM36THGXWVQRL5GKTGKUQ,247,"5/3/2022, 4:25:13 AM","11/8/2022, 5:17:19 AM",7359004.433,0,7359004.433
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,7308,"9/1/2019, 10:20:03 PM","9/5/2022, 9:53:47 PM",0,98273178.44270399,-98273178.44270399
3TT3NBAFMXODXJ7CRN2PISXARITZIJPSWTCAXJZQXJJ7RCX3JFEJPUEF6A,8,"3/25/2022, 9:27:58 AM","8/27/2022, 9:21:09 PM",74335.8608,0,74335.8608
3D45JP2MPCJFPBLF5BLZ2N5MKGTDBIBBSDQ4A7F5HLNCUQLI54FHWO3XJE,1,"7/18/2022, 11:57:59 PM","7/18/2022, 11:57:59 PM",9391.7565,0,9391.7565
QD6NSI23VUWBUUT5PJJV7KZ34QEWRIOJJACSYA2OR743RCQQJVLEVZ4WW4,100,"12/9/2021, 1:27:18 PM","7/17/2022, 4:04:28 PM",981147.2614,0,981147.2614
J4AEINCSSLDA7LNBNWM4ZXFCTLTOZT5LG3F5BLMFPJYGFWVCMU37EZI2AM,2481,"9/1/2019, 10:17:35 PM","12/7/2021, 3:25:54 PM",35139377.0594,0,35139377.0594
GGUMZYT7GHGTOUOMBXVY3AY754UKOKABBD4732COI7IVXMOCR4P4X23YYA,842,"11/1/2019, 6:43:02 PM","10/14/2021, 5:24:13 AM",13370061.4321,0,13370061.4321
WKAHED6VGRJKKM7KUT2HAQ6LRFOICUDOMETUK7F7KBZZF2XDBKLYOMBDVA,296,"10/27/2019, 8:10:19 AM","9/20/2020, 4:37:51 AM",3756912.6121,0,3756912.6121
