Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
67K5NBQAHRIALTLMUNYSPZOHJNEYMKUNR45J3WOULVSNXJAKSI74NBJHR4,357,"2/10/2022, 5:18:26 AM","7/5/2023, 10:56:38 PM",2950046.483,0,2950046.483
OWRVGJCVCWAT4BGKTUEK4YGEUZB7XTDQ2ZVUKNBDMX5O2XFCKQ6QQDCLWE,3,"6/15/2022, 6:46:41 AM","7/5/2023, 10:56:38 PM",13265.332,0,13265.332
KGXFB4Z7VHNULSGUL4LNVSU6IRTAYKYJVRD4USH3JCOA5H5U4IZYI7O3OQ,64,"2/7/2022, 9:37:12 AM","7/5/2023, 10:36:34 PM",873062.3619880001,0,873062.3619880001
HEVIA5G6Y3J5GVPADLCJILAQOBEHSTURMNUQAP4KM2ENSI3KXSPR2YEI3U,401,"11/27/2021, 2:33:27 AM","7/5/2023, 10:36:34 PM",10504247.599,0,10504247.599
KDJD5ZFSB4NKGHCZ2THCY5O3VYEB3Z4WGFJCTCV2LYAM5XVSXXKRR2M4ZI,1,"7/4/2023, 8:35:07 AM","7/4/2023, 8:35:07 AM",6313.988738,0,6313.988738
3XTXB7SRRVHG6MDTLMGAKIGNZECPON4PK7GG4DSF7U3EASC6R7TWGHWQ5U,13,"8/24/2022, 6:39:07 AM","6/27/2023, 2:00:47 PM",0,12582.809144,-12582.809144
U2OS7QFQ3RVKDKNZG7HEDJH75IVIVMQUSWLNMOREWBPUANATTG462WGEOA,4,"12/14/2021, 8:12:21 AM","6/27/2023, 1:22:10 PM",0,35468.923631,-35468.923631
72MAGFQE7GE6UU5TLHHMUIDH5ZLYOQHPYPNX6S5SD4Y6PY4VDXIYEZT7CM,10,"8/25/2022, 1:29:55 PM","6/27/2023, 1:20:12 PM",0,1345.247299,-1345.247299
CPURS2PZHEMF2OBQWUVYNVBBKBRKYCRCDBRRHLWFZGEEG7RCNFMSRYWCOQ,10,"12/7/2021, 11:46:38 AM","6/27/2023, 12:53:05 PM",0,10945.555786,-10945.555786
CIOK5X3FCZF4ZGA44QWIBUDWA7FZ3OKRN34HI7K3N5QZFKZLV6ATBVM6TU,15,"5/28/2022, 8:03:51 PM","6/27/2023, 11:57:52 AM",0,19890.921221,-19890.921221
6QJ7KGGMD2TN4GESA4ZT6SVQC4PWXGHVRBTHHR26D3LTLJCKEPZP2E6BGQ,6,"6/21/2023, 4:44:08 AM","6/27/2023, 10:54:30 AM",0,299999.5,-299999.5
IQVNVAG5HXJIBLBTXSVNURDPXR3BCIHNNRAJ2VQ5HOBDCIWF7SC3M2L4VQ,5,"2/9/2022, 7:47:26 PM","6/27/2023, 10:51:24 AM",0,39267.003916,-39267.003916
USZHXLVBZ6A4MZUUCBBDIVNPDMS7XHMAZRAITGRU4QWCNU47HZQSNV4MZM,1,"6/27/2023, 9:01:04 AM","6/27/2023, 9:01:04 AM",0,5807.9,-5807.9
NPMSZVCK3IHQ7Z6XFKHRGTP7DNBY7UBQCN2DWTE5LNW3HJYGUCV4POG6QY,17,"5/3/2022, 5:11:18 PM","6/27/2023, 8:58:57 AM",0,144228.5497,-144228.5497
2IV3PZHZJXHF444JLUNJ2U3JKRFPY7J3ZH2FC2FQFGUOK6UW2EBGRUKNQY,1,"6/27/2023, 8:55:50 AM","6/27/2023, 8:55:50 AM",0,19999.9,-19999.9
42HAVABFWPPPNUXS43OZW5EP6KAXIEK7WMJAXTO2AFCXG65E33JOUTCQTY,54,"11/27/2021, 2:33:22 AM","6/27/2023, 8:47:30 AM",10373777.137432,0,10373777.137432
IJ7NHNKTTD6TEC3LTOQOHZOSOGMXGPJMJ73KV7JRVRI674X4KY62XO4TZE,5,"12/14/2022, 6:46:20 PM","6/27/2023, 8:37:30 AM",1618.717935,0,1618.717935
F2RE6L6LTEVLMH2OBU3ZRRZYU4GKMNN4DIGG3JML3ZNCVKOSCFRQXSESE4,6,"6/12/2023, 2:11:36 AM","6/27/2023, 7:52:29 AM",109549.946,0,109549.946
4VGL3TJM4BZNLD26RB74XQFX2OW6F6H4GHM2XCDS4YNER5DH4KGFLT7UXE,1,"6/27/2023, 6:42:21 AM","6/27/2023, 6:42:21 AM",595.057925,0,595.057925
B3USIFGNUOI3ZUG7TRNS6BFA556XUV6XWZHH3S7NXV3747N3SQC2VG5FZM,9,"3/13/2023, 12:55:04 AM","6/27/2023, 6:07:22 AM",1146.4932,0,1146.4932
4JYVCNWGXMMV52OLKGF7W2JB7GRH2ICJP5WWT6YPPQKANMRCX3GQIX7VYM,15,"1/7/2022, 8:40:45 PM","6/27/2023, 5:21:31 AM",0,202500,-202500
Q6NEOD5RLY5P6Y53V5ZQ6QJXXTOUVNA35YFP72QHDOBBS4YXNUAAMNLDGE,20,"1/28/2022, 7:08:10 PM","6/27/2023, 3:49:03 AM",0,16233.703274,-16233.703274
3D4MR6HL47DF2LDB4OY3RWMFY2UGNIOSKN6XXFZTPXNJLVKGVXENIZ7MYE,14,"2/24/2022, 2:47:17 AM","6/27/2023, 2:56:00 AM",0,8866.201845,-8866.201845
