Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,1,"2/14/2023, 8:48:07 AM","2/14/2023, 8:48:07 AM",0,35127.223668,-35127.223668
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,64,"11/18/2021, 6:22:58 AM","12/15/2022, 1:41:24 PM",0,1557203.848,-1557203.848
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,756,"11/18/2021, 2:59:19 AM","12/15/2022, 1:36:10 PM",32562965.598,0,32562965.598
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,38,"12/3/2021, 3:56:21 AM","12/10/2022, 12:45:14 PM",0,1508899.916,-1508899.916
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,754,"11/18/2021, 3:22:54 AM","12/6/2022, 10:13:35 AM",0,32568333.02,-32568333.02
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,45,"12/1/2021, 7:50:39 PM","12/5/2022, 6:48:27 PM",0,1560029.901,-1560029.901
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,46,"11/27/2021, 2:33:27 AM","11/20/2022, 5:34:51 AM",0,1736820.918,-1736820.918
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,82,"8/26/2022, 11:19:49 AM","11/20/2022, 5:33:48 AM",6105389.344,0,6105389.344
2X4DGWCLRNLOXHLCRPRUZTHMDT6NF2NZJXEFZRM56IVLJQC7VROS3GZIAU,1,"11/18/2022, 7:12:24 PM","11/18/2022, 7:12:24 PM",100000,0,100000
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,49,"11/26/2021, 10:13:00 AM","11/15/2022, 3:23:25 AM",0,2032459.865,-2032459.865
