Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,1200,"11/4/2019, 6:17:19 AM","7/5/2023, 11:11:26 PM",0,57972529.723508,-57972529.723508
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,51,"11/23/2021, 10:27:45 PM","7/5/2023, 10:41:19 PM",2286307,0,2286307
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,113,"8/13/2021, 8:53:57 PM","7/5/2023, 10:40:18 PM",5821364,0,5821364
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,41,"11/23/2021, 4:57:50 PM","7/5/2023, 10:39:18 PM",1631241,0,1631241
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,39,"11/25/2021, 5:33:46 PM","7/5/2023, 10:38:11 PM",1729873,0,1729873
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,33,"11/23/2021, 3:13:38 PM","7/5/2023, 10:35:03 PM",1425860,0,1425860
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,29,"11/23/2021, 10:28:46 PM","7/5/2023, 10:34:03 PM",1255288,0,1255288
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,13,"9/29/2022, 4:36:18 AM","7/1/2023, 2:55:34 PM",4333704.896,0,4333704.896
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,44,"11/23/2021, 9:13:34 PM","6/25/2023, 10:14:59 PM",1843939,0,1843939
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,54,"11/24/2021, 8:27:28 AM","6/25/2023, 10:12:53 PM",2448436,0,2448436
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,35,"11/23/2021, 4:58:51 PM","6/25/2023, 10:07:47 PM",1527294,0,1527294
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,48,"11/24/2021, 8:28:28 AM","6/25/2023, 10:06:42 PM",2110045,0,2110045
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,33,"11/25/2021, 12:04:43 PM","6/16/2023, 2:01:34 PM",1389696,0,1389696
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,620,"11/4/2019, 6:06:53 AM","8/22/2022, 7:16:29 AM",19542004.19,0,19542004.19
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,405,"8/17/2020, 5:41:11 AM","1/27/2022, 1:01:15 AM",10627359,0,10627359
33TEPJ2V7LVEUF5UJ4XZKTNJDZ2THE67TH7BRJKQZH6ZPKLPWKE4DWGMAI,1,"3/16/2021, 9:43:39 AM","3/16/2021, 9:43:39 AM",0.4,0,0.4
