Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,418,"9/7/2022, 1:08:45 PM","7/6/2023, 11:11:30 PM",0,48050319.381,-48050319.381
BVMEUTF37WNEQ6GYCZISRFHGLEMOKT5OCPPTTJXVED6JBSXKF6YJJRZRI4,228,"1/10/2021, 8:55:34 PM","7/6/2023, 11:06:28 PM",21805645.54,0,21805645.54
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,50,"8/1/2022, 6:01:56 AM","7/6/2023, 8:11:52 AM",3419080,0,3419080
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,122,"5/30/2021, 5:39:51 PM","7/6/2023, 8:11:31 AM",9975998,0,9975998
YHNEBTGKMXNKHCIZHFKOKD4QLYSVWA2BO7CXOLHKKCYDWDAP7KUGV2HEQM,14,"10/31/2022, 5:07:58 PM","6/23/2023, 1:32:25 PM",774980,0,774980
EENN3ZZRQ3LYK6DDKJHPGNSZQ277USW6YNDOLSI7O7JE2KXXA5XBMMJ2IM,87,"6/2/2021, 9:10:13 PM","6/23/2023, 12:16:06 PM",4316985,0,4316985
JDQ7EW3VY2ZHK4DKUHMNP35XLFPRJBND6M7SZ7W5RCFDNYAA47OC5IS62I,69,"2/5/2021, 2:33:34 PM","6/8/2023, 1:23:52 AM",5114000,0,5114000
YXDKDH5XHXL6OYMH2HYCJCXOZWPOBEUNK5ICFVJRFW3JVQXZ6HQ6QPVQVA,169,"12/16/2022, 6:25:54 PM","4/19/2023, 3:01:15 AM",19886174.1,0,19886174.1
IMGMVBZEPMM36AIMWI7FZHG2G44KEESC5ALZHWX7B7SBNBDY6Z7COYMO6U,135,"1/11/2021, 1:25:34 AM","12/15/2022, 2:17:55 AM",11499997,0,11499997
BY265CZ2HVAPRSU2GQZ6J3ZOVN5GID3QG5P6XS3JXMSGHXSTMC2M4YMP7Y,10,"9/22/2022, 9:00:26 AM","11/13/2022, 3:27:56 AM",1131700,0,1131700
3TT3NBAFMXODXJ7CRN2PISXARITZIJPSWTCAXJZQXJJ7RCX3JFEJPUEF6A,17,"4/5/2022, 8:51:22 PM","10/8/2022, 9:14:10 PM",1057983,0,1057983
QD6NSI23VUWBUUT5PJJV7KZ34QEWRIOJJACSYA2OR743RCQQJVLEVZ4WW4,8,"1/25/2022, 12:20:58 PM","9/19/2022, 10:02:47 PM",340000,0,340000
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,643,"1/10/2021, 9:04:25 PM","9/4/2022, 10:06:28 AM",0,37593740.374686,-37593740.374686
3D45JP2MPCJFPBLF5BLZ2N5MKGTDBIBBSDQ4A7F5HLNCUQLI54FHWO3XJE,1,"7/19/2022, 12:59:34 PM","7/19/2022, 12:59:34 PM",30000,0,30000
GGUMZYT7GHGTOUOMBXVY3AY754UKOKABBD4732COI7IVXMOCR4P4X23YYA,42,"5/30/2021, 8:38:39 PM","12/7/2021, 4:09:10 PM",2741870,0,2741870
J4AEINCSSLDA7LNBNWM4ZXFCTLTOZT5LG3F5BLMFPJYGFWVCMU37EZI2AM,67,"1/11/2021, 12:47:00 PM","11/13/2021, 6:20:46 PM",3546252.248702,0,3546252.248702
JUL2CBXW3DUN2IK4ZODKIV3T3JFJGTU52GYIC2PDHVPXKUHENMH4VXE7CM,1,"4/11/2021, 4:24:53 AM","4/11/2021, 4:24:53 AM",3222.9,0,3222.9
