Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,10,"6/5/2023, 8:46:31 PM","6/29/2023, 10:34:10 PM",0,127241.81,-127241.81
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,9,"6/19/2023, 1:01:52 PM","6/29/2023, 6:38:52 AM",0,208889.919,-208889.919
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,82,"6/5/2023, 12:52:35 PM","6/28/2023, 5:26:34 PM",1809500.344,0,1809500.344
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,14,"6/9/2023, 9:34:38 PM","6/28/2023, 1:28:14 PM",0,394529.874,-394529.874
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,8,"6/9/2023, 3:34:07 AM","6/27/2023, 2:12:39 PM",0,165659.928,-165659.928
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,12,"6/12/2023, 12:26:31 AM","6/27/2023, 9:22:31 AM",0,321459.892,-321459.892
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,6,"6/12/2023, 2:11:36 AM","6/27/2023, 7:52:29 AM",0,109549.946,-109549.946
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,7,"6/16/2023, 5:14:53 PM","6/27/2023, 6:22:21 AM",0,137381.937,-137381.937
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,4,"6/25/2023, 3:51:24 PM","6/26/2023, 6:06:50 AM",0,48061.964,-48061.964
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,5,"6/15/2023, 9:13:57 AM","6/26/2023, 5:46:51 AM",0,111124.955,-111124.955
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,2,"6/13/2023, 3:12:36 AM","6/21/2023, 11:23:21 AM",0,46189.982,-46189.982
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,5,"6/16/2023, 4:59:56 PM","6/21/2023, 9:48:17 AM",0,139409.955,-139409.955
