Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,36,"2/14/2023, 8:48:25 AM","7/7/2023, 4:32:37 AM",0,4933929.106659,-4933929.106659
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,44,"5/11/2023, 5:19:29 AM","7/6/2023, 10:47:29 PM",6448775.86,0,6448775.86
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,13,"12/6/2021, 3:23:47 AM","6/30/2023, 8:14:43 PM",0,647085.454,-647085.454
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,8,"12/10/2021, 12:28:25 PM","6/29/2023, 6:38:45 AM",0,464562.782,-464562.782
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,13,"12/16/2021, 5:59:56 PM","6/27/2023, 10:47:48 PM",0,635588.669,-635588.669
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,16,"12/30/2021, 9:34:20 AM","6/24/2023, 11:50:34 AM",0,730823.004,-730823.004
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,16,"12/13/2021, 3:27:21 PM","6/10/2023, 1:19:50 AM",0,885068.886,-885068.886
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,13,"12/24/2021, 8:45:09 PM","5/30/2023, 9:00:02 AM",0,696721.269558,-696721.269558
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,14,"11/27/2021, 2:33:22 AM","5/21/2023, 1:12:18 PM",0,902616.309,-902616.309
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,16,"12/5/2021, 8:43:05 AM","5/19/2023, 7:45:55 PM",0,618635.55,-618635.55
2X4DGWCLRNLOXHLCRPRUZTHMDT6NF2NZJXEFZRM56IVLJQC7VROS3GZIAU,22,"11/18/2022, 10:47:50 PM","4/21/2023, 3:29:02 AM",1370404.42648,0,1370404.42648
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,12,"11/27/2021, 6:18:42 PM","2/21/2023, 9:43:02 AM",0,618557.492,-618557.492
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,140,"7/23/2021, 1:39:46 AM","1/14/2023, 3:49:58 PM",0,5880424.7973,-5880424.7973
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,16,"12/5/2021, 3:53:18 PM","1/2/2023, 8:41:28 AM",0,606094.202892,-606094.202892
UO7IXNDIT5KP3LA6HCZPOH652Z72U557VFUN5P6C5I5NJ2PX6VD4AYVAGE,14,"11/15/2022, 8:43:22 PM","11/18/2022, 5:46:10 AM",838500.745,0,838500.745
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,22,"7/1/2021, 6:02:33 PM","11/17/2022, 11:53:59 AM",0,526106.192,-526106.192
R4K73PLDXOODXPOLGCCE4CZEG4JQECKT5CP2YQM36THGXWVQRL5GKTGKUQ,87,"4/26/2022, 10:41:36 AM","11/6/2022, 6:48:05 PM",5351287.9709,0,5351287.9709
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,90,"7/1/2021, 9:24:45 AM","3/22/2022, 5:03:24 PM",2443083.729,0,2443083.729
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,43,"11/27/2021, 1:55:01 AM","3/22/2022, 9:15:37 AM",1030306.147,0,1030306.147
QD6NSI23VUWBUUT5PJJV7KZ34QEWRIOJJACSYA2OR743RCQQJVLEVZ4WW4,19,"12/13/2021, 2:37:40 PM","3/22/2022, 12:09:50 AM",331730.92,0,331730.92
IVBHJFHZWPXRX2EA7AH7Y4UTTBO2AK73XI65OIXDEAEN7VO2IHWXKOKOVM,7,"9/13/2021, 4:47:32 AM","3/15/2022, 4:13:19 AM",146500.97837,0,146500.97837
J4AEINCSSLDA7LNBNWM4ZXFCTLTOZT5LG3F5BLMFPJYGFWVCMU37EZI2AM,8,"7/1/2021, 9:29:07 AM","12/7/2021, 4:54:10 PM",185545.57,0,185545.57
