Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
RMPGLCRCGDGJTVKGNOMNMEV4EQHIUODRH5JFXGK52GJR3ML7BNTJLMDZCM,31,"3/23/2023, 7:00:17 PM","7/7/2023, 6:03:53 PM",0,45343.1,-45343.1
AUBVIA5QXAQ5GMO7EXQNCK4TMK2HLUDQRYNVUM4N63PKI22MRHDW7BFO7I,6,"4/12/2022, 12:11:47 PM","7/6/2023, 3:26:06 PM",1531741.149083,0,1531741.149083
ZPJKTFGLXBQLJ6JADCZESE7BOH6BK76PJOKKVGG66UGIKJCQ3UQ3IMJTZU,18,"4/2/2022, 6:06:53 PM","7/5/2023, 7:26:05 PM",1244389.077478,0,1244389.077478
KAF36RAMQTV4L7EMP3B5VRJ3JWU3GW6SXZPIZE2WJLVLS2XFSQBNFRCMPE,3,"4/4/2023, 9:23:08 AM","7/4/2023, 5:24:08 PM",24683.295999,0,24683.295999
KUFC2XUQLSKEOTYTJMUMMNENQM6TJIR63CLXRH3OD2ZMQMZCZXP2YLHV2Y,6,"6/10/2023, 7:11:53 PM","7/3/2023, 6:51:17 AM",0,25843746.31246,-25843746.31246
BQBD5M6GL4EXREJBTVIHPZNS3XOFQXXARPEEFDDQI5BHLE7DCKYY7OAL4A,7,"5/12/2022, 11:00:06 AM","6/29/2023, 5:47:07 PM",7403330.55156,0,7403330.55156
C33PH6KFENT22RZGIC7LLUCBTT2AL3BSTTJUE3Q4DVEFXIZCYY3UP6B3HA,11,"5/27/2022, 1:06:49 PM","6/28/2023, 3:31:09 PM",146999.78,0,146999.78
G4Y2IXBITYCREPRDJODRBKYCQZ3IVSQBJFQRM5IX6FWMLGLO6B3ELRQHCA,41,"6/1/2021, 11:04:21 AM","6/26/2023, 4:58:09 PM",135616584.794872,0,135616584.794872
73ESMLCP5OEQ7625DSGDDOSERTDTFTKS7VM6QVFUGWWKPL4A3LOTZBF4M4,7,"8/22/2022, 1:44:15 PM","6/26/2023, 4:39:07 PM",1825572.027904,0,1825572.027904
ILZP3VLXPZOMULC5XMR5UUL5LMBGXX6TT6IURYFZ7Q6KX54INCUISZH2JQ,1,"6/23/2023, 9:40:24 AM","6/23/2023, 9:40:24 AM",0,1,-1
IDA72WGKKVYGC3LMPXCGZRAM5YBZCZGYXEEMHMJB5S3AYR2Y3YQFEVYH5A,1,"6/23/2023, 3:36:06 AM","6/23/2023, 3:36:06 AM",236.47024,0,236.47024
T5V5M7XSNXQZXBXGCMOZCHJGIG3HIXGIDJ77TJT3NLYXYQFJFAW4C4PLQU,6,"7/29/2022, 7:37:17 PM","6/16/2023, 2:21:06 PM",2375538.812002,0,2375538.812002
CQOYXRPVNU4YQKPP366DZ4FR5OJAY6T4RFBHNO5M4VORFRWNNWEJCEFYUU,5,"6/29/2022, 4:03:11 PM","6/12/2023, 3:41:05 PM",198690.954861,0,198690.954861
AQ2U3CKZEFWNBF7YFIXY22CIDLOGVKQNKQIUNAVUONR2YACECU6T3BQ4CE,185,"5/21/2021, 7:51:06 AM","6/10/2023, 7:00:25 PM",0,715494081.365973,-715494081.365973
N4ZMCOMU3B4TDSYR5A5X5NS2EGTBFESTR4HDG24QQORW6VTREFMPVNH2PY,4,"6/7/2023, 2:47:08 PM","6/10/2023, 7:00:10 PM",27711162.589877,27711162.591877,-0.0020000003278255463
YNLXILLBDGWZHOGF6VR2TSRMUZQZQT24VFAYVCF3KYGJMHOT5NB73ZOYNI,5,"5/29/2023, 12:35:40 PM","6/8/2023, 11:42:47 AM",29325762.110526,29325762.112526,-0.0020000003278255463
KTHNTUP6FQEECNUOTFEZEZLCQ5XAOKETACMPHN5NYO3XUW6RRPW4HJFWUE,6,"5/25/2023, 12:05:05 AM","6/8/2023, 11:42:47 AM",29074925.365392,29074925.367392,-0.0020000003278255463
RVJ4DRFBLDR6HJZUSK3CJHIY22LDCNGVY52U56HEPEOX3KGL3G3CXVAKWA,3,"3/21/2023, 12:11:11 AM","6/8/2023, 3:56:06 AM",2732428.259646,0,2732428.259646
YVGMRJNHX77E3S3TG3TYS2VPUXUIR3NW64RTNTQKDG4IWYT73HCGNQRBS4,13,"1/5/2022, 7:07:15 AM","6/8/2023, 12:26:08 AM",0,32714528.1403,-32714528.1403
62S4CCT73NIX7ZGTYR6SYNBJSSIOLZFQQTPUMDTCKATDK5E5VS4W36YV6I,2,"6/7/2023, 7:42:09 PM","6/7/2023, 7:43:09 PM",2102.270286,0,2102.270286
QTUUGFPXDFHEHSJ733AYB7U7USLA7TX2BKU5LO73J3IZ6OAAINOXE3PXXM,65,"4/5/2022, 5:59:50 PM","6/7/2023, 1:43:07 PM",593490510.979327,0,593490510.979327
UM2VSN57UF52UO5RIQMFAQIAZJ3G3AYKASSBLDBHKAZIF7EACO4ZU3UNYY,3,"9/22/2022, 2:42:24 PM","6/6/2023, 3:06:01 PM",0,235500,-235500
BC2N74YKUGAPMMKYTIM2LO667HRXGRBWZUP7O4OWHJNGHDAATKWCHM5OK4,7,"9/9/2022, 11:58:30 AM","6/6/2023, 11:56:09 AM",543330.788,0,543330.788
WMIQIGAWLPDFD5GVD7L4JRISRVJOT6GBIBEZPTAJKJE4UQ3BTY32YV7NEU,5,"6/28/2022, 1:41:04 PM","6/2/2023, 12:01:57 PM",0,612471.255179,-612471.255179
WON6S7E4JUZ5LRI3UILMB5COL7RIP3G4452XLBE66F2KLULUJTANQCJFJU,2,"9/27/2022, 3:13:44 PM","5/30/2023, 7:41:08 PM",110663.959744,0,110663.959744
IGY32XCD27ZDEINJM5V4FOQ7T7UGWQOVXBAQUBAXKJRHEAZTEL43E3H2SU,3,"5/25/2023, 12:04:08 AM","5/29/2023, 12:27:13 PM",25883676.761288,25883676.763288,-0.0020000003278255463
3CSF3FMOXVRAGEAZVRE3O4VIF4LC2F4BLDTST4Q2KRTM3SHYEK2RDTOGZU,3,"5/25/2023, 12:06:05 AM","5/29/2023, 12:27:13 PM",25883676.761288,25883676.763288,-0.0020000003278255463
LIJ6UEYGQ6XJQQY2SPY4MD6KSIBQ3QZYTTJU6Z5AGAEGBI3LTERIEMX6ZA,4,"5/16/2023, 6:49:06 PM","5/28/2023, 7:20:28 PM",25883676.761288,25883676.763288,-0.0020000003278255463
VOQKFTJPOGO6HBMSTTB7TEK4VVU6WQ6EASCSETPO7GOVYTMWRVVK5O4C5U,2,"11/11/2021, 8:26:22 PM","5/26/2023, 7:51:09 PM",8996.473824,0,8996.473824
K5Q6HSMZZJM2WT6PYJQMYKML2IJDBRW2H3VVJM4DCP4IM7FMHHLHUOECPQ,4,"2/16/2022, 9:17:23 AM","5/26/2023, 2:01:25 PM",0,110648.511579,-110648.511579
34HCCHDF2HVTT3XA6CQG5SE5NY3HHNEFPSMYDWTX52QH3NCYHLDUBPDTKE,4,"5/15/2023, 7:29:44 PM","5/25/2023, 12:03:38 AM",23815680.349038,23815680.351038,-0.0020000003278255463
YXZKOZEW2NXZYZAEUSUVNXY7ZQQKMLQGWB5JHBCMZESMLWVSPNULMMT26I,1,"5/19/2023, 11:56:05 AM","5/19/2023, 11:56:05 AM",3249.84811,0,3249.84811
OHS4YSWLEAJ2ZZEMCZLTUYRPWEA2P4K6P2HI7KYISFRKGZSTCL2PFWEF4M,4,"4/27/2023, 10:29:55 AM","5/16/2023, 6:40:52 PM",27022443.269912,27022443.271912,-0.0020000003278255463
U6EJRS6KTDSQQFEEP7W5JFFA2RQAQJE5MHCJMOIX2KTNTQXVLWMAIMTZ6M,32,"3/10/2023, 4:21:49 PM","5/16/2023, 4:51:11 PM",0,41338.669999,-41338.669999
QXOSUO3WCJSIMDMM4IHCXVFRH5SEIZIAYYRT77CXHSK62VCLYMQ7F24PVA,5,"6/9/2022, 9:47:04 PM","5/16/2023, 11:56:06 AM",1099999.792,0,1099999.792
4EC6362I2UXW5TPWBVBUJHDHBYT2TVTXNZWFJYEYUCOOBQXCFH5ZUQMVCM,4,"4/20/2023, 7:18:20 PM","5/15/2023, 7:28:24 PM",27013185.994042,27013185.996042,-0.001999996602535248
UMS6CLM3XGH2WY3UPZ6LTWOVQOA5CX6AG5AITTRQVDULLQLKFVASYU76QI,4,"11/17/2022, 2:09:03 PM","5/15/2023, 5:07:57 PM",0,13000010,-13000010
TBXHENPTXN4AMN6NB36SA5VQ4GHPLJZQLLFRKDFXJBORE3JTIYDGRSM25I,1,"5/12/2023, 3:41:06 PM","5/12/2023, 3:41:06 PM",315.586183,0,315.586183
