Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
4QSBCW2HEDILH4XUBE4RXDLOY53GX65JMF4MEFEETA2WBGE24SY6AIM6AQ,97,"12/13/2021, 1:50:15 PM","7/7/2023, 2:50:09 PM",5937947.337644,0,5937947.337644
4SYBACPMDNURFL5NSQWDWN7U6XVSCRHNKCYWC6BHXAOBH4Y6VYXXSKACYE,100,"12/20/2021, 1:46:07 AM","7/7/2023, 11:20:09 AM",5990966.099248,0,5990966.099248
2IO55JHGCZYI2VYHZ6565TH7XOJTTGQRMBDD2MXR77DL3NE6NBN2PQNQQI,1842,"7/30/2020, 2:14:19 PM","7/7/2023, 11:10:20 AM",202142266.94243002,0,202142266.94243002
52BFVGXXNSZ5LORSEL54NZJHSIS3VSCGJEDL266GO7C3COWRYUP3QQPLAE,835,"2/6/2022, 10:10:19 AM","7/7/2023, 11:00:16 AM",5006405.171013,0,5006405.171013
5ZXNB75EQDI5WZHZB7PYWFX2EVFMMZNNK3AWNJUJ23X7E6AQLBQ4CUTCXE,2,"7/7/2023, 8:30:12 AM","7/7/2023, 9:20:15 AM",3672.245374,0,3672.245374
52B5IRNQ67OTRCXCMJJIN57IFE54S56SNL3HECI62N3JUDA257MVYMHC6I,23,"4/13/2023, 9:40:18 AM","7/7/2023, 9:10:16 AM",1580.028,0,1580.028
5YKC25A3V72THL3QSGM3H53YZEKB4FRYJVYPYONQ5CUVOILMOGJN4S7JWA,18,"5/25/2023, 8:30:25 AM","7/7/2023, 7:30:09 AM",7549.8183,0,7549.8183
5G6556JB72YGGZTQ7EN33VEO4ADRV3MLL4DMEKOUX33CXTZYKLYNGJ46VM,27,"6/23/2022, 4:10:05 AM","7/7/2023, 7:00:11 AM",43260.778904,0,43260.778904
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,75,"3/19/2021, 7:14:08 AM","7/7/2023, 2:15:55 AM",5.07,45110025,-45110019.93
4B6OYNDYJCA7PALHDLR4WTCC4P53SCTF5LBH44OGQOEPCRZIKLFRIBW55A,35,"12/4/2021, 3:10:48 PM","7/6/2023, 5:40:11 PM",1417449.79171,0,1417449.79171
5ZRCZHRACMVHTC45M3LPTKMAO6ADXJU5TQRVTRXLE35ASQY2NHWOOHMNHI,2,"6/30/2023, 11:20:38 PM","7/6/2023, 11:10:08 AM",835.1722,0,835.1722
5ZWV74AA2MYJIU56XBPUXS5ZLHRJJXPTEJA7BHO2SZH3KUO2S24FW6JUNQ,1,"7/5/2023, 9:40:12 AM","7/5/2023, 9:40:12 AM",4999.899,0,4999.899
4ZRKIFUOGOVBU5RU45IKTZCGIN5CMXU5LLG6Y4B5JIBKZRYEZH6OLLZT3I,20,"2/2/2022, 8:42:29 PM","7/5/2023, 4:30:22 AM",6929.702052,0,6929.702052
5ZWQ4TNXIORVPXOR2DTSIWNQ4MRNTDQGJ53CIGIQFG6GZEFSDISEJ62MTI,1,"7/4/2023, 7:00:23 AM","7/4/2023, 7:00:23 AM",76005.41301,0,76005.41301
5ROFZYG7V6CH2SCID6FMNRJC5LGWDUTMWI25XUD4KXPPCSI6WAPCWNKFLY,6,"4/4/2023, 9:30:25 PM","7/4/2023, 5:00:17 AM",104821.878,0,104821.878
4JYVCNWGXMMV52OLKGF7W2JB7GRH2ICJP5WWT6YPPQKANMRCX3GQIX7VYM,161,"11/22/2021, 11:50:36 PM","7/4/2023, 3:10:19 AM",1669064.013339,0,1669064.013339
4JNA2FHXHWGJ2BCGP7HDJONU77S74R7GCMTKLNBPSN5J7LYUGK4E5SMJZY,216,"11/21/2021, 8:35:15 PM","7/4/2023, 3:10:16 AM",2394472.263673,0,2394472.263673
3HBBYP2EX4OSUU6RYNJMHRMJDDSNSRDENTHDYQWUR6RZXOERSYOTYPPTZM,107,"9/8/2021, 8:07:42 AM","7/3/2023, 11:30:10 PM",3852588.783419,0,3852588.783419
