Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
6TJOUX5BRCPMJUUNKFDMYAH67CDNWVE7CGG7A2G73GF5NYZVG5C4CMOE3E,191,"12/30/2021, 7:10:26 PM","7/5/2023, 11:57:12 PM",0,8739446.424957,-8739446.424957
WPNEMYN7MBNJU2ZJI6IBZFXHCI3JMT5KDQS3ZKSM7I7CWHJJBKQMXRY4RI,265,"5/2/2022, 7:44:37 AM","7/5/2023, 10:38:11 PM",0,2206369,-2206369
DNAI7JYA45Y35TJ6QOH5DRWM65GRZG2WVISZH4LUB35TWY54N3EYVYB6FI,39,"11/25/2021, 5:33:46 PM","7/5/2023, 10:38:11 PM",0,1729873,-1729873
5YFM3U7P2K643POF44GGSJ6O76A7YBJNXZWQDV57AB4YJLU3XAQNOULAZE,2,"6/25/2023, 11:23:25 AM","7/4/2023, 7:39:03 AM",0,100000,-100000
5ZWQ4TNXIORVPXOR2DTSIWNQ4MRNTDQGJ53CIGIQFG6GZEFSDISEJ62MTI,1,"7/4/2023, 6:52:15 AM","7/4/2023, 6:52:15 AM",0,27000,-27000
EHGXIQSGLMSC6GX5TVAYRRXIERELQ5UFHVJN5YFOTTUE6Y2SXT2MB25OAY,3,"7/1/2023, 12:09:41 PM","7/4/2023, 5:48:57 AM",0,11273.727096,-11273.727096
T57XF63Z6NVLS46CG2YIAKDBHCX4HJPIZAIIDAPWAANLWOVZ3ZNTLWM3VA,2,"6/13/2023, 6:51:21 PM","7/4/2023, 4:47:40 AM",0,6471.72183,-6471.72183
6YPUXUBYYVFCBN353FSJGAY4PJPIMHNLDZV2AZF2EUG6PFSYPKYENDI7F4,4,"9/17/2022, 10:52:51 AM","7/4/2023, 4:40:26 AM",0,2157.609177,-2157.609177
TMNK74IPLYOS4XX6SI4MGU37OUQK64PRHJWRS4BPBZC6Z2PVSGWPDI4RPA,2,"6/16/2023, 5:44:39 AM","7/4/2023, 4:36:09 AM",0,3156.071131,-3156.071131
IKQFJPMYDXYKQUO3WOX6FN5NIAHTKCWMRV426VM4MHGV7Q4VFAM7BOZ3CY,1,"7/4/2023, 4:26:48 AM","7/4/2023, 4:26:48 AM",0,149.522754,-149.522754
