Address,Txn ID,Date/Time,Flow,Amount
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,UOADZYOOYR7BKCAG5YAORJU3IU2CYZKSEK4E3AM5DTCRY7BU5CZQ,"7/7/2023, 3:08:03 PM",out,53521.999
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,MEISRPB4PAGCMGEWOKGQS54WIOUY7RK3LYIV5EREFSGZMO5LX5TQ,"7/7/2023, 3:08:03 PM",out,53522.999
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,HWBCAXJJXC5O6GXJLOWLNKXJI3XI532XR7EO7ZUKN4QHOQSYODTQ,"7/7/2023, 3:08:03 PM",out,64224.999
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,6IBWLWCHKF73VY4UCS2YXAP4ETNAC2QIELAL4O5ZVYCQ3WLT5EUA,"7/7/2023, 3:04:26 PM",in,-53523
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,3HAKUH2KYEDXIMJSFMMHDDSQEJESUSBTMLRM5NBGL7RTZOJYWPHA,"7/7/2023, 2:21:34 PM",in,-64225
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,7IEQJKG3YUNS3M62UY37PG6R3ABZ6BD2K7E5HYSJK4MCY3QHMSFA,"7/7/2023, 1:52:46 PM",in,-53522
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,PBXINDIFGYFSTMLWFR5UCAQLDATYKBRDQCHPP3AOUJK6MN6OOC6Q,"7/7/2023, 12:42:54 PM",out,53520.999
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,PNWQLXOR6LOBLP5YSMT7DCNPEUBVY7Z57PGPXSOXMZTJP66HPCDQ,"7/7/2023, 12:42:54 PM",out,53521.999
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,LWP65GKG42PFQKMUNRZY62SRGDIEQ4TXBOBX6K6RB6VCIFAHCYHA,"7/7/2023, 12:42:54 PM",out,58359.999
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,WVJT7PX6HYBBY2R2DAEZUDG5RSXM247TF3J6DWFPHEARIXA2MO2A,"7/7/2023, 12:42:54 PM",out,64225.999
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,NFLWH5HSCCJO2UAA22PAHLZHIWPXBXQJOZ2VPUQ227ANDSUYRX3A,"7/7/2023, 12:42:51 PM",out,64226.999
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,DSYVPNVORTHUIEZODRXHMTA7IMBP2OF57N7MA35CIM7FBVNZXFZQ,"7/7/2023, 12:04:23 PM",in,-53521
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,Y2H7IZKZBWGQISYYBQFEBCNRCVSWPUKJNSJLDBJGYCZKO5VG3X7Q,"7/7/2023, 10:43:21 AM",in,-64227
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,6P45IR4VKBJDUDGOTPHN7J4EZIC4BDXWBZCZ6OH3GP37T7B2XX2A,"7/7/2023, 10:17:39 AM",in,-64226
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,2PX2OKR5D6BYR57ENGI7FQ5XU42HYA5VKN3YYSTPN2FYHX2PSM5Q,"7/7/2023, 10:09:19 AM",in,-58360
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,F7NTD3DKA3KYZJP2GF3IGVZB6J3Q5ENLWLOHD7HMXPDTVKLYJZBQ,"7/7/2023, 10:02:47 AM",out,53520.999
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,RJF2F6GYVSP5626YY652JYI7V4NS6APC4AXQFUPRVKLYQVCEBOSA,"7/7/2023, 10:02:47 AM",out,53521.999
