Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,568,"2/22/2023, 5:38:42 PM","7/7/2023, 12:42:54 PM",0,30659834.432,-30659834.432
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,6590,"11/17/2021, 11:53:15 PM","7/7/2023, 12:04:23 PM",184764416,0,184764416
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,454,"11/26/2021, 10:13:00 AM","7/6/2023, 2:37:12 PM",0,11102830.546001,-11102830.546001
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,361,"11/26/2021, 11:03:14 PM","7/6/2023, 5:01:47 AM",0,10230590.639,-10230590.639
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,403,"11/26/2021, 11:08:12 PM","7/5/2023, 10:41:32 PM",0,10136162.597000001,-10136162.597000001
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,401,"11/27/2021, 2:33:27 AM","7/5/2023, 10:36:34 PM",0,10504247.599,-10504247.599
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,398,"11/18/2021, 7:58:00 AM","7/5/2023, 10:11:33 PM",0,10622713.602002,-10622713.602002
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,437,"11/27/2021, 10:48:40 PM","7/4/2023, 7:40:11 AM",0,11145404.563000001,-11145404.563000001
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,405,"11/26/2021, 9:48:13 PM","7/3/2023, 10:07:17 PM",0,10306662.595,-10306662.595
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,393,"11/29/2021, 7:14:39 PM","7/3/2023, 1:36:38 AM",0,10265027.607001,-10265027.607001
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,434,"11/26/2021, 9:38:12 PM","7/2/2023, 7:25:53 AM",0,11412175.146733,-11412175.146733
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,389,"11/26/2021, 8:23:11 PM","6/30/2023, 8:14:47 PM",0,9926725.611001,-9926725.611001
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,402,"11/24/2021, 7:31:42 PM","6/30/2023, 5:09:26 AM",0,10355074.598,-10355074.598
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,1540,"11/18/2021, 7:53:06 AM","2/12/2023, 5:39:24 PM",0,37990292.36,-37990292.36
ALERTFAKEKMGANB2VGCH5FWTDGVUEOX4C4DV2WFIERWFWSFBPX6FS2KALE,1,"10/16/2022, 10:47:44 PM","10/16/2022, 10:47:44 PM",0.000001,0,0.000001
FGU3MBZAUFYVYO2JC33UBHGNDEOFNA5LSMXERVUO6MJEBGH6RN3OYACOTM,1,"10/12/2022, 2:02:23 PM","10/12/2022, 2:02:23 PM",0.000001,0,0.000001
DBVR6VKCM4KVU4GCO7OMSZ5CTM7DCEZPFBBKX6UUR2M3ZG5LO65ATI5RME,1,"10/12/2022, 7:20:31 AM","10/12/2022, 7:20:31 AM",0.000001,0,0.000001
4LAZT6VZ5JYXGKXZPN2Z4GZPVPCP7CR6KPYPWPK7Y3BYNHHUTNTMVB2TDM,1,"10/11/2022, 10:24:18 AM","10/11/2022, 10:24:18 AM",0.000001,0,0.000001
QORYOEUYMC5OD34I23KFEN7CU3HGH6QU4XXXIBANIKPISUV4STMNAOV5HU,1,"8/28/2022, 7:44:13 PM","8/28/2022, 7:44:13 PM",0.000001,0,0.000001
SFV7QJ7SGHP2TNIOG7PPBNHLQCYPD76PFPDWB2NWVBHOX56GNJ2YG7GC4I,1,"1/25/2022, 4:23:10 AM","1/25/2022, 4:23:10 AM",0.0005,0,0.0005
