Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
BY265CZ2HVAPRSU2GQZ6J3ZOVN5GID3QG5P6XS3JXMSGHXSTMC2M4YMP7Y,1,"11/9/2022, 12:16:37 AM","11/9/2022, 12:16:37 AM",0,1701.909,-1701.909
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,76,"3/24/2022, 8:21:31 PM","11/9/2022, 12:12:39 AM",65781.208739,0,65781.208739
QD6NSI23VUWBUUT5PJJV7KZ34QEWRIOJJACSYA2OR743RCQQJVLEVZ4WW4,1012,"2/28/2022, 9:06:23 AM","8/2/2022, 8:47:16 AM",0,882226.233713,-882226.233713
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,113,"3/21/2022, 10:54:21 PM","8/2/2022, 8:42:36 AM",105268.886274,0,105268.886274
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,88,"3/21/2022, 11:33:41 AM","7/31/2022, 8:56:55 AM",75089.690865,0,75089.690865
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,95,"3/21/2022, 7:29:37 AM","7/18/2022, 8:13:47 PM",82205.934499,0,82205.934499
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,79,"3/21/2022, 9:54:28 AM","6/12/2022, 5:23:42 PM",69785.810331,0,69785.810331
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,109,"3/24/2022, 8:24:35 PM","6/12/2022, 4:57:17 PM",95624.798696,0,95624.798696
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,73,"3/25/2022, 4:13:39 AM","6/12/2022, 12:01:22 AM",64832.110412,0,64832.110412
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,92,"3/19/2022, 6:29:37 AM","6/9/2022, 10:44:22 AM",80866.924703,0,80866.924703
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,99,"3/18/2022, 12:44:35 PM","6/6/2022, 8:07:41 AM",86161.690176,0,86161.690176
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,68,"3/16/2022, 4:12:07 PM","6/5/2022, 4:32:04 PM",59374.286716,0,59374.286716
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,121,"2/28/2022, 9:01:21 AM","5/13/2022, 3:48:44 PM",98937.958696,0,98937.958696
NW6PSNWSPPWOKDQ7WGATTCNM4B7KLNHNXIY44R7DT6TBRC3QHF46C4FHRA,3,"11/6/2021, 8:31:48 PM","3/2/2022, 6:29:52 PM",0.303003,0,0.303003
