Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,386,"10/17/2022, 6:06:19 AM","7/6/2023, 8:03:44 PM",1063418.847372,0,1063418.847372
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,10,"2/14/2023, 8:48:47 AM","6/29/2023, 10:39:09 PM",0,58352.32244,-58352.32244
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,50,"5/3/2022, 10:21:51 PM","6/27/2023, 10:47:51 PM",0,100064.313264,-100064.313264
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,72,"4/29/2022, 12:18:07 AM","6/25/2023, 9:11:14 AM",0,148686.174946,-148686.174946
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,65,"4/29/2022, 12:43:08 AM","6/25/2023, 7:26:24 AM",0,125176.043948,-125176.043948
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,69,"4/29/2022, 12:08:09 AM","6/24/2023, 11:50:42 AM",0,138817.618235,-138817.618235
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,67,"4/29/2022, 12:33:10 AM","6/24/2023, 4:05:23 AM",0,136855.342331,-136855.342331
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,34,"4/29/2022, 12:23:04 AM","6/24/2023, 4:00:22 AM",0,57828.359412,-57828.359412
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,27,"5/8/2022, 9:07:23 AM","6/10/2023, 1:59:49 AM",0,69840.028963,-69840.028963
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,32,"4/28/2022, 1:28:03 AM","6/10/2023, 1:39:56 AM",0,86256.561238,-86256.561238
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,50,"4/29/2022, 12:28:05 AM","5/15/2023, 8:41:31 AM",0,90808.142963,-90808.142963
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,34,"5/2/2022, 5:46:30 PM","5/15/2023, 8:16:25 AM",0,53130.261907,-53130.261907
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,53,"4/29/2022, 12:38:11 AM","5/3/2023, 11:28:07 PM",0,84094.691932,-84094.691932
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,216,"4/13/2022, 10:02:43 PM","8/8/2022, 8:09:57 PM",260864.96424,0,260864.96424
