Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,55,"2/5/2022, 10:28:38 PM","7/5/2023, 10:51:33 PM",0,739259.6981,-739259.6981
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,51,"2/6/2022, 6:21:35 PM","7/5/2023, 10:46:36 PM",0,581720.363863,-581720.363863
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,58,"2/7/2022, 11:42:18 PM","7/5/2023, 10:41:36 PM",0,835327.710789,-835327.710789
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,64,"2/7/2022, 9:37:12 AM","7/5/2023, 10:36:34 PM",0,873062.361988,-873062.361988
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,63,"2/6/2022, 8:21:40 PM","7/5/2023, 10:31:35 PM",0,773987.519887,-773987.519887
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,53,"11/18/2021, 11:18:15 AM","7/5/2023, 10:11:36 PM",0,718735.019042,-718735.019042
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,687,"2/5/2022, 4:12:08 AM","7/5/2023, 8:41:14 PM",9153978.062905,0,9153978.062905
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,10,"2/14/2023, 8:48:44 AM","7/5/2023, 9:51:06 AM",0,164884.1266,-164884.1266
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,52,"2/7/2022, 11:57:22 PM","6/26/2023, 10:07:13 PM",0,716073.505625,-716073.505625
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,70,"2/6/2022, 12:21:22 PM","6/23/2023, 1:24:58 PM",0,857316.1728,-857316.1728
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,42,"2/11/2022, 7:09:55 PM","6/20/2023, 9:27:49 PM",0,544029.885635,-544029.885635
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,1,"6/7/2023, 10:09:32 PM","6/7/2023, 10:09:32 PM",6999.992,0,6999.992
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,64,"2/10/2022, 4:58:28 AM","5/14/2023, 1:05:42 PM",0,836710.249477,-836710.249477
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,50,"2/7/2022, 1:11:52 AM","2/4/2023, 6:11:37 PM",0,644795.26447,-644795.26447
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,72,"11/18/2021, 8:18:08 AM","1/19/2023, 3:56:22 AM",0,1039470.060263,-1039470.060263
ALERTFAKEKMGANB2VGCH5FWTDGVUEOX4C4DV2WFIERWFWSFBPX6FS2KALE,1,"10/16/2022, 11:08:42 PM","10/16/2022, 11:08:42 PM",0.000001,0,0.000001
FGU3MBZAUFYVYO2JC33UBHGNDEOFNA5LSMXERVUO6MJEBGH6RN3OYACOTM,1,"10/12/2022, 2:00:42 PM","10/12/2022, 2:00:42 PM",0.000001,0,0.000001
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,14,"3/25/2022, 11:32:25 PM","4/24/2022, 5:43:03 AM",141380.242069,0,141380.242069
EENN3ZZRQ3LYK6DDKJHPGNSZQ277USW6YNDOLSI7O7JE2KXXA5XBMMJ2IM,5,"11/17/2021, 11:55:09 PM","11/18/2021, 2:50:03 AM",23009.784897,0,23009.784897
