Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,38,"2/14/2023, 8:55:26 AM","7/7/2023, 12:42:54 PM",0,633950.906,-633950.906
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,475,"4/25/2022, 2:49:16 PM","7/7/2023, 10:05:10 AM",4911173,0,4911173
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,39,"9/19/2022, 12:23:48 AM","7/6/2023, 8:33:32 PM",414505.688,0,414505.688
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,53,"4/19/2022, 10:13:23 AM","7/6/2023, 2:06:41 AM",0,387924.699,-387924.699
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,46,"5/2/2022, 10:16:30 PM","7/6/2023, 1:51:45 AM",0,442642.926,-442642.926
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,43,"4/18/2022, 11:03:16 PM","7/5/2023, 10:11:36 PM",0,424710.799,-424710.799
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,37,"4/22/2022, 5:41:43 PM","7/3/2023, 10:07:24 PM",0,431158.893,-431158.893
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,47,"4/19/2022, 10:58:31 PM","6/30/2023, 8:14:50 PM",0,471632.897,-471632.897
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,42,"5/12/2022, 1:33:12 AM","6/29/2023, 6:38:52 AM",0,383229.902,-383229.902
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,32,"4/28/2022, 1:27:54 AM","6/21/2023, 11:33:50 PM",0,272778.181156,-272778.181156
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,41,"4/28/2022, 9:48:03 PM","5/25/2023, 10:10:39 PM",0,396287.927,-396287.927
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,37,"5/3/2022, 3:56:38 AM","4/19/2023, 5:17:38 PM",0,313588.939,-313588.939
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,46,"5/3/2022, 9:51:37 AM","2/24/2023, 5:39:23 PM",0,442851.954,-442851.954
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,56,"5/23/2022, 2:00:55 AM","1/22/2023, 6:32:46 AM",0,593655.944,-593655.944
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,35,"4/19/2022, 4:33:20 AM","1/15/2023, 8:05:17 PM",0,294691.885,-294691.885
ALERTFAKEKMGANB2VGCH5FWTDGVUEOX4C4DV2WFIERWFWSFBPX6FS2KALE,1,"10/16/2022, 11:33:05 PM","10/16/2022, 11:33:05 PM",0.000001,0,0.000001
FGU3MBZAUFYVYO2JC33UBHGNDEOFNA5LSMXERVUO6MJEBGH6RN3OYACOTM,1,"10/12/2022, 1:59:05 PM","10/12/2022, 1:59:05 PM",0.000001,0,0.000001
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,36,"4/12/2022, 1:28:35 AM","4/22/2022, 10:56:59 AM",149086.64,0,149086.64
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,5,"4/14/2022, 10:33:10 AM","4/14/2022, 7:47:50 PM",14339.94,0,14339.94
