Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,166,"8/8/2022, 8:22:17 PM","7/7/2023, 10:09:09 AM",1643872,0,1643872
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,12,"8/10/2022, 4:21:55 PM","7/6/2023, 2:06:45 AM",0,115818.988,-115818.988
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,16,"8/19/2022, 7:14:35 AM","7/6/2023, 1:51:48 AM",0,159484.984,-159484.984
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,12,"3/2/2023, 4:00:50 AM","6/29/2023, 10:19:07 PM",0,218699.988,-218699.988
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,7,"8/19/2022, 11:44:33 AM","6/25/2023, 3:26:13 AM",0,68921.993,-68921.993
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,17,"8/27/2022, 11:36:36 AM","6/21/2023, 11:33:50 PM",0,169625.983,-169625.983
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,19,"8/8/2022, 8:26:45 PM","6/21/2023, 10:53:35 AM",0,186610.881,-186610.881
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,7,"9/21/2022, 3:01:33 AM","6/21/2023, 1:02:56 AM",0,69960.993,-69960.993
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,18,"9/20/2022, 4:56:32 AM","6/16/2023, 5:49:34 AM",0,178337.982,-178337.982
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,13,"8/19/2022, 8:29:33 AM","6/8/2023, 10:03:34 AM",0,129506.987,-129506.987
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,15,"8/27/2022, 10:11:36 AM","5/3/2023, 4:12:32 AM",0,149513.985,-149513.985
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,7,"11/19/2022, 12:44:33 AM","4/24/2023, 9:40:37 AM",0,69492.993,-69492.993
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,10,"8/10/2022, 12:36:55 PM","2/14/2023, 6:09:35 AM",0,97888.99,-97888.99
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,1,"9/24/2022, 10:17:22 AM","9/24/2022, 10:17:22 AM",0,10004.999,-10004.999
