Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
OU5XUN4SOIQVKALFAWWEJS7P3HJ4CARHT3DKCXCY2B7ABMLZ5GJ5H6G73Y,300,"4/19/2022, 10:43:44 AM","7/6/2023, 2:09:07 AM",0,13999804,-13999804
67K5NBQAHRIALTLMUNYSPZOHJNEYMKUNR45J3WOULVSNXJAKSI74NBJHR4,310,"2/8/2022, 12:42:20 AM","7/6/2023, 2:06:48 AM",2675917.400001,0,2675917.400001
HHQSHYTXK4JK6YTC5NA6GVYW6EVOQ7YV5B3P75QZAWM6IRROTOMTQ7PJ4A,4,"9/17/2022, 3:20:44 AM","7/6/2023, 2:06:45 AM",59939.175712,0,59939.175712
O2QUJIB5M6OZ323YRLJVPD7XXUFQIG5JJONQSORDKOLQXK6DRVDON7QNQY,12,"8/10/2022, 4:21:55 PM","7/6/2023, 2:06:45 AM",115818.988,0,115818.988
S3TBBSFU7MJFQYRR3CLW2QPN6CGBERAGUUD55WG4ZOCMSXYCD7WBML4SYY,2,"3/29/2023, 10:44:17 PM","7/6/2023, 2:06:45 AM",19903.982,0,19903.982
NZQY7JILU6JHTH5DZ3UT6KPEUYSY2VBCEMRR4WTGJOALSRGRYVDHZUWAKI,53,"4/19/2022, 10:13:23 AM","7/6/2023, 2:06:41 AM",387924.699,0,387924.699
6TJOUX5BRCPMJUUNKFDMYAH67CDNWVE7CGG7A2G73GF5NYZVG5C4CMOE3E,205,"2/1/2022, 4:32:14 AM","7/5/2023, 11:59:12 PM",0,9461855.237795,-9461855.237795
DFIJ2JE3IAWFF55YT7PJOGL3M2IYTIPZFWK64MUV4LK2VH34I5UNIZBEG4,5,"3/17/2022, 6:00:49 PM","7/5/2023, 11:28:05 PM",0,25926.778668,-25926.778668
DNAI7JYA45Y35TJ6QOH5DRWM65GRZG2WVISZH4LUB35TWY54N3EYVYB6FI,51,"11/23/2021, 10:27:45 PM","7/5/2023, 10:41:19 PM",0,2286307,-2286307
5YFM3U7P2K643POF44GGSJ6O76A7YBJNXZWQDV57AB4YJLU3XAQNOULAZE,2,"7/4/2023, 5:42:40 AM","7/4/2023, 7:32:48 AM",0,64658.984513,-64658.984513
Z3VVVXFF3FCC4MDOC6KC47EF3ZOZTFJKH2BPPM4S73HA4PWDJAIJDXREGI,8,"1/21/2022, 8:59:19 PM","7/4/2023, 5:37:27 AM",0,3952.748718,-3952.748718
R5XJ6RFHB47Z2GTBP7ECSF5BVLRWGEZBIPM7YEZPF5RTVBKWHFKZPVM5DI,2,"6/3/2023, 8:47:40 PM","7/4/2023, 5:24:59 AM",0,329.611718,-329.611718
4JNA2FHXHWGJ2BCGP7HDJONU77S74R7GCMTKLNBPSN5J7LYUGK4E5SMJZY,25,"11/23/2021, 9:41:22 PM","7/4/2023, 3:01:40 AM",0,289300,-289300
OWU43XBNZNHIFEJOJDGNO2QSG3BPMW4I5GS73YVR5VUI7LTHSU45C373UQ,2,"7/4/2023, 2:28:22 AM","7/4/2023, 2:29:27 AM",0,8083.632335,-8083.632335
NZ7V3VLESC6XOWL2M7XSDCQAYR6D5PJTD6PNNGZR5TNKDVOEZ2DPQZTSSM,4,"12/28/2022, 1:45:59 AM","7/4/2023, 2:12:45 AM",0,13927.977452,-13927.977452
7Z2K2HRBEDXHBCCSHAF3TBIW7RAZOOTAF2CKLDWCIQEXZUNDNTCPD6DJIQ,5,"2/23/2023, 11:47:06 PM","7/4/2023, 2:01:25 AM",0,9265.395997,-9265.395997
3HBBYP2EX4OSUU6RYNJMHRMJDDSNSRDENTHDYQWUR6RZXOERSYOTYPPTZM,8,"6/5/2022, 9:46:23 PM","7/3/2023, 11:22:28 PM",0,298298.722551,-298298.722551
