Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,54,"2/24/2023, 11:09:15 AM","7/7/2023, 12:42:54 PM",0,3460888.714,-3460888.714
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,154,"8/25/2022, 11:27:47 AM","7/7/2023, 10:10:55 AM",9203429.9416,0,9203429.9416
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,10,"5/8/2022, 4:37:24 PM","7/5/2023, 10:11:40 PM",0,485546.229443,-485546.229443
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,9,"5/14/2022, 10:33:44 AM","7/3/2023, 1:36:38 AM",0,488996.5,-488996.5
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,12,"5/4/2022, 8:36:55 PM","6/30/2023, 8:14:47 PM",0,635473.2698,-635473.2698
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,12,"5/7/2022, 6:37:18 AM","6/5/2023, 12:21:04 PM",0,644127.186177,-644127.186177
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,9,"5/31/2022, 9:53:11 PM","5/25/2023, 1:44:52 AM",0,567441.903,-567441.903
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,10,"5/3/2022, 10:31:50 PM","4/17/2023, 10:26:03 AM",0,452538.344447,-452538.344447
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,8,"5/4/2022, 7:01:54 PM","3/29/2023, 9:39:02 AM",0,407815.352,-407815.352
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,13,"5/3/2022, 7:41:41 AM","3/22/2023, 6:06:46 AM",0,595057.208238,-595057.208238
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,10,"5/5/2022, 10:22:08 PM","3/6/2023, 7:40:23 PM",0,369903.105541,-369903.105541
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,97,"4/28/2022, 3:23:03 PM","2/12/2023, 5:39:24 PM",0,5192851.317468,-5192851.317468
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,12,"5/7/2022, 8:47:21 PM","1/27/2023, 8:34:10 PM",0,591577.597338,-591577.597338
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,8,"5/26/2022, 2:01:44 PM","1/24/2023, 11:23:18 AM",0,511247.924,-511247.924
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,110,"4/28/2022, 9:26:37 AM","8/18/2022, 9:45:14 PM",5200035.073852,0,5200035.073852
