Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
6TJOUX5BRCPMJUUNKFDMYAH67CDNWVE7CGG7A2G73GF5NYZVG5C4CMOE3E,215,"2/2/2022, 7:39:38 AM","7/5/2023, 11:58:12 PM",0,9819895.127574999,-9819895.127574999
PYIOW6CNQWGCUXOMCIGU77HWQ5JLWTQGWHD4AYMSUEESPMJOENCLXZX6VI,2,"7/5/2023, 4:31:26 AM","7/5/2023, 11:38:31 PM",0,35000,-35000
FJQ5F64ETLJALDFUOLAA62IXOWJT5UHIRPHWF26HYV3TQHAFOXGQGLUXME,4,"11/21/2022, 5:37:07 PM","7/5/2023, 11:08:20 PM",0,18155.932793,-18155.932793
JNLSEBFDSABDNWTHJWXAPD5NULBLSIAGH6LIKFD6CREMJFWSPAFNQCQMZY,6,"8/20/2022, 11:31:39 AM","7/5/2023, 11:02:07 PM",0,17661.356607,-17661.356607
XZVMUQVN5PUUTGXWYICNTFV7C7QNHROHFW3FFT3BYZEFTT4LVQCTP5Y45A,4,"6/10/2023, 1:34:10 PM","7/5/2023, 10:34:06 PM",0,33327,-33327
DNAI7JYA45Y35TJ6QOH5DRWM65GRZG2WVISZH4LUB35TWY54N3EYVYB6FI,29,"11/23/2021, 10:28:46 PM","7/5/2023, 10:34:03 PM",0,1255288,-1255288
YJATLZ56QKUJ5WM2LZBLERADQPUNFOVZK65BHQ3EVCSUKN6ROD3GWJBBH4,376,"11/30/2021, 7:09:34 AM","7/5/2023, 10:30:58 PM",0,9305622.634934999,-9305622.634934999
WPNEMYN7MBNJU2ZJI6IBZFXHCI3JMT5KDQS3ZKSM7I7CWHJJBKQMXRY4RI,350,"4/26/2022, 4:23:45 AM","7/5/2023, 10:27:49 PM",0,2945853,-2945853
6BQTVEWPUF7X5BCQBK62BCBTOE3GBGFOYGTE5V25G2GFLKIO6E4V4PWGKA,108,"5/26/2022, 3:53:49 AM","7/5/2023, 10:06:00 PM",0,472473.69102,-472473.69102
D4WSWC6OK35PCJ2I4QF44NWOMOBEWYNJCCEX64WDLHAEDKXIFPYB4W6JUQ,1,"7/5/2023, 9:03:42 PM","7/5/2023, 9:03:42 PM",0,1162.111347,-1162.111347
72Y4JVYLR4OZ5IGBECQ4A4Q4GJ5LKBRHUV2YBB5VTC3SYTBZJUQCRWUWLU,183,"5/7/2022, 4:05:08 PM","7/5/2023, 9:00:33 PM",0,860530.194293,-860530.194293
JJZ7MTCXWW3A6FMEKAWXJTDAR2NNYGFXUQAQFJ4GJ23LNVJ5I3SD7HBUX4,1,"7/5/2023, 8:55:22 PM","7/5/2023, 8:55:22 PM",0,9202.353987,-9202.353987
T5FMENIGOJCVMLYJVMS5LLYHRCZKHCMBYGADDOCMEE7WZJN5VBGX6GE6XM,2,"7/4/2023, 9:41:44 PM","7/5/2023, 8:51:14 PM",0,6546.591033,-6546.591033
UJTGIFRRSFAC2JQP2E2OJP3QUZVIYSXH5GSVYZVGD6CW6PE2SMUR252A4A,4,"6/12/2022, 12:34:48 AM","7/5/2023, 8:25:17 PM",0,34048.564591,-34048.564591
MGRA4D5AFN4XYSJCWPZQTTVFDCJ4RNMRJKXDR43IK6MAVMMO37JQYVORO4,5,"8/18/2022, 1:44:21 AM","7/5/2023, 8:19:03 PM",0,2714.632373,-2714.632373
B7SAF6XGY4ZWIW5VZBNWRZJSLF4EPYER7L5E6PFZYXM3VVAIKZRBW6VGAM,8,"5/20/2022, 8:06:35 PM","7/5/2023, 8:11:45 PM",0,6531.302199,-6531.302199
IKQFJPMYDXYKQUO3WOX6FN5NIAHTKCWMRV426VM4MHGV7Q4VFAM7BOZ3CY,1,"7/5/2023, 8:00:24 PM","7/5/2023, 8:00:24 PM",0,628.35,-628.35
OW2DYN2UKST4PQOL633P6QLC44B5RQW4CBIMMXJVLBGFAFLW6ZPYZ7VVY4,20,"10/28/2022, 12:51:53 AM","7/5/2023, 7:49:55 PM",0,53736.93872,-53736.93872
XFEEYEG5IKS5LUEDHWE3FBOM2PYB426IZLTAP333MJEWTFMEIU2CZNELTQ,1,"7/5/2023, 7:29:12 PM","7/5/2023, 7:29:12 PM",0,12493.653123,-12493.653123
RVVHYXQEZ6522P4LUNKJHGM3FUVEPMDE5XGUTONVS5IPAOOHVMJ47WCZTI,17,"7/26/2022, 10:34:58 AM","7/5/2023, 7:19:51 PM",0,70426.865852,-70426.865852
JIIK3YNHKHSAJDYMSYNQNMUZRNKZCQGWU23PJPR52NIMAWXJQ7GB7SQRSM,5,"5/1/2023, 1:20:23 AM","7/5/2023, 6:54:56 PM",0,5608.488425,-5608.488425
36UG2YNC4QIUSAVM6M446OPHRNWRDQLH33YA6KT3U3WPTSS2KX2DZNFPQU,5,"5/30/2023, 2:21:24 PM","7/5/2023, 5:26:35 PM",0,27151.758398,-27151.758398
XRZR5KHY5DDA77HL33PF3QFETT524GIO65UKAN6L7CIU7O2XJNE3RTYR3Y,2,"7/5/2023, 6:02:52 AM","7/5/2023, 5:02:46 PM",0,9310.291183,-9310.291183
R7JZHCYY36GULNDLY5RL7RD7K2NI3LFAARBRWAYRDISNNPCPDAY2SO2SFE,18,"5/8/2022, 7:40:08 AM","7/5/2023, 1:18:20 PM",0,36064.196867,-36064.196867
PLXCRJI42RK4POJ2VH3KJUHTEY7WTWW6ILFWE367DLMU7B3KGZ2QNPPNMU,1,"7/5/2023, 12:53:23 PM","7/5/2023, 12:53:23 PM",0,830.484707,-830.484707
7LYV5GPPV7LEFP2HD2V4KILDKFZDXCLYBD25QOFCFIC6UNEQHRGZUYKWMI,1,"7/5/2023, 12:30:27 PM","7/5/2023, 12:30:27 PM",0,1897.685285,-1897.685285
CQQWGH7T2NR5G6T5OHUQX7B5D6ADKFLUXZG5ZGON4J6CPLD2AVYULIYL7Y,1,"7/5/2023, 12:09:44 PM","7/5/2023, 12:09:44 PM",0,6773.867447,-6773.867447
OVKKKLPPB3FBTAM5N3B4LRR2BBAGGY2U5SWGBDFIAAEXW35MSENI7TGVJ4,3,"3/30/2023, 12:20:47 PM","7/5/2023, 12:00:25 PM",0,5436.831934,-5436.831934
TF7PULQG5BWWZWII5DQTTJ3S2CQVZ5RE5N3O26UV7OOVIC6ZV4VQZER4TE,2,"5/14/2023, 3:05:49 PM","7/5/2023, 11:52:03 AM",0,138.062169,-138.062169
K77X432D7A4OWMR6BGA26OBCDCPVCL4PAC5IWQ7IZDL7TTEAIRNISIYZV4,8,"12/18/2021, 12:53:23 AM","7/5/2023, 11:47:57 AM",0,6785.646724,-6785.646724
3M2JEBFESS6X6ZYH2QUMPYBY3RMUGSEK2XROJI2KVQAKPKSR4YL7EGSZ6A,15,"10/23/2022, 2:03:22 AM","7/5/2023, 11:36:29 AM",0,70614.755009,-70614.755009
Q43X2C25BQ2U7OTR3TGUA27DEATLM35ND5GGOHYB2UY7TYMKWNZDFLYTVQ,1,"7/5/2023, 11:10:30 AM","7/5/2023, 11:10:30 AM",0,1257.133018,-1257.133018
3EN4USOVNQC6UZDQTKWKF656CVWC7OAKQCN2K2BI2BDJ3XK2XFIXFEBGVA,6,"11/19/2022, 11:25:18 AM","7/5/2023, 11:07:28 AM",0,44486.192567,-44486.192567
NPMSZVCK3IHQ7Z6XFKHRGTP7DNBY7UBQCN2DWTE5LNW3HJYGUCV4POG6QY,12,"2/28/2022, 5:43:36 PM","7/5/2023, 10:45:36 AM",0,61202.349458,-61202.349458
KEVN4O2S7FN56D6A6BKNENSIZPXSTSMJESUFLJJRFVAYE5M6P7PF2CVF7M,4,"4/30/2023, 10:01:51 PM","7/5/2023, 9:58:49 AM",0,1058.018625,-1058.018625
6ZWAUPJBZRJMGTSQRXCS4H5RLUUT42QCVUVIHV24FSH2UU36AEGES55QFU,5,"8/12/2022, 9:29:01 PM","7/5/2023, 9:58:49 AM",0,11022.988108,-11022.988108
5ZWV74AA2MYJIU56XBPUXS5ZLHRJJXPTEJA7BHO2SZH3KUO2S24FW6JUNQ,1,"7/5/2023, 9:37:02 AM","7/5/2023, 9:37:02 AM",0,5000,-5000
BGGOREQZCNAIK4C5QSAUTM5IIJWBGQWB3BVB4K5SHR5CILLWGN2X4X7XBY,2,"2/15/2023, 10:00:08 AM","7/5/2023, 9:34:54 AM",0,2843.403676,-2843.403676
HJ7YGI4FKV6Q5FDO3RXKJDGVX5YBJR7BAPYYZDN23IKE5CEVOQ5A6QOR6E,2,"7/5/2023, 9:15:10 AM","7/5/2023, 9:22:26 AM",0,50929.749045,-50929.749045
SKMYOLJ4J2XDA5XY47TZ5SKRVZATSRILIYSG5UZYAYN5K2NJZ5CPAFRCH4,8,"4/17/2023, 9:25:02 PM","7/5/2023, 9:17:12 AM",0,1652.632421,-1652.632421
A2S3NEKPZWBDOMHMKCHJQDS5XMPZC66QE2Z2HJMZ27JUTVZOV3CPCBGZV4,4,"1/26/2022, 4:30:49 AM","7/5/2023, 9:10:59 AM",0,8378.648804,-8378.648804
OGWFBBJ3CRQJYUNNK2DIYCCSHT7C6BUCD7IPEUSZKJQITMDEZO5KG6WNEI,1,"7/5/2023, 9:04:43 AM","7/5/2023, 9:04:43 AM",0,605.657727,-605.657727
B3JD7M6EMF663OQ5DN7SZMZYIV6SYWZ26GRNCJONHHOQLQQ4UOSQNJHVSA,1,"7/5/2023, 8:22:12 AM","7/5/2023, 8:22:12 AM",0,994.352339,-994.352339
2IV3PZHZJXHF444JLUNJ2U3JKRFPY7J3ZH2FC2FQFGUOK6UW2EBGRUKNQY,6,"6/12/2022, 1:11:16 AM","7/5/2023, 8:17:56 AM",0,26999.9,-26999.9
63SGVOAEAQYCUW6XKPIVISAUCCXXCDFUCPHPPPZJ7GVEOO2XTCUQ6QFSNQ,1,"7/5/2023, 8:15:58 AM","7/5/2023, 8:15:58 AM",0,1951.355697,-1951.355697
JGN4MXUZ5NH57BKO75YQEKPHZCYAJ4LSA5O6THAG5TCCTO5AARYXXK5HFI,1,"7/5/2023, 7:42:40 AM","7/5/2023, 7:42:40 AM",0,304.353987,-304.353987
LM5NXLPP4SHMNMQGPXZHPKDRW4LB3JVBQPNU5CNQRUI6Q5VZTZNR4TXJJQ,3,"7/4/2023, 9:46:52 AM","7/5/2023, 7:32:16 AM",0,24797.512827,-24797.512827
7EN6JV5JCMZYQ3RUQX2OXYTE4SHBF6JJBAVI5Q5KOTZ7QEFIW4V42P643E,2,"7/4/2023, 7:44:29 PM","7/5/2023, 7:09:21 AM",0,6131.703373,-6131.703373
EHGXIQSGLMSC6GX5TVAYRRXIERELQ5UFHVJN5YFOTTUE6Y2SXT2MB25OAY,3,"7/4/2023, 6:21:19 PM","7/5/2023, 6:36:10 AM",0,20183.826546,-20183.826546
PWY2343RCE3YI5GWCAAFG2SNQFYGINDUZI2U7ZBQU26IECSDHGC6IEPLUE,4,"7/5/2023, 6:03:52 AM","7/5/2023, 6:31:56 AM",0,25011,-25011
5D2NY3LLYKSVDLGX5JLILMDFSXXSOASV5Y5S6K67FDG5TTLDUIUBIWBTZE,2,"2/18/2023, 12:10:11 AM","7/5/2023, 6:30:54 AM",0,1378.403155,-1378.403155
P6QF3WOVPOHR2CVCWA4DW6ULREO25AFER4NJ2YEM3XF546PCYHBNQZBJSU,1,"7/5/2023, 6:09:05 AM","7/5/2023, 6:09:05 AM",0,18911.68,-18911.68
GQMOWBZ2XPBLD2WWNS46E5JBLZZWSSZ7SKDREAYXZW4IPUOX5AU7NG2XKA,2,"12/24/2022, 9:47:36 AM","7/5/2023, 6:04:57 AM",0,3818.781594,-3818.781594
5TO24JYK5TDG3KOQ2UT73CNN2UCQLLGZ3YZUCEANESANBQ5PZALFCXQRGQ,3,"7/5/2023, 1:34:41 AM","7/5/2023, 6:02:52 AM",0,1825.324427,-1825.324427
4GPI375CT2YJHI7XVGKUCY6E5FRDQPIB2FH75CVIF5OJLSUA2JGF5C273U,1,"7/5/2023, 5:49:22 AM","7/5/2023, 5:49:22 AM",0,30435.753174,-30435.753174
3XTXB7SRRVHG6MDTLMGAKIGNZECPON4PK7GG4DSF7U3EASC6R7TWGHWQ5U,7,"9/6/2022, 2:04:29 AM","7/5/2023, 5:48:15 AM",0,8678.212318,-8678.212318
W4MJH74XTXYS76CTN5WA3C44J2A3ENX3AP5UYZHAWQJHXK4HWR4TECFWII,2,"6/25/2023, 10:52:25 PM","7/5/2023, 5:42:01 AM",0,5417.234696,-5417.234696
PBFXWER42N7SGHXH4VPOB45PO46FRD5QW3YVS25QTEELQWQTETJD7GCTHA,1,"7/5/2023, 5:41:00 AM","7/5/2023, 5:41:00 AM",0,1618.587116,-1618.587116
VTFGTNCV3572L7IQJYT5XJXKWJ3K4B5YV5VNZTNL6UJMUNMLOBFWRNICYQ,3,"6/14/2022, 11:41:17 PM","7/5/2023, 5:23:17 AM",0,1226.538428,-1226.538428
KJ3WWEM3DUILIWK57RZUFFANSH7GHLZGLSBUOBTKTKYBAADQNOB6EXP7RI,16,"12/17/2021, 10:56:49 PM","7/5/2023, 5:18:11 AM",0,38359.349254,-38359.349254
O3Y5QUL3URGUJ3TK43CE56WYOUKB2SRUNVQNU4XNV34I4ASUWNYPXY3R4Y,8,"4/26/2022, 6:48:34 AM","7/5/2023, 4:12:46 AM",0,3101.386145,-3101.386145
T6A7VSZBOK45BWXJ7XPDT7HZDYNMAOBIEYRTZ3DUECTJXCOJI6N5LKX6UY,2,"7/5/2023, 3:36:19 AM","7/5/2023, 3:44:42 AM",0,2101.955034,-2101.955034
CIOK5X3FCZF4ZGA44QWIBUDWA7FZ3OKRN34HI7K3N5QZFKZLV6ATBVM6TU,12,"5/16/2022, 7:18:16 AM","7/5/2023, 3:29:04 AM",0,10778.697866999999,-10778.697866999999
73FCRVGBCXN7JFFP43CRVIDRLZ7RPDFFFWT2XNJPOJVR7NHIOFO6IDZLKA,1,"7/5/2023, 3:11:21 AM","7/5/2023, 3:11:21 AM",0,629.476121,-629.476121
PB7DY443ZRPYZRIHELZJQBHIXWZZIQLGLT73JDI2AB6LNC2Z6X3WKASDKI,5,"1/8/2023, 6:05:34 PM","7/5/2023, 2:07:58 AM",0,10000.796946,-10000.796946
JC27TNPWRTQZA3XPNLDEH7GZ27V4IYVWDFV23Q4O3WS5GFZTRGUGB523EE,18,"1/17/2022, 11:55:26 PM","7/5/2023, 1:51:15 AM",0,3587.796923,-3587.796923
CUFPF53HDKEFWW5PP7POEPZ4CEJANMGEEVESMBPL5Q4A7AXXAQIUFBZAN4,6,"5/31/2022, 5:33:27 AM","7/5/2023, 1:35:41 AM",0,9038.358564,-9038.358564
UKAD4C2S2GE6ZF4WFG6Q42ISRT73LR4PALTNX5HN752IY5Z2Y2QCTZLFSQ,3,"5/15/2022, 10:45:38 AM","7/5/2023, 1:01:21 AM",0,8411.80557,-8411.80557
DXDDFWP5IWY6L25YSTRCFPXXRGNY6FEUZAB5F3SI32TYR76LPDHPYHI6KI,5,"12/3/2021, 8:37:30 PM","7/5/2023, 12:36:27 AM",0,1791.1407100000001,-1791.1407100000001
PUGNYRO4MRSH4OOXK5FOJSPCIC2UFGHQ5A2CETFUVMO37W4RM64Q6LILAY,2,"5/30/2023, 10:02:46 AM","7/5/2023, 12:00:06 AM",0,379.539023,-379.539023
RDCPM6MHNFF4CTDGQAXSNS3DURWYPQ6C3VFU67BNGFNVOS5VAB4GS62EUM,10,"4/17/2023, 8:07:37 PM","7/4/2023, 11:45:31 PM",0,326500,-326500
H66XXFLQEIIYASZYBO36DNFO5DAFZWAAZKHFNXH3GJR6IUTBHL5LOIOQCY,1,"7/4/2023, 11:10:12 PM","7/4/2023, 11:10:12 PM",0,184.645454,-184.645454
S5BE2VCL3CKUZD7FQA4WCDBW6QR4Y6MZYVMRASJKTLHK2D36VYCATNCFOM,3,"7/30/2022, 10:04:57 PM","7/4/2023, 11:07:05 PM",0,3397.754715,-3397.754715
PYUO6CW3SKFENO3GSUZUKWWFS2FHJRR2FJJJYC63OLHESQD6L7QYY22JXQ,5,"1/7/2022, 5:17:05 AM","7/4/2023, 10:57:41 PM",0,670.951024,-670.951024
E7AVN44O4MKQMXDZVQ4ITJSN6A7ZR6WMTZF6Z2TO5JFEFSFT35YPBGSO3Y,1,"7/4/2023, 10:55:35 PM","7/4/2023, 10:55:35 PM",0,359.096159,-359.096159
