Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,613,"8/13/2021, 8:04:08 PM","7/7/2023, 12:52:25 PM",72531127,0,72531127
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,257,"2/14/2023, 8:48:07 AM","7/7/2023, 10:02:43 AM",0,106052442.931796,-106052442.931796
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,313,"8/24/2022, 1:25:18 PM","7/7/2023, 9:59:05 AM",156500135.49,0,156500135.49
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,667,"8/18/2021, 2:13:26 AM","7/6/2023, 5:01:34 PM",118673511,0,118673511
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,99,"12/10/2021, 2:58:11 AM","7/6/2023, 2:37:09 PM",0,16491833.5275,-16491833.5275
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,86,"11/30/2021, 10:05:07 AM","7/2/2023, 7:25:53 AM",0,16209922.616002,-16209922.616002
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,69,"12/23/2021, 12:21:59 AM","6/30/2023, 8:14:43 PM",0,12232154.615,-12232154.615
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,72,"11/24/2021, 7:31:38 PM","6/30/2023, 5:09:26 AM",0,15267483.612,-15267483.612
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,75,"12/13/2021, 3:27:21 PM","6/28/2023, 1:28:11 PM",0,14479674.573,-14479674.573
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,87,"12/9/2021, 1:57:06 AM","6/27/2023, 5:27:38 PM",0,16149150.541,-16149150.541
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,173,"8/13/2021, 8:13:57 PM","6/27/2023, 9:02:30 AM",0,18067208.307,-18067208.307
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,97,"11/27/2021, 2:33:22 AM","6/21/2023, 4:43:08 AM",0,17752297.487,-17752297.487
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,78,"12/13/2021, 11:32:49 PM","6/6/2023, 12:06:54 PM",0,13998073.588,-13998073.588
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,101,"11/23/2021, 7:15:47 PM","6/5/2023, 12:21:00 PM",0,15540166.583,-15540166.583
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,85,"11/26/2021, 11:13:13 PM","4/26/2023, 3:31:06 PM",0,13847360.577002,-13847360.577002
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,1083,"8/13/2021, 7:08:54 PM","2/12/2023, 5:39:20 PM",0,165629215.371,-165629215.371
ALERTFAKEKMGANB2VGCH5FWTDGVUEOX4C4DV2WFIERWFWSFBPX6FS2KALE,1,"10/23/2022, 7:38:03 PM","10/23/2022, 7:38:03 PM",0.000001,0,0.000001
PHPKYILVRLT4JXCQDZ74AM2JYXIFDG6S5TLZZ2FVUIOQX3XPANBATHA6BM,1,"10/23/2022, 7:37:56 PM","10/23/2022, 7:37:56 PM",0.000001,0,0.000001
FGU3MBZAUFYVYO2JC33UBHGNDEOFNA5LSMXERVUO6MJEBGH6RN3OYACOTM,1,"10/12/2022, 2:00:12 PM","10/12/2022, 2:00:12 PM",0.000001,0,0.000001
DBVR6VKCM4KVU4GCO7OMSZ5CTM7DCEZPFBBKX6UUR2M3ZG5LO65ATI5RME,1,"10/11/2022, 9:45:30 AM","10/11/2022, 9:45:30 AM",0.000001,0,0.000001
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,774,"8/13/2021, 4:13:38 PM","8/22/2022, 6:39:23 AM",94455057.19,0,94455057.19
SFV7QJ7SGHP2TNIOG7PPBNHLQCYPD76PFPDWB2NWVBHOX56GNJ2YG7GC4I,1,"1/25/2022, 4:10:58 AM","1/25/2022, 4:10:58 AM",0.0005,0,0.0005
