Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,124,"5/9/2022, 9:03:08 PM","7/5/2023, 11:29:13 AM",371989.3066,0,371989.3066
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,13,"6/29/2023, 10:34:17 PM","6/30/2023, 1:34:19 AM",0,38998.6872,-38998.6872
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,16,"6/21/2022, 3:49:45 AM","6/10/2023, 3:59:46 AM",0,47998.384,-47998.384
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,11,"5/3/2023, 11:28:11 PM","6/10/2023, 3:54:47 AM",0,32998.8914,-32998.8914
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,8,"5/15/2023, 9:01:22 AM","6/10/2023, 3:49:48 AM",0,23999.192,-23999.192
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,12,"5/4/2023, 2:58:05 AM","6/10/2023, 3:44:47 AM",0,36000.4946,-36000.4946
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,8,"6/21/2022, 3:54:40 AM","6/10/2023, 3:29:49 AM",0,23999.1919,-23999.1919
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,12,"5/3/2023, 11:38:01 PM","6/10/2023, 3:24:50 AM",0,35998.7856,-35998.7856
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,2,"6/10/2023, 3:19:47 AM","6/10/2023, 3:19:51 AM",0,5999.798,-5999.798
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,9,"5/15/2023, 8:31:23 AM","6/10/2023, 3:09:49 AM",0,26999.0909,-26999.0909
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,6,"5/15/2023, 8:16:25 AM","6/10/2023, 2:44:51 AM",0,17999.394,-17999.394
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,3,"5/15/2023, 8:56:24 AM","6/10/2023, 2:14:51 AM",0,8999.697,-8999.697
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,6,"5/10/2022, 2:42:47 AM","5/15/2023, 8:26:23 AM",0,17999.294,-17999.294
