Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,207,"9/7/2022, 8:12:38 PM","6/1/2023, 8:54:49 PM",0,425067.7738,-425067.7738
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,43,"1/26/2022, 10:31:46 AM","6/1/2023, 8:43:44 PM",70939.99,0,70939.99
YXDKDH5XHXL6OYMH2HYCJCXOZWPOBEUNK5ICFVJRFW3JVQXZ6HQ6QPVQVA,16,"12/18/2022, 8:51:51 AM","5/27/2023, 3:35:10 AM",22881.4198,0,22881.4198
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,60,"2/1/2022, 1:40:52 AM","4/21/2023, 6:08:48 PM",91360.61,0,91360.61
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,77,"1/28/2022, 3:58:20 PM","4/20/2023, 7:27:59 AM",113969.02,0,113969.02
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,61,"1/27/2022, 4:39:35 AM","4/12/2023, 1:18:55 AM",98127.2,0,98127.2
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,55,"1/28/2022, 4:01:18 AM","3/30/2023, 2:29:12 AM",100074.78,0,100074.78
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,50,"1/30/2022, 2:23:02 AM","3/30/2023, 2:24:08 AM",82080.91,0,82080.91
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,57,"1/27/2022, 10:26:03 AM","3/29/2023, 9:41:04 AM",91344.54,0,91344.54
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,69,"1/26/2022, 8:17:44 AM","3/29/2023, 5:50:09 AM",109896.35,0,109896.35
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,61,"1/29/2022, 2:22:32 AM","3/22/2023, 9:47:54 AM",92052.53,0,92052.53
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,53,"1/27/2022, 6:01:59 PM","3/22/2023, 5:34:47 AM",82096.46,0,82096.46
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,58,"1/31/2022, 9:58:40 AM","12/31/2022, 11:34:58 PM",100543.83,0,100543.83
IMGMVBZEPMM36AIMWI7FZHG2G44KEESC5ALZHWX7B7SBNBDY6Z7COYMO6U,220,"1/30/2021, 6:10:00 PM","12/14/2022, 7:10:41 PM",312170.6287,0,312170.6287
R4K73PLDXOODXPOLGCCE4CZEG4JQECKT5CP2YQM36THGXWVQRL5GKTGKUQ,52,"8/4/2022, 2:21:54 AM","11/7/2022, 8:27:14 AM",72492.33,0,72492.33
YNH3E6RUOK7HAXBB4ZYBVASZEP2B7ZUN7XBMYHSFB2ZHWFYOE4OYJTZSTQ,1,"10/24/2022, 6:16:11 PM","10/24/2022, 6:16:11 PM",0.002,0,0.002
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,1212,"1/30/2021, 4:33:14 PM","9/3/2022, 11:11:19 PM",0,1868706.86559,-1868706.86559
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,136,"1/31/2021, 5:29:49 AM","8/6/2022, 6:37:34 PM",185152.57,0,185152.57
BVMEUTF37WNEQ6GYCZISRFHGLEMOKT5OCPPTTJXVED6JBSXKF6YJJRZRI4,102,"1/30/2021, 4:25:53 PM","7/17/2022, 7:52:06 AM",146843.84,0,146843.84
QD6NSI23VUWBUUT5PJJV7KZ34QEWRIOJJACSYA2OR743RCQQJVLEVZ4WW4,61,"12/18/2021, 6:16:15 AM","5/13/2022, 1:56:56 AM",74995.05,0,74995.05
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,213,"1/31/2021, 10:03:12 AM","7/12/2021, 9:17:11 PM",345315.036374,0,345315.036374
J4AEINCSSLDA7LNBNWM4ZXFCTLTOZT5LG3F5BLMFPJYGFWVCMU37EZI2AM,73,"1/30/2021, 6:43:36 PM","7/7/2021, 8:51:27 AM",101435.97,0,101435.97
