Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,24,"1/31/2022, 11:40:56 AM","7/6/2023, 5:01:47 AM",0,334899.976,-334899.976
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,270,"1/30/2022, 3:06:10 AM","7/6/2023, 4:39:14 AM",3877570,0,3877570
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,19,"2/3/2022, 11:27:22 PM","7/3/2023, 10:07:21 PM",0,288201.062123,-288201.062123
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,13,"2/24/2023, 5:34:25 PM","7/3/2023, 7:12:19 PM",0,285999.987,-285999.987
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,19,"2/16/2022, 9:43:40 PM","6/29/2023, 6:38:49 AM",0,273999.961,-273999.961
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,23,"2/14/2022, 11:37:12 PM","6/28/2023, 1:28:21 PM",0,330499.977,-330499.977
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,17,"2/3/2022, 6:01:47 AM","6/25/2023, 3:26:05 AM",0,210299.973,-210299.973
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,13,"2/8/2022, 12:22:21 AM","5/13/2023, 4:39:09 AM",0,153599.987,-153599.987
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,31,"1/31/2022, 11:35:58 AM","4/27/2023, 3:11:30 PM",0,373949.869001,-373949.869001
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,19,"2/8/2022, 12:52:28 AM","4/18/2023, 2:22:07 PM",0,227999.931,-227999.931
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,21,"2/18/2022, 11:34:09 AM","2/24/2023, 5:49:16 AM",0,290499.959,-290499.959
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,21,"2/1/2022, 10:21:28 PM","2/17/2023, 3:06:45 AM",0,193719.969,-193719.969
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,51,"3/3/2022, 5:56:10 AM","12/25/2022, 9:49:18 AM",0,865899.941,-865899.941
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,15,"4/18/2022, 10:08:11 PM","11/12/2022, 12:47:44 AM",0,200999.945,-200999.945
ALERTFAKEKMGANB2VGCH5FWTDGVUEOX4C4DV2WFIERWFWSFBPX6FS2KALE,1,"10/17/2022, 12:02:38 AM","10/17/2022, 12:02:38 AM",0.000001,0,0.000001
FGU3MBZAUFYVYO2JC33UBHGNDEOFNA5LSMXERVUO6MJEBGH6RN3OYACOTM,1,"10/12/2022, 2:05:59 PM","10/12/2022, 2:05:59 PM",0.000001,0,0.000001
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,1,"9/26/2022, 10:27:19 AM","9/26/2022, 10:27:19 AM",19999.992,0,19999.992
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,15,"4/17/2022, 1:50:17 AM","4/24/2022, 3:45:08 AM",132999.85,0,132999.85
