Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,21,"2/24/2023, 3:44:24 PM","7/6/2023, 7:27:26 PM",0,573507.979,-573507.979
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,333,"11/21/2021, 11:22:11 PM","7/6/2023, 7:24:11 PM",4630854.732947,0,4630854.732947
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,15,"12/23/2021, 1:32:41 PM","7/2/2023, 7:25:57 AM",0,157507.985,-157507.985
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,19,"12/13/2021, 9:27:02 AM","6/30/2023, 8:14:50 PM",0,324217.765,-324217.765
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,21,"12/26/2021, 11:08:56 PM","6/28/2023, 1:28:18 PM",0,344717.87313,-344717.87313
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,20,"12/8/2021, 7:21:15 AM","6/24/2023, 11:50:38 AM",0,249299.98,-249299.98
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,20,"1/19/2022, 3:31:03 AM","6/13/2023, 7:37:39 AM",0,242347.265653,-242347.265653
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,28,"11/30/2021, 3:55:12 PM","5/24/2023, 8:54:46 PM",0,310863.054971,-310863.054971
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,18,"11/29/2021, 10:14:25 AM","5/12/2023, 12:17:56 AM",0,249999.982,-249999.982
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,28,"12/13/2021, 11:22:44 PM","4/21/2023, 4:59:01 PM",0,314674.097523,-314674.097523
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,17,"12/8/2021, 3:36:11 AM","2/24/2023, 5:44:18 AM",0,231199.983,-231199.983
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,30,"12/4/2021, 7:17:37 PM","2/15/2023, 7:25:56 AM",0,303899.97,-303899.97
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,78,"11/22/2021, 6:32:22 AM","2/12/2023, 5:39:24 PM",0,1112326.1594,-1112326.1594
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,20,"12/13/2021, 10:47:04 AM","12/22/2022, 7:23:19 AM",0,252727.8814,-252727.8814
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,2,"4/21/2022, 8:44:14 AM","4/22/2022, 8:02:32 AM",36435.67813,0,36435.67813
