Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
6L63JKTLVR7I5S6R6LSXSGPTZ6XAQEDXTH4V5CJXDGCXBTDJJYAUFBIRPE,60,"3/5/2021, 6:34:20 AM","7/4/2023, 11:31:18 AM",3342000,0,3342000
GORRQTQ26XVWE3DZULQFFYTYCVPITVWS672LGCNUKWVQRW75FOZLRBFVGY,12,"5/24/2021, 1:52:10 AM","6/23/2023, 1:02:01 AM",19215.669075,24674.372462,-5458.703386999998
MCYCCS4D2RMHF2ZU3ZGTI4VZQVMBNXUOEKNDME2SZJYI7KOXTLJSZMY2DA,30,"3/16/2021, 12:46:32 AM","6/8/2023, 12:35:05 AM",0,4160000,-4160000
ALERTFAKEKMGANB2VGCH5FWTDGVUEOX4C4DV2WFIERWFWSFBPX6FS2KALE,1,"10/23/2022, 7:00:19 PM","10/23/2022, 7:00:19 PM",0.000001,0,0.000001
PHPKYILVRLT4JXCQDZ74AM2JYXIFDG6S5TLZZ2FVUIOQX3XPANBATHA6BM,1,"10/23/2022, 7:00:12 PM","10/23/2022, 7:00:12 PM",0.000001,0,0.000001
FGU3MBZAUFYVYO2JC33UBHGNDEOFNA5LSMXERVUO6MJEBGH6RN3OYACOTM,1,"10/12/2022, 2:00:53 PM","10/12/2022, 2:00:53 PM",0.000001,0,0.000001
DBVR6VKCM4KVU4GCO7OMSZ5CTM7DCEZPFBBKX6UUR2M3ZG5LO65ATI5RME,1,"10/11/2022, 8:54:37 AM","10/11/2022, 8:54:37 AM",0.000001,0,0.000001
SFV7QJ7SGHP2TNIOG7PPBNHLQCYPD76PFPDWB2NWVBHOX56GNJ2YG7GC4I,1,"1/25/2022, 4:17:37 AM","1/25/2022, 4:17:37 AM",0.0005,0,0.0005
MXSE7W2B35X3RJ2NNT5PQL6GO6E27KDE2QVMYHNDCMMOIQDHSPCFW2FCME,1,"8/23/2021, 11:15:34 PM","8/23/2021, 11:15:34 PM",0,32008.15569,-32008.15569
OOOFAW4KOQXXYWRAK7PRW5CJRAJK2G6CLGRZ4I7UUI2RZAROK5JMPBKOQM,3,"3/15/2021, 6:02:03 AM","5/24/2021, 11:08:20 PM",1550000,0,1550000
