Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
EENN3ZZRQ3LYK6DDKJHPGNSZQ277USW6YNDOLSI7O7JE2KXXA5XBMMJ2IM,249,"6/1/2021, 10:25:12 PM","7/4/2023, 10:08:58 PM",0,7151414.469053,-7151414.469053
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,35,"9/3/2022, 3:18:18 PM","7/4/2023, 9:58:55 PM",1422943.72,0,1422943.72
BVMEUTF37WNEQ6GYCZISRFHGLEMOKT5OCPPTTJXVED6JBSXKF6YJJRZRI4,30,"8/6/2021, 12:12:40 AM","6/21/2023, 10:40:10 PM",776697.81,0,776697.81
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,22,"9/10/2021, 11:49:40 AM","6/14/2023, 2:10:56 PM",592854,0,592854
JDQ7EW3VY2ZHK4DKUHMNP35XLFPRJBND6M7SZ7W5RCFDNYAA47OC5IS62I,3,"11/20/2022, 5:01:19 PM","5/30/2023, 10:06:34 AM",140000,0,140000
YXDKDH5XHXL6OYMH2HYCJCXOZWPOBEUNK5ICFVJRFW3JVQXZ6HQ6QPVQVA,10,"12/30/2022, 5:13:22 AM","4/5/2023, 3:50:04 AM",610007,0,610007
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,2,"11/20/2022, 9:19:39 PM","11/22/2022, 11:19:32 AM",35000,0,35000
IMGMVBZEPMM36AIMWI7FZHG2G44KEESC5ALZHWX7B7SBNBDY6Z7COYMO6U,7,"8/18/2021, 2:02:44 AM","9/12/2022, 7:58:11 AM",150440.3,0,150440.3
3TT3NBAFMXODXJ7CRN2PISXARITZIJPSWTCAXJZQXJJ7RCX3JFEJPUEF6A,1,"8/29/2022, 8:04:34 PM","8/29/2022, 8:04:34 PM",12999,0,12999
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,119,"6/1/2021, 9:49:25 PM","6/11/2022, 9:18:42 AM",2931288.81,0,2931288.81
KC7KD7AKXS75IVN6Z76GRZIQ246TJXO5MLJHLFEK4247AF5LHH4KHF2PLM,3,"1/22/2022, 1:36:07 AM","5/5/2022, 9:47:54 AM",57222,0,57222
QD6NSI23VUWBUUT5PJJV7KZ34QEWRIOJJACSYA2OR743RCQQJVLEVZ4WW4,1,"1/20/2022, 7:08:17 PM","1/20/2022, 7:08:17 PM",6000,0,6000
GGUMZYT7GHGTOUOMBXVY3AY754UKOKABBD4732COI7IVXMOCR4P4X23YYA,14,"9/1/2021, 3:31:06 PM","12/6/2021, 8:51:46 AM",328552,0,328552
J4AEINCSSLDA7LNBNWM4ZXFCTLTOZT5LG3F5BLMFPJYGFWVCMU37EZI2AM,5,"6/14/2021, 11:37:48 PM","9/24/2021, 6:09:23 PM",87293,0,87293
