Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,38,"2/23/2023, 4:00:19 AM","7/7/2023, 10:02:50 AM",0,614244.962,-614244.962
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,264,"5/15/2022, 6:03:10 AM","7/7/2023, 3:41:14 AM",3287930,0,3287930
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,20,"5/15/2022, 11:39:02 PM","7/5/2023, 10:11:36 PM",0,236450.98,-236450.98
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,22,"5/18/2022, 2:29:31 AM","7/4/2023, 7:40:11 AM",0,292101.978,-292101.978
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,6,"9/20/2022, 3:21:31 AM","7/3/2023, 10:07:28 PM",0,88455.994,-88455.994
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,19,"5/17/2022, 12:34:15 AM","6/25/2023, 3:26:09 AM",0,215630.981,-215630.981
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,23,"5/16/2022, 1:59:05 AM","6/24/2023, 8:30:28 AM",0,248665.977,-248665.977
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,22,"5/16/2022, 4:14:10 PM","6/24/2023, 2:50:14 AM",0,248043.978,-248043.978
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,13,"5/24/2022, 7:31:12 AM","6/21/2023, 11:33:50 PM",0,153629.987,-153629.987
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,19,"5/31/2022, 9:23:09 PM","6/21/2023, 6:23:17 AM",0,239134.981,-239134.981
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,10,"8/4/2022, 5:41:10 PM","6/21/2023, 4:43:08 AM",0,141960.99,-141960.99
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,19,"5/15/2022, 6:08:51 AM","6/8/2023, 10:03:30 AM",0,226985.881,-226985.881
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,17,"5/16/2022, 11:04:16 PM","4/20/2023, 8:58:36 PM",0,183819.983,-183819.983
7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY,35,"5/22/2022, 8:45:52 PM","12/25/2022, 9:49:22 AM",0,398802.965,-398802.965
