Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
QZL25DVJ4A52D2EBT46LZPUNXBLLEC643XQKTSVPY4TWKGFW4S3ZWTZ7UE,613,"8/13/2021, 8:04:08 PM","7/7/2023, 12:52:25 PM",0,72531127,-72531127
O2QUJIB5M6OZ323YRLJVPD7XXUFQIG5JJONQSORDKOLQXK6DRVDON7QNQY,166,"8/8/2022, 8:22:17 PM","7/7/2023, 10:09:09 AM",0,1643872,-1643872
NZQY7JILU6JHTH5DZ3UT6KPEUYSY2VBCEMRR4WTGJOALSRGRYVDHZUWAKI,475,"4/25/2022, 2:49:16 PM","7/7/2023, 10:05:10 AM",0,4911173,-4911173
6VT5ZAGCP63NQX6U7JED3EX7PFZUT5R4EEAZNP2ASPUWDR6FFYU5C3A3P4,323,"11/22/2021, 10:03:09 AM","7/7/2023, 10:01:15 AM",0,4507552.760205001,-4507552.760205001
O7VFYSY67VLUNRWP643E745JECXTJBZZPYMOTLETDKFJQARIXLSNXLYAYQ,353,"3/8/2021, 8:17:09 PM","7/7/2023, 9:49:12 AM",0,1775079.528732,-1775079.528732
RDG5WLRNN4NDEZPPDLV3MRHVFQJSOOLB4NSUXNZINBP53IW3JRCYSGV2WA,1,"7/7/2023, 9:29:11 AM","7/7/2023, 9:29:11 AM",0,5322.587957,-5322.587957
67K5NBQAHRIALTLMUNYSPZOHJNEYMKUNR45J3WOULVSNXJAKSI74NBJHR4,173,"2/6/2022, 12:15:09 PM","7/7/2023, 8:48:16 AM",0,1091910,-1091910
V6OKGHACKENDX3PXUN4WD2LJ2GYM6W7ASNO7JFKT2RXU2OFOHWJQO3ZJYI,264,"5/15/2022, 6:03:10 AM","7/7/2023, 3:41:14 AM",0,3287930,-3287930
GH27QMBSQZF3O6J7SGXQRQMUQD264HNXZ7R6OXDPIOR5XOOE22UBWUXZI4,75,"3/19/2021, 7:14:08 AM","7/7/2023, 2:15:55 AM",45110025,5.069999999999999,45110019.93
YDBIXP7PUXFR2GQKDK4IRAP7DMXRXSSIIXU7NXATSPC444VXPATMUA4SBA,81,"5/26/2022, 9:19:11 AM","7/7/2023, 12:40:15 AM",0,13401.7444,-13401.7444
NRJPXZTLSGW52JR7LVTNCXIGPGNYH4S45HEXXUE4UCJNYMPUTKSPMCKZQM,37,"7/2/2022, 6:46:14 AM","7/6/2023, 9:27:10 PM",0,170231.864592,-170231.864592
TT2IU7SCJJI757LY3A6CWO6QSRXPQANCZYXINIRH7DT6E4XZGA4JTYNWWI,333,"11/21/2021, 11:22:11 PM","7/6/2023, 7:24:11 PM",0,4630854.732947,-4630854.732947
XNPHD5V67HTZ26I7IHIKWEQ6ZMIXEQJCLMNJAIXQ2Y2OCNIM6Z3GPDEUDU,43,"4/4/2022, 8:02:09 PM","7/6/2023, 7:52:15 AM",0,13655.782038,-13655.782038
