Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,2338,"9/6/2022, 5:38:59 AM","7/7/2023, 6:13:56 AM",0,27200190.461,-27200190.461
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,280,"5/4/2022, 3:27:13 AM","7/7/2023, 6:02:00 AM",2539830,0,2539830
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,324,"5/3/2022, 5:13:02 AM","7/6/2023, 8:26:12 AM",2845297,0,2845297
VADHW2W4EPK47Q4DIGBVHONEWZYXO4OGFMK4SRRU5CANZZSDRW76I4S42Q,366,"2/23/2022, 9:50:16 PM","7/6/2023, 3:52:18 AM",2265177.798851,0,2265177.798851
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,55,"5/9/2023, 3:22:41 AM","7/5/2023, 11:56:35 PM",414162,0,414162
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,265,"5/2/2022, 7:44:37 AM","7/5/2023, 10:38:11 PM",2206369,0,2206369
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,375,"4/12/2022, 9:35:25 AM","7/5/2023, 10:31:58 PM",3327362,0,3327362
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,350,"4/26/2022, 4:23:45 AM","7/5/2023, 10:27:49 PM",2945853,0,2945853
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,315,"4/27/2022, 10:49:36 AM","7/3/2023, 4:12:48 AM",2693473,0,2693473
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,322,"4/14/2022, 1:01:56 AM","7/3/2023, 12:23:08 AM",2855998,0,2855998
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,370,"4/18/2022, 1:00:45 AM","6/29/2023, 6:14:23 AM",3185224,0,3185224
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,351,"4/26/2022, 10:33:07 PM","6/26/2023, 6:03:35 PM",2907218,0,2907218
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,356,"4/22/2022, 12:27:39 PM","6/25/2023, 10:27:27 PM",3032847,0,3032847
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,352,"4/19/2022, 9:47:06 PM","6/25/2023, 10:01:34 PM",3130833,0,3130833
SP745JJR4KPRQEXJZHVIEN736LYTL2T2DFMG3OIIFJBV66K73PHNMDCZVM,896,"2/23/2022, 10:25:25 PM","9/6/2022, 2:33:58 AM",0,7149450.047974,-7149450.047974
