Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
DDQYWEWVSLPBSKNFW22V5K7X2SZOYYXDI6HZKVFUBEHZF2C3IRBYPFI35Y,6,"12/10/2022, 8:26:10 AM","7/7/2023, 1:50:55 PM",0,32482.993904,-32482.993904
WBOCOI76XU43JP7GLLHHNHE5UNVBLA5LVX7HO7B5X433EWA662QBKH7BII,3,"2/11/2022, 5:52:53 AM","7/7/2023, 1:41:33 PM",0,10589.542092,-10589.542092
HBPDDV53QLT6VVMY3YDVFSUC2JLJ2JU2AFE6HBLMESEM3P4ODO3Y2XS5WQ,4,"10/1/2022, 8:55:12 AM","7/7/2023, 1:06:14 PM",0,19850.729873,-19850.729873
JAPL6CLYNHXN5GN7I32LVEK4DNRK3VHEONZZP37J4D3QC5AOS4FN5HVK4A,1,"7/7/2023, 1:06:14 PM","7/7/2023, 1:06:14 PM",0,1000,-1000
QUSXBE5UX4B4SQIW3FRJ35HBC75HEBF6QHYOIS6DQHIQJMUUJYDEXD55SE,2,"7/7/2023, 12:48:31 PM","7/7/2023, 12:52:39 PM",0,8604.769038,-8604.769038
PUGNYRO4MRSH4OOXK5FOJSPCIC2UFGHQ5A2CETFUVMO37W4RM64Q6LILAY,3,"5/30/2022, 11:25:30 PM","7/7/2023, 11:47:09 AM",0,586.300451,-586.300451
B7SAF6XGY4ZWIW5VZBNWRZJSLF4EPYER7L5E6PFZYXM3VVAIKZRBW6VGAM,8,"2/22/2022, 6:55:36 AM","7/7/2023, 11:43:02 AM",0,14218.126923,-14218.126923
6CLREB3ZIXITZWBGSPO4AK7XZ7EWXAOD6FIGUGM37TJXIP5546HUGSHDNE,6,"7/4/2022, 6:46:28 PM","7/7/2023, 11:37:48 AM",0,6880.591342,-6880.591342
2IO55JHGCZYI2VYHZ6565TH7XOJTTGQRMBDD2MXR77DL3NE6NBN2PQNQQI,136,"11/30/2021, 2:04:01 AM","7/7/2023, 11:05:35 AM",0,6123336,-6123336
LH4UOER6IXN2LPAFEBGTCQXAOZDBNRTP7FZBDSWSH3O2Q32DFN2OJP5J44,1,"7/7/2023, 11:02:29 AM","7/7/2023, 11:02:29 AM",0,1969.930682,-1969.930682
O3EATXNMSMUBLCCUKKZHUNYADXJ7CROMOLWBDHHVJNZ26J4CGQQKZMZWJM,1,"7/7/2023, 11:01:28 AM","7/7/2023, 11:01:28 AM",0,3309.503476,-3309.503476
CFUVWXZ5S6R4JCZFZQH2C6TM7D25ANALXQ3L65LFLDBLTI4HCYPCNJIOMA,3,"3/5/2023, 12:59:03 PM","7/7/2023, 10:59:22 AM",0,1285.328339,-1285.328339
HALJXOO4KVZMFRWP4LZQAGT35C6EEHAM6MM6X3WCF4MGDL2PRVZWAZTDUE,4,"11/11/2022, 7:41:59 AM","7/7/2023, 10:38:31 AM",0,96205.861674,-96205.861674
FH77BJYJGC4ZE2V7FZDI2VSK3KQ2NG6ZKG6QOCSE4OTISZLROUGWWUZ6ZY,1,"7/7/2023, 10:07:20 AM","7/7/2023, 10:07:20 AM",0,3320.941466,-3320.941466
RQVDMHCVS4JSO3A4AB6TORQL7FQTHJHV3CQPGXUC7X3EEFOGLMJA323GF4,1,"7/7/2023, 10:00:06 AM","7/7/2023, 10:00:06 AM",0,6191.608805,-6191.608805
SGBBVMEDAZFSSOIYS24WM2NQZVL52NXCNVTBXAZP3F4E43VNKV23IRCX6A,6,"3/18/2022, 5:07:52 AM","7/7/2023, 9:46:38 AM",0,27487.457952,-27487.457952
ETTLUT4GDPCL24662OTHRYN7ABI2OF2FATCVJLPKOZ6LPLCZYT2GROZLBU,2,"6/19/2023, 2:32:15 PM","7/7/2023, 9:32:02 AM",0,567.99499,-567.99499
TF7PULQG5BWWZWII5DQTTJ3S2CQVZ5RE5N3O26UV7OOVIC6ZV4VQZER4TE,2,"6/24/2023, 10:00:45 AM","7/7/2023, 9:26:48 AM",0,665.803589,-665.803589
NPMSZVCK3IHQ7Z6XFKHRGTP7DNBY7UBQCN2DWTE5LNW3HJYGUCV4POG6QY,18,"5/18/2022, 7:59:38 PM","7/7/2023, 9:23:40 AM",0,78685.450049,-78685.450049
5ZXNB75EQDI5WZHZB7PYWFX2EVFMMZNNK3AWNJUJ23X7E6AQLBQ4CUTCXE,2,"7/7/2023, 8:24:26 AM","7/7/2023, 9:14:22 AM",0,3672.347374,-3672.347374
YSHPUBZHTJGM643ODMAXK7IKFAJPPHFX7HNSVDR6FYKSSD3ZMCKD72JLCY,5,"12/28/2021, 7:20:40 AM","7/7/2023, 8:57:46 AM",0,2672.6322259999997,-2672.6322259999997
IJCZQNBDFVC7WG4ITUJTCZYRJRZS6W64AMTF7IDFNP2XSF27DR7XPQH7IM,3,"7/6/2023, 1:50:24 AM","7/7/2023, 8:48:23 AM",0,100040,-100040
YI6YIX5MTC3W5L2DE3PRGG734SHEZJXBSD4BU42QNLAS5VP5EVFQBQJQKU,7,"2/11/2022, 4:48:59 AM","7/7/2023, 8:33:49 AM",0,905.146911,-905.146911
JWNQFIOKGEVLUFN4HCAZT4OA4OUADIS4XBVINRE3HGBI5IHNOG5T5Q5KWI,2,"5/24/2023, 11:13:52 PM","7/7/2023, 8:28:40 AM",0,4963.159509,-4963.159509
JTQW5CCKLQUXSFFXWRIJZITBO2BF4UBATJ6FNWQ2WFPUXQCXYOJWNSTW5Q,4,"12/21/2022, 6:47:24 AM","7/7/2023, 8:28:40 AM",0,49525.202699,-49525.202699
HI4MVZDCYXQRDYQFXRW6MFLSTOJHNABA4XEPWTC73XSMI5SXU5KZPOSOIM,8,"3/18/2022, 11:59:13 AM","7/7/2023, 8:13:05 AM",0,6457.897709999999,-6457.897709999999
VG2EDZY4FRPRYTFJV6QWWXGIDOQBYTIO2FTSP6SMW6X5S3A72FS3EWBWJU,3,"1/8/2023, 9:46:15 PM","7/7/2023, 7:53:11 AM",0,27448.823436,-27448.823436
3XTXB7SRRVHG6MDTLMGAKIGNZECPON4PK7GG4DSF7U3EASC6R7TWGHWQ5U,10,"8/25/2022, 6:49:36 AM","7/7/2023, 7:30:22 AM",0,14434.895732,-14434.895732
3EN4USOVNQC6UZDQTKWKF656CVWC7OAKQCN2K2BI2BDJ3XK2XFIXFEBGVA,5,"1/10/2023, 8:20:20 PM","7/7/2023, 7:28:15 AM",0,34873.649899,-34873.649899
M6J4KSOW5ZF4I3SQ7TIPUICNOMFZMDEZZSOZJGWP5B4HONDMV43FMZJY4I,5,"9/20/2022, 1:58:41 AM","7/7/2023, 7:07:31 AM",0,7713.629118,-7713.629118
7L6I6F77ZJ3VZKJGPZRIOQTILLFKER647IQKBS3TA6ZRLNUR3K4PJPJR5I,6,"6/22/2022, 7:07:02 AM","7/7/2023, 6:52:57 AM",0,22399.702024,-22399.702024
UOW26DJNK5BUKKZOIGQEBTXPDMWWTMGPMOYBCHD2NFLYTZZSKXILFVEXIY,1,"7/7/2023, 6:45:41 AM","7/7/2023, 6:45:41 AM",0,19857.520858,-19857.520858
YQVJW3ZC5UDS3MRLUOVIRWEUVBBPAI5DVNIM2SIEWEGRZFRPZRKMUXKCAQ,2,"6/14/2022, 12:34:08 PM","7/7/2023, 6:33:12 AM",0,17000,-17000
LGGSBZGCNBODG4N7LNNKWN5FEJYAWQVOQPG62HPDLLHB3J2XIDBFZDRVGU,1,"7/7/2023, 6:14:30 AM","7/7/2023, 6:14:30 AM",0,3426.77209,-3426.77209
WPNEMYN7MBNJU2ZJI6IBZFXHCI3JMT5KDQS3ZKSM7I7CWHJJBKQMXRY4RI,280,"5/4/2022, 3:27:13 AM","7/7/2023, 6:02:00 AM",0,2539830,-2539830
RIJZPPQRWFNW6L5BTTQV5BFV7ESJADE5NSQE6UUCZYWFED563VHQ6RHNYE,1,"7/7/2023, 5:55:46 AM","7/7/2023, 5:55:46 AM",0,3289.373684,-3289.373684
BSTICHTKWYISL74YRKXLSTPDPMQACXW6UJTAACPVFDQTO2FWWO4QN7XJ5Y,1,"7/7/2023, 5:55:46 AM","7/7/2023, 5:55:46 AM",0,98.538158,-98.538158
66JWLELVHI6ZKOC5TT5CAOLZCCLNP3Y4XVQJV424FMJ7SN3TGWE7JRNPZM,5,"2/17/2022, 3:37:16 AM","7/7/2023, 5:54:38 AM",0,3326.278591,-3326.278591
DXDDFWP5IWY6L25YSTRCFPXXRGNY6FEUZAB5F3SI32TYR76LPDHPYHI6KI,3,"12/11/2021, 3:43:17 AM","7/7/2023, 5:49:31 AM",0,731.973912,-731.973912
MFGLKHSPUD7HXQ74USJYBGCPEJCHXDDWZVJQZ6CAXEVSBZYKCAXTGWP4CI,1,"7/7/2023, 5:46:26 AM","7/7/2023, 5:46:26 AM",0,3200,-3200
AUVN65UPWWF7P3DWGKS5UGIF4LZRRZMQHS6L7ZPPCBOSODUWA2QQKKEFZ4,1,"7/7/2023, 5:45:17 AM","7/7/2023, 5:45:17 AM",0,3084.776543,-3084.776543
HIQXKSVRHVP67QLPUV75SLAWERQ4AMN5ORYJYMO7QIZW564L7DJZUDNHNM,2,"7/7/2023, 5:20:19 AM","7/7/2023, 5:26:35 AM",0,5100,-5100
K77X432D7A4OWMR6BGA26OBCDCPVCL4PAC5IWQ7IZDL7TTEAIRNISIYZV4,8,"5/18/2022, 7:32:46 AM","7/7/2023, 5:21:27 AM",0,10777.435977000001,-10777.435977000001
R7JZHCYY36GULNDLY5RL7RD7K2NI3LFAARBRWAYRDISNNPCPDAY2SO2SFE,11,"5/4/2022, 8:21:17 PM","7/7/2023, 3:54:03 AM",0,17565.383031,-17565.383031
A3O4Q7YV2FWLUKWBOR2FXV3KY5U4AKKOLBC5R6QJWWHSDLCVCSCPGM22DE,1,"7/7/2023, 3:44:43 AM","7/7/2023, 3:44:43 AM",0,524.375524,-524.375524
FEHKV2QCBD3CVSRPCR37UZR6XEJSQRMU3PM5DREAP4DKT35IFNCPJEKVYM,4,"5/9/2022, 10:58:24 AM","7/7/2023, 3:38:29 AM",0,1610.2976939999999,-1610.2976939999999
J6F3UYCDO63ME2H5KFIANO44OMCSEMHXZJPWPK5PVWCBZYCE5LRAMVLTSY,1,"7/7/2023, 3:20:44 AM","7/7/2023, 3:20:44 AM",0,320.2,-320.2
JJZ7MTCXWW3A6FMEKAWXJTDAR2NNYGFXUQAQFJ4GJ23LNVJ5I3SD7HBUX4,1,"7/7/2023, 3:19:46 AM","7/7/2023, 3:19:46 AM",0,3267.873857,-3267.873857
KQ6WIGPBQEAZOPBD2UXCY27BYZWN3Y6JSVVWNFXIHKMHQIO3TUR6GHOPRU,1,"7/7/2023, 3:17:38 AM","7/7/2023, 3:17:38 AM",0,2659.372895,-2659.372895
SKMYOLJ4J2XDA5XY47TZ5SKRVZATSRILIYSG5UZYAYN5K2NJZ5CPAFRCH4,5,"3/19/2023, 6:39:46 AM","7/7/2023, 2:47:26 AM",0,510,-510
FAAQPEQOL7OCYVQ2YFK6SZUTHLSMA77LZE5WHLY6GKYEHPJUIFMQASLVYQ,2,"7/7/2023, 2:40:11 AM","7/7/2023, 2:41:12 AM",0,65723.517089,-65723.517089
7FW6RAEEULZHLADIVVUVCWLADVPL2LETLLIIABSP3IWJBPLD6BIXSJNV7M,1,"7/7/2023, 1:57:30 AM","7/7/2023, 1:57:30 AM",0,1130.127989,-1130.127989
3XKIA4HGNQSWDZ7FCGWPNGFCKLGPRSDTDT7GK6PIAY7OFULMGAASJFL42A,2,"2/3/2023, 6:05:12 AM","7/7/2023, 1:50:15 AM",0,16747.543001,-16747.543001
CRZDGTBILTADPTNCRZ62D4CUTDJLDUA6S43Q47Q2YGCJWCTM4YPH7LCP5A,7,"8/6/2022, 1:09:51 AM","7/7/2023, 1:14:55 AM",0,4090.818075,-4090.818075
RCYGPYZ74H3BEVFOPJ3EK5KWKRORPTJ6YU5FKMEQTACPLAVGJOPDU2CLRQ,1,"7/7/2023, 1:13:48 AM","7/7/2023, 1:13:48 AM",0,6619.106952,-6619.106952
36L4BW5WFPIB7L5HFXUEMZETSAZ4RGD3SZ3MHHZTVMT3SI2MKX27YUWBD4,1,"7/7/2023, 12:09:22 AM","7/7/2023, 12:09:22 AM",0,1186.515842,-1186.515842
OPAXRTRGU7MYK3QUWINKTVR37J66DWDN5DCCTDZ6OPDM3GFBKZ52EWPD2I,1,"7/6/2023, 11:56:54 PM","7/6/2023, 11:56:54 PM",0,6532.579738,-6532.579738
NCDVQ2KL3AILE7UZU5ZUJRRAJB53CGKNPZSZHHSYK3A2JRFJFDFNPQYYAU,1,"7/6/2023, 11:19:30 PM","7/6/2023, 11:19:30 PM",0,1972.739679,-1972.739679
G6P53AXKKMA7IQV2VLLY7PSKNC426FDWM2DXK37X4RSXUFX73OLYCAMYTM,15,"5/4/2022, 9:01:46 PM","7/6/2023, 10:51:24 PM",0,5335.91815,-5335.91815
HW5TAU7Q7TN7WUT4JM2MORPYLSZH6HO72QDYTD4MMJJJNCK3YVEUTR3H6U,2,"1/12/2023, 6:11:11 AM","7/6/2023, 10:42:01 PM",0,21656.315777,-21656.315777
S5BE2VCL3CKUZD7FQA4WCDBW6QR4Y6MZYVMRASJKTLHK2D36VYCATNCFOM,3,"9/23/2022, 9:12:10 PM","7/6/2023, 10:16:01 PM",0,13642.131121,-13642.131121
DH447SE74Q5TWXPA6OGFS66KQ4OYGYQIDSEXK676KG5TWX2THKXJ2C2U5A,3,"5/2/2023, 8:23:01 PM","7/6/2023, 10:12:52 PM",0,4915.899089,-4915.899089
75EZ2U7EXJTZEENAJVDXKB7FISMOALDUD7NTTORFZRSGAABAB3V4TAYOCM,1,"7/6/2023, 10:08:47 PM","7/6/2023, 10:08:47 PM",0,1200,-1200
IQVNVAG5HXJIBLBTXSVNURDPXR3BCIHNNRAJ2VQ5HOBDCIWF7SC3M2L4VQ,12,"2/6/2022, 7:15:44 PM","7/6/2023, 10:07:47 PM",0,33671.21667,-33671.21667
AIMUUQHPTJQVVTYH3BQZZBSZFDFISBLYL4PDMEHDNFQR6T77HG6PKUVIXU,1,"7/6/2023, 10:01:32 PM","7/6/2023, 10:01:32 PM",0,7890.689474,-7890.689474
K4B63IONC24YC4WOXNLB4O7TP2FWQJ5BTADSR7GSUEJJ7IG5JCLPETYUJM,5,"11/20/2022, 3:56:49 PM","7/6/2023, 9:42:50 PM",0,3065.84121,-3065.84121
6KDFXPFV4FZNIBMRRNDXK46X2S4OZWGAFBV5LY5YFK52WVJNW7KPI46EAE,17,"2/21/2022, 7:14:03 AM","7/6/2023, 9:40:44 PM",0,27973.224228000003,-27973.224228000003
53DHH7P3SCNUSXEONQUNMYGDOF75M6E5IFNGQFFSN4PKQSPKYLZ6AHYFEA,1,"7/6/2023, 9:36:39 PM","7/6/2023, 9:36:39 PM",0,662.151655,-662.151655
6ZWAUPJBZRJMGTSQRXCS4H5RLUUT42QCVUVIHV24FSH2UU36AEGES55QFU,2,"5/15/2023, 12:27:28 PM","7/6/2023, 9:36:36 PM",0,3076.169465,-3076.169465
G2EMG3GUJTAS6PNFK2UYGFWYZOGBKX3YIX3RWO74SUVF4ILEYAADURBBLM,2,"5/2/2023, 8:15:52 PM","7/6/2023, 9:10:35 PM",0,1789.400894,-1789.400894
7EN6JV5JCMZYQ3RUQX2OXYTE4SHBF6JJBAVI5Q5KOTZ7QEFIW4V42P643E,1,"7/6/2023, 9:08:35 PM","7/6/2023, 9:08:35 PM",0,6131.803373,-6131.803373
3D4MR6HL47DF2LDB4OY3RWMFY2UGNIOSKN6XXFZTPXNJLVKGVXENIZ7MYE,7,"3/16/2023, 5:09:44 AM","7/6/2023, 8:48:47 PM",0,3508.441866,-3508.441866
2IQDFJBAKMGBFWYJJDCBM65WSC6V2EFSVU7FXDCMX46PTU7KEKK56V6MTM,2,"5/14/2023, 10:50:22 AM","7/6/2023, 8:40:31 PM",0,3799.701851,-3799.701851
T7AIH5XJUHQ4LSFFNTPLX4UL5SONRL5FRTWEARWMOISI6DUAYICXFD4G7A,2,"6/19/2023, 2:23:54 PM","7/6/2023, 8:08:17 PM",0,1311.077791,-1311.077791
CPYUFGLR64LT2JA5ZXC5J5VLZJDPFYJZEUD4FWFF4UZQWO2HKMM7SXSE6I,2,"6/14/2022, 2:18:42 AM","7/6/2023, 7:49:33 PM",0,2817,-2817
YH4QB6I3ONEL56DEI3TRMOV75KPPK7R2ROLLUO2GPZJULVFZEAIC7E7BGA,9,"6/29/2022, 9:47:33 PM","7/6/2023, 7:48:32 PM",0,115002.679544,-115002.679544
4PVW6YYBSX35CZN2PC26NQW3RLR5NN3YD4PVU2JINYLRD7FZESIR5WD274,12,"11/4/2022, 11:54:42 AM","7/6/2023, 7:25:45 PM",0,12318.625558,-12318.625558
M5AJU5TOEBGVHCFSFLX54FEKQUKXZ76AWC7AR6W6CKU7RA36NO46TBPT2A,1,"7/6/2023, 7:13:16 PM","7/6/2023, 7:13:16 PM",0,3243.487067,-3243.487067
DZWPUXC3FLMYD2K2N7BEMFX4UN3SJ6OR52YE5EDHH5GJB75K3UOJDJWC2Y,13,"7/31/2022, 6:17:32 PM","7/6/2023, 6:54:37 PM",0,119832.71858,-119832.71858
BBNFBAPIN4ELORZXXYP34ECLSWQWZ2SUL75OUHBLS2FVHPMIT5P3ZOTNT4,1,"7/6/2023, 6:52:29 PM","7/6/2023, 6:52:29 PM",0,5092.894904,-5092.894904
XRZR5KHY5DDA77HL33PF3QFETT524GIO65UKAN6L7CIU7O2XJNE3RTYR3Y,1,"7/6/2023, 6:41:02 PM","7/6/2023, 6:41:02 PM",0,3300,-3300
OW2DYN2UKST4PQOL633P6QLC44B5RQW4CBIMMXJVLBGFAFLW6ZPYZ7VVY4,19,"10/30/2022, 1:02:12 PM","7/6/2023, 6:40:01 PM",0,87882.008815,-87882.008815
ULKWJCCBJZ6GIXIIMHEFBCOYOEUDBNC6CD3IYVWSRD6LM2IA6IEWHHV7LI,5,"9/30/2022, 12:17:42 AM","7/6/2023, 6:05:44 PM",0,6743.679607,-6743.679607
W4MJH74XTXYS76CTN5WA3C44J2A3ENX3AP5UYZHAWQJHXK4HWR4TECFWII,1,"7/6/2023, 5:52:16 PM","7/6/2023, 5:52:16 PM",0,5837.416046,-5837.416046
4F4LR536WEUTQGORS4HIL6HZLLYFGGACK6BQUAUCMQYKT4F4H566Z7TCF4,1,"7/6/2023, 5:24:13 PM","7/6/2023, 5:24:13 PM",0,3600.98657,-3600.98657
7OMIRBJSSBPYLGGWWG24PN764FNT72LKGJQWYIM7QPA26WSJWQSVIDS7E4,6,"1/10/2023, 9:47:34 AM","7/6/2023, 5:02:25 PM",0,3102.986118,-3102.986118
67K5NBQAHRIALTLMUNYSPZOHJNEYMKUNR45J3WOULVSNXJAKSI74NBJHR4,449,"2/7/2022, 3:31:54 AM","7/6/2023, 2:37:16 PM",3641262.291,0,3641262.291
DHFL4JZUB7EA4Z3KLPLA2USGZWSVEKASCAGGCJBPFLDECHL3FZY7WQIDPY,3,"9/14/2022, 6:15:12 PM","7/6/2023, 2:37:12 PM",20549.235756,0,20549.235756
