Address,Txns,First Transacted,Last Transacted,Ⱥ In,Ⱥ Out,Ⱥ Net
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,2868,"11/18/2021, 10:07:29 AM","7/5/2023, 10:31:25 PM",0,90097940.461262,-90097940.461262
QFSCXCWOACMYLX6C5EGTH4VW6ADMBJSFVXCQIWXGVUGFZ5VYNZTS3ZCQRQ,376,"11/30/2021, 7:09:34 AM","7/5/2023, 10:30:58 PM",9305622.634935,0,9305622.634935
5NJXLZJZ4UFDGCIKFC4KUSOOJKC6HTC4T6G26OSPFCWF4UQVTZ5RIW5H6I,331,"11/29/2021, 6:15:37 PM","7/2/2023, 10:52:42 PM",8684647.438266,0,8684647.438266
GXH7J3JWWAZLAHWJPBIVVXSNV52S35NALXPUKEEVPJXOJK5LZBRJPNSDHU,299,"11/26/2021, 1:02:11 AM","7/1/2023, 2:55:51 PM",7592659.887346,0,7592659.887346
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,309,"11/29/2021, 4:59:14 PM","6/30/2023, 4:20:57 AM",7611851.309331,0,7611851.309331
OKHEI2TFHACIMFDCP3WAMJRK6BL33EDAWVHZE7RWF4V2BKLEWHENX4EFB4,341,"11/30/2021, 6:26:12 AM","6/26/2023, 3:47:41 AM",8632073.136524,0,8632073.136524
COO7YAEA2OHJ5RXWSNWEB62GBOKUJMLGGFZR6O7WG5EWV4YRJVXNRGOHJE,316,"11/30/2021, 2:05:07 AM","6/25/2023, 10:01:34 PM",8476140.423711,0,8476140.423711
YQB5AH5SGT7IFA7DQICODI6355PIUE4OLEJWREFKDNFTJTCZ6ZJBZLBPQI,311,"11/26/2021, 3:13:03 AM","6/25/2023, 9:37:38 PM",7769701.734759,0,7769701.734759
VSFE76W7BPZPURIPYS6EBKT3BBDWDKJ2HDNEKHHKNRSKROISF3G3BWLQEM,299,"11/29/2021, 7:47:30 PM","6/25/2023, 2:08:15 AM",7916442.704293,0,7916442.704293
BFU3RJUUBUYTDP4FSMKC5GY5AA2PTPDGZX5K4ONT2RUXB2VSSXD5YB2FOY,317,"11/29/2021, 7:02:06 PM","6/23/2023, 4:57:33 AM",7713732.91196,0,7713732.91196
7ZC2JOTHFKKVMKKZQPQQP52QZ3H2ECMTWXV4ZXGQT2MWKNRCTS3X7BBFXY,283,"11/29/2021, 6:41:23 PM","6/17/2023, 3:23:11 AM",6987110.383131,0,6987110.383131
TIPERHIFNSXETGLYQVK7VWIKYVNPOUYNMEOYHRESBKNBTBQHITNUS2E3GE,399,"11/18/2021, 10:01:08 AM","6/10/2023, 1:06:06 PM",9407948.64356,0,9407948.64356
33TEPJ2V7LVEUF5UJ4XZKTNJDZ2THE67TH7BRJKQZH6ZPKLPWKE4DWGMAI,1,"11/17/2021, 11:45:15 PM","11/17/2021, 11:45:15 PM",0.4,0,0.4
